"studyID","pubyear","pubyear5","country","continent","USA","marine","exprnc","species","family","order","class","class1","structure","structure2","process","process2","agemin","agemax","agemaxcat","agerange","agerangecat","type","R","Rcat3","Rcat4","n","ncat","nperage","APE","ACV","ACVmod","ACVused","ACVmodused","bothACVnAPEused","PA0","PA1","PAother","ASD","AAD","APE2","ACV2","AD","checkbias","bias_usedplot","bias_usedregression","bias_usedsymtest","bias_usedttest","bias_usedother","biasmethod","biaspresent","checkrelage","typerelage"
"a_a_osman_age_2020",2020,"2016-20","Egypt","Africa","Other","yes","no","Haffara Seabream","Sparidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","whole (cleared)","Whole",1,5,"1-9",4,"0-10","Between",2,"2","2",466,"400+",116.5,2.777,3.928,3.928,"yes","yes","yes",88.35,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"acre_comparison_2017",2017,"2016-20","USA","N. America","USA","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","Finrays","Anal","sectioned","Ground/
Sectioned",3,8,"1-9",5,"0-10","Between",5,"3+","4+",9,"1-49",1.8,NA,27,27,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"acre_comparison_2017",2017,"2016-20","USA","N. America","USA","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","Finrays","Dorsal","sectioned","Ground/
Sectioned",3,8,"1-9",5,"0-10","Between",5,"3+","4+",9,"1-49",1.8,NA,26.5,26.5,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"acre_comparison_2017",2017,"2016-20","USA","N. America","USA","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","Finrays","Pectoral","sectioned","Ground/
Sectioned",3,8,"1-9",5,"0-10","Between",5,"3+","4+",9,"1-49",1.8,NA,20,20,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"acre_comparison_2017",2017,"2016-20","USA","N. America","USA","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","Finrays","Pectoral","sectioned","Ground/
Sectioned",4,12,"10-19",8,"0-10","Between",5,"3+","4+",9,"1-49",1.125,NA,26.5,26.5,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"acre_comparison_2017",2017,"2016-20","USA","N. America","USA","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","Otoliths","Lapillae","sectioned","Ground/
Sectioned",5,10,"10-19",5,"0-10","Between",5,"3+","4+",9,"1-49",1.8,NA,29.5,29.5,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"acre_comparison_2017",2017,"2016-20","USA","N. America","USA","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","Scales",NA,"mounted","Other",4,10,"10-19",6,"0-10","Between",5,"3+","4+",9,"1-49",1.5,NA,23,23,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"adams_age_2014",2014,"2011-15","USA","N. America","USA","yes","no","Blackfin Tuna","Scombridae","Scombriformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",0,7,"1-9",7,"0-10","Within",2,"2","2",207,"200-399",29.5714285714286,13.3,NA,18.8090403795622,"no","yes","no",57,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"adams_age_2014",2014,"2011-15","USA","N. America","USA","yes","no","Little Tunny","Scombridae","Scombriformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",0,5,"1-9",5,"0-10","Within",2,"2","2",203,"200-399",40.6,6.7,NA,9.47523086789974,"no","yes","no",63,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"adams_age_2014",2014,"2011-15","USA","N. America","USA","yes","no","Skipjack Tuna","Scombridae","Scombriformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",0,3,"1-9",3,"0-10","Within",2,"2","2",76,"5-199",25.3333333333333,7.4,NA,10.4651803615609,"no","yes","no",61,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"albuquerque_visual_2019",2019,"2016-20","Brazil","S. America","Other","yes","yes","Whitemouth Croaker","Sciaenidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",3,43,"30+",40,"40-50","Between",3,"3+","3",83,"5-199",2.075,6.7,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"allman_factors_2018",2018,"2016-20","USA","N. America","USA","yes","no","Grey Triggerfish","Balistidae","Tetraodontiformes","Actinopteri","Actinopteri","Spines","Dorsal","sectioned","Ground/
Sectioned",0,14,"10-19",14,"10-20","Between",2,"2","2",2348,"400+",167.714285714286,10.8,NA,15.2735064736294,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"allman_precision_2005",2005,"2001-05","USA","N. America","USA","yes","yes","Red Snapper","Lutjanidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",1,40,"30+",39,"30-40","Between",3,"3+","3",300,"200-399",7.69230769230769,2.5,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot",NA,"no",NA
"alrasady_age_2013",2013,"2011-15","Oman","Asia","Other","yes","no","Longnose Trevally","Carangidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",2,16,"10-19",14,"10-20","Between",2,"2","2",336,"200-399",24,5.3,NA,7.4953318805774,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"andrade_age_2004",2004,"2001-05","Brazil","S. America","Other","yes","no","Searobin","Triglidae","Scorpaeniformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",4,19,"10-19",15,"10-20","Between",3,"3+","3",490,"400+",32.6666666666667,NA,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"yes","other"
"andrade_age_2019",2019,"2016-20","Portugal","Europe","Other","yes","no","Blue Shark","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Elasmobranchii","Vertebrae",NA,"sectioned","Ground/
Sectioned",1,25,"20-29",24,"20-30","Between",3,"3+","3",793,"400+",33.0416666666667,6.72,8.95,8.95,"yes","yes","yes",29,NA,"no",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","no","no",NA
"andrews_age_1999",1999,"1996-2000","USA","N. America","USA","yes","no","Pacific Grenadier","Macrouridae","Gadiformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",1,72,"30+",71,"70-80","Within",2,"2","2",178,"5-199",2.50704225352113,6,NA,8.48528137423857,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,6,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"andrews_age_1999",1999,"1996-2000","USA","N. America","USA","yes","no","Pacific Grenadier","Macrouridae","Gadiformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",1,72,"30+",71,"70-80","Between",2,"2","2",178,"5-199",2.50704225352113,6.3,NA,8.9095454429505,"no","yes","no",NA,43,"yes",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"andrews_age_2005",2005,"2001-05","USA","N. America","USA","yes","no","Spotted Sand Bass","Serranidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",0,11,"10-19",11,"10-20","Between",2,"2","2",508,"400+",46.1818181818182,1.4,2,2,"yes","yes","yes",93,NA,"yes",NA,NA,NA,NA,1.4,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"anislado-tolentino_age_2008",2008,"2006-10","Mexico","N. America","Other","yes","yes","Scalloped Hammerhead Shark","Sphyrnidae","Carcharhiniformes","Elasmobranchii","Elasmobranchii","Vertebrae",NA,"sectioned (then stained)","Ground/
Sectioned",0,11,"10-19",11,"10-20","Between",2,"2","2",108,"5-199",9.81818181818182,3.7,NA,5.23259018078045,"no","yes","no",79,97,"no",NA,NA,NA,NA,2.8,"yes","no","no","yes","no","no","symmetry test","no","no",NA
"artero_age_2015",2015,"2011-15","French Guiana","S. America","Other","yes","yes","Atlantic Goliath Grouper","Serranidae","Perciformes","Actinopteri","Actinopteri","Finrays","Dorsal","sectioned","Ground/
Sectioned",0,15,"10-19",15,"10-20","Between",2,"2","2",62,"5-199",4.13333333333333,NA,11.7,11.7,"yes","yes","no",52,82,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","no","no",NA
"artero_age_2015",2015,"2011-15","French Guiana","S. America","Other","yes","yes","Atlantic Goliath Grouper","Serranidae","Perciformes","Actinopteri","Actinopteri","Finrays","Dorsal","sectioned","Ground/
Sectioned",0,15,"10-19",15,"10-20","Within",2,"2","2",229,"200-399",15.2666666666667,NA,9.9,9.9,"yes","yes","no",62,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"yes","None"
"artero_age_2015",2015,"2011-15","French Guiana","S. America","Other","yes","yes","Atlantic Goliath Grouper","Serranidae","Perciformes","Actinopteri","Actinopteri","Finrays","Dorsal","sectioned","Ground/
Sectioned",0,15,"10-19",15,"10-20","Within",2,"2","2",229,"200-399",15.2666666666667,NA,8.3,8.3,"yes","yes","no",69.5,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"yes","None"
"aschenbrenner_age_2015",2015,"2011-15","Brazil","S. America","Other","yes","no","Brazilian Snapper","Lutjanidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",0,22,"20-29",22,"20-30","Within",3,"3+","3",341,"200-399",15.5,5.4,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"aschenbrenner_age_2015",2015,"2011-15","Brazil","S. America","Other","yes","no","Brazilian Snapper","Lutjanidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",0,22,"20-29",22,"20-30","Between",2,"2","2",100,"5-199",4.54545454545455,9.7,NA,13.717871555019,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"aschenbrenner_age_2017",2017,"2016-20","Brazil","S. America","Other","yes","no","Lane Snapper","Lutjanidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",1,18,"10-19",17,"10-20","Within",5,"3+","4+",303,"200-399",17.8235294117647,4.8,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"ayyildiz_age_2019",2019,"2016-20","Turkey","Europe","Other","yes","no","Common Pandora","Sparidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","whole (cleared)","Whole",2,14,"10-19",12,"10-20","Between",2,"2","2",90,"5-199",7.5,4,5.6,5.6,"yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"ba_slow_2015",2015,"2011-15","Senegal","Africa","Other","yes","no","Milk Shark","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Elasmobranchii","Vertebrae",NA,"sectioned (then etched and stained)","Ground/
Sectioned",1,9,"1-9",8,"0-10","Within",2,"2","2",423,"400+",52.875,1.55,2.2,2.2,"yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"yes","other"
"baje_age_2018",2018,"2016-20","Papua New Guinea","Australia","Other","yes","yes","Australian Sharpnose Shark","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Elasmobranchii","Vertebrae",NA,"ground","Ground/
Sectioned",0,5,"1-9",5,"0-10","Between",2,"2","2",186,"5-199",37.2,29.1,42.4,42.4,"yes","yes","yes",NA,62.4,"no",NA,NA,NA,NA,NA,"yes","yes","no","yes","no","no","agebiasplot, symmetry test","yes","no",NA
"baje_age_2019",2019,"2016-20","Papua New Guinea","Australia","Other","yes","no","Australian Blackspot Shark","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Elasmobranchii","Vertebrae",NA,"sectioned","Ground/
Sectioned",0,10,"10-19",10,"10-20","Between",2,"2","2",115,"5-199",11.5,9.93,14.05,14.05,"yes","yes","yes",NA,58.7,"no",NA,NA,NA,NA,NA,"yes","yes","no","yes","no","no","agebiasplot, symmetry test","yes","no",NA
"baker_intra-seasonal_2019",2019,"2016-20","USA","N. America","USA","yes","no","Pacific Sand Lance","Ammodytidae","Trachiniformes","Actinopteri","Actinopteri","Otoliths","Sagittae","whole (and some ground or sectioned)","Whole",0,3,"1-9",3,"0-10","Within",2,"2","2",64,"5-199",21.3333333333333,4.31,6.09,6.09,"yes","yes","yes",84,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"baker_precision_1998",1998,"1996-2000","USA","N. America","USA","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","Scales",NA,"pressed","Other",1,2,"1-9",1,"0-10","Between",3,"3+","3",64,"5-199",64,NA,0,0,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"baker_precision_1998",1998,"1996-2000","USA","N. America","USA","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","Scales",NA,"pressed","Other",0,8,"1-9",8,"0-10","Between",3,"3+","3",265,"200-399",33.125,NA,27.4,27.4,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"baker_precision_1998",1998,"1996-2000","USA","N. America","USA","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","Scales",NA,"pressed","Other",0,10,"10-19",10,"10-20","Between",2,"2","2",208,"200-399",20.8,NA,13.9,13.9,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"baker_precision_1998",1998,"1996-2000","USA","N. America","USA","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","Other",NA,"whole","Whole",1,2,"1-9",1,"0-10","Between",3,"3+","3",64,"5-199",64,NA,0,0,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"baker_precision_1998",1998,"1996-2000","USA","N. America","USA","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","Other",NA,"whole","Whole",0,8,"1-9",8,"0-10","Between",3,"3+","3",265,"200-399",33.125,NA,14,14,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"baker_precision_1998",1998,"1996-2000","USA","N. America","USA","no","yes","Yellow Perch","Percidae","Perciformes","Actinopteri","Actinopteri","Other",NA,"whole","Whole",0,10,"10-19",10,"10-20","Between",2,"2","2",208,"200-399",20.8,NA,10.6,10.6,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"balazik_age_2012",2012,"2011-15","USA","N. America","USA","yes","yes","Atlantic Sturgeon","Acipenseridae","Acipenseriformes","Actinopteri","Actinopteri","Spines","Pectoral","sectioned","Ground/
Sectioned",1,21,"20-29",20,"20-30","Between",2,"2","2",203,"200-399",10.15,NA,1.8,1.8,"yes","yes","no",70,93,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","yes","no",NA
"barada_bias_2011",2011,"2011-15","USA","N. America","USA","no","yes","Channel Catfish","Ictaluridae","Siluriformes","Actinopteri","Actinopteri","Otoliths","Sagittae","ground (after burning)","Ground/
Sectioned",0,16,"10-19",16,"10-20","Between",2,"2","2",603,"400+",37.6875,NA,NA,NA,"no","no","no",78,97,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","yes","no",NA
"barada_bias_2011",2011,"2011-15","USA","N. America","USA","no","yes","Channel Catfish","Ictaluridae","Siluriformes","Actinopteri","Actinopteri","Spines","Pectoral","sectioned","Ground/
Sectioned",0,16,"10-19",16,"10-20","Between",2,"2","2",3397,"400+",212.3125,NA,NA,NA,"no","no","no",68,97,"yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","yes","no",NA
"bargione_life-history_2019",2019,"2016-20","Italy","Europe","Other","yes","no","Spiny Dogfish","Squalidae","Squaliformes","Elasmobranchii","Elasmobranchii","Spines","Dorsal","sectioned","Ground/
Sectioned",0,13,"10-19",13,"10-20","Between",2,"2","2",326,"200-399",25.0769230769231,5.7,8,8,"yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"bargione_life-history_2019",2019,"2016-20","Italy","Europe","Other","yes","no","Spiny Dogfish","Squalidae","Squaliformes","Elasmobranchii","Elasmobranchii","Spines","Dorsal","sectioned","Ground/
Sectioned",0,13,"10-19",13,"10-20","Within",2,"2","2",326,"200-399",25.0769230769231,5.2,7.3,7.3,"yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"barnett_life_2020",2020,"2016-20","USA","N. America","USA","yes","no","Warsaw Grouper","Serranidae","Perciformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",1,61,"30+",60,"60-70","Between",2,"2","2",485,"400+",8.08333333333333,10,14.1,14.1,"yes","yes","yes",51,79,"yes",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,"no",NA
"barreto_age_2011",2011,"2011-15","Brazil","S. America","Other","yes","no","Blacknose Shark","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Elasmobranchii","Vertebrae",NA,"sectioned","Ground/
Sectioned",0,16,"10-19",16,"10-20","Between",2,"2","2",277,"200-399",17.3125,6.66,NA,9.41866232540481,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","agebiasplot","no","yes","Other"
"barrientos_age_2019",2019,"2016-20","USA","N. America","USA","no","no","Giant Cichlid","Cichlidae","Cichliformes","Actinopteri","Actinopteri","Otoliths","Sagittae","sectioned","Ground/
Sectioned",0,8,"1-9",8,"0-10","Within",2,"2","2",103,"5-199",12.875,3.12,4.41,4.41,"yes","yes","yes",85,NA,"no",NA,NA,NA,NA,NA,"yes","yes","no","yes","no","no","agebiasplot, symmetry test","no","no",NA
