Fish_ID,Structure,Cory,Emily,Mike,Rin,Mean age,MAD,CV
SC006,Anal,2,2,2,2,2,0,0
P101,Anal,5,4,5,5,4.75,0.5,10.53
P203,Anal,4,4,5,4,4.25,0.5,11.76
P200,Anal,4,4,5,5,4.5,0.666666667,12.83
SC007,Anal,4,4,3,4,3.75,0.5,13.33
P108,Anal,4,3,3,3,3.25,0.5,15.38
P112,Anal,5,6,4,5,5,1,16.33
P201,Anal,5,4,4,6,4.75,1.166666667,20.16
SC009,Anal,2,1,2,2,1.75,0.5,28.57
SC015,Anal,2,2,1,2,1.75,0.5,28.57
P111,Anal,5,3,3,5,4,1.333333333,28.87
SC014,Anal,2,3,2,4,2.75,1.166666667,34.82
P202,Anal,2,5,5,5,4.25,1.5,35.29
P106,Anal,5,6,2,6,4.75,2.166666667,39.85
SC020,Anal,5,5,2,3,3.75,1.833333333,40
SC018,Anal,3,2,1,2,2,1,40.82
P102,Anal,2,3,1,3,2.25,1.166666667,42.55
P109,Anal,3,5,1,3,3,2,54.43
P110,Anal,2,1,3,1,1.75,1.166666667,54.71
SC012,Anal,1,0,1,1,0.75,0.5,66.67
SC008,Anal,1,0,1,1,0.75,0.5,66.67
P115,Anal,3,1,1,1,1.5,1,66.67
P206,Anal,3,0,3,3,2.25,1.5,66.67
P105,Anal,3,1,1,1,1.5,1,66.67
P207,Anal,3,2,1,6,3,2.666666667,72.01
SC013,Anal,2,0,4,4,2.5,2.333333333,76.59
P103,Anal,0,2,1,1,1,1,81.65
P204,Anal,4,1,1,1,1.75,1.5,85.71
P104,Anal,2,1,0,3,1.5,1.666666667,86.07
SC004,Anal,0,0,1,1,0.5,0.666666667,115.47
P116,Anal,1,0,1,0,0.5,0.666666667,115.47
SC001,Anal,1,1,0,0,0.5,0.666666667,115.47
SC016,Anal,1,0,1,0,0.5,0.666666667,115.47
SC011,Anal,0,0,1,2,0.75,1.166666667,127.66
P205,Anal,2,0,1,0,0.75,1.166666667,127.66
SC017,Anal,1,0,0,0,0.25,0.5,200
SC021,Anal,1,0,0,0,0.25,0.5,200
SC002,Anal,1,0,0,0,0.25,0.5,200
SC022,Anal,1,0,0,0,0.25,0.5,200
SC019,Anal,0,0,0,0,0,0,0
SC010,Anal,0,0,0,0,0,0,0
P107,Anal,0,0,0,0,0,0,0
SC001,Cleithra,1,1,1,1,1,0,0
SC008,Cleithra,1,1,1,1,1,0,0
P110,Cleithra,2,2,2,2,2,0,0
SC009,Cleithra,2,2,2,2,2,0,0
P105,Cleithra,2,2,2,2,2,0,0
SC020,Cleithra,3,3,3,3,3,0,0
P201,Cleithra,5,5,5,5,5,0,0
