ID,length,Betsy_1,Lee_1,Alex_1,Betsy_2,Lee_2,Alex_2,Betsy_3,Lee_3,Alex_3,FinalAge,Sex
3,154,6,4,2,2,3,3,3,2,3,3,NA
5,166,7,4,3,3,4,4,3,3,3,3,NA
6,150,3,6,4,3,4,3,3,3,3,3,NA
7,166,4,3,3,3,3,3,2,3,3,3,NA
8,152,4,3,2,1,2,3,1,3,2,2,NA
9,135,4,1,1,1,1,2,1,1,1,1,M
10,159,4,3,2,1,2,2,2,2,3,2,F
11,173,4,3,4,1,3,2,3,3,3,3,F
12,162,3,2,3,1,2,2,2,2,2,2,M
13,156,5,3,3,3,3,4,3,3,3,3,M
14,165,5,6,5,4,5,6,5,5,5,5,F
15,138,3,1,2,1,1,2,1,1,2,2,F
16,165,4,3,4,3,3,3,2,3,3,3,F
17,142,6,5,3,3,2,4,1,3,3,2,M
18,158,7,4,4,3,4,4,2,4,2,3,F
19,169,6,4,4,3,4,4,4,4,4,4,F
20,144,4,4,2,2,2,2,2,2,2,2,F
21,120,3,2,2,1,1,1,1,1,1,1,F
22,162,4,2,2,2,3,3,2,2,2,2,F
23,145,2,1,2,1,1,2,1,1,2,1,F
24,153,6,2,4,2,2,3,2,2,3,2,F
25,153,5,2,3,3,2,3,2,2,2,2,F
26,160,3,2,3,2,2,3,2,2,2,2,F
27,152,5,3,4,3,3,4,4,3,4,3,M
28,129,6,1,4,1,1,2,1,1,2,1,F
29,154,3,1,4,1,2,2,1,2,2,2,F
30,135,4,1,3,1,2,2,1,1,2,2,F
31,150,4,3,4,4,3,4,3,3,4,3,F
32,169,5,4,2,1,2,2,2,2,2,2,F
33,168,5,4,3,2,3,2,2,2,3,2,F
34,160,8,4,4,1,3,5,0,2,5,3,M
35,144,4,3,2,1,1,4,1,1,1,1,F
36,152,4,3,2,2,0,3,1,0,1,1,F
37,162,4,3,3,2,2,3,2,2,3,2,M
38,150,5,4,4,2,3,3,3,3,3,3,F
39,159,6,3,5,3,2,4,2,3,4,4,F
41,160,4,3,2,3,3,3,1,2,3,2,F
42,136,5,4,4,2,2,3,3,3,3,3,M
44,165,6,4,4,2,3,4,3,3,3,3,F
45,161,5,3,4,3,4,3,3,3,3,3,M
46,149,7,3,4,2,2,3,3,2,4,3,F
48,166,5,4,5,3,3,3,3,3,4,3,F
