id,loc,tl,r1,r2,consensus
74-13,Oak Point,21.713,NA,1,1
79-15,Evandale,25.2106,1,NA,1
80-16,Long Reach,29.9105,2,NA,2
74-12,Unknown,33.1895,2,NA,2
79-16,Spoon Island,34.6104,3,3,3
00-07,Unknown,34.8,3,3,3
00-08,Unknown,35.1,3,3,3
79-14,Spoon Island,35.922,3,2,3
00-09,Unknown,38.5,4,NA,3
79-12,Washademoak Lake,38.9824,3,3,3
75-02,Long Reach,39.201,3,1,3
00-01,Unknown,39.8,3,3,3
00-04,Unknown,39.8,3,3,3
00-02,Unknown,40.2,2,3,2
00-03,Unknown,40.2,3,3,3
75-09,Long Reach,40.294,4,2,4
79-01,Above Gagetown,40.7312,4,3,4
79-04,Washademoak Lake,41.387,4,3,4
80-11,Long Reach,42,4,NA,4
80-14,Long Reach,42,4,NA,4
79-02,Washademoak Lake,42.2614,4,4,4
79-17,Spoon Island,43.3544,3,NA,3
80-12,Long Reach,43.5,4,NA,4
79-10,Washademoak Lake,44.3381,3,3,3
80-03,Long Reach,44.5,4,NA,4
79-11,Washademoak Lake,44.8846,4,3,4
79-03,Washademoak Lake,44.9939,4,3,4
79-20,Washademoak Lake,44.9939,4,4,4
80-07,Long Reach,45,4,NA,4
79-07,Washademoak Lake,45.759,4,4,4
80-02,Long Reach,45.759,4,NA,4
80-13,Long Reach,46,4,NA,4
79-19,Washademoak Lake,46.3055,5,5,5
79-06,Washademoak Lake,46.9613,3,3,3
79-22,Washademoak Lake,47.2892,4,4,4
79-18,Washademoak Lake,47.5078,4,4,4
79-13,Washademoak Lake,48.9287,4,4,4
00-10,Washademoak Lake,49.038,4,4,4
74-17,Long Reach,49.038,3,3,3
79-08,Washademoak Lake,49.038,4,4,4
79-21,Washademoak Lake,49.038,4,4,4
79-09,Washademoak Lake,49.2566,4,4,4
80-09,Long Reach,49.5,4,NA,4
79-05,Washademoak Lake,50.6775,4,4,4
00-05,Unknown,51.6,4,4,4
80-04,Long Reach,54,5,NA,5
80-05,Long Reach,54,4,NA,4
80-08,Long Reach,54.4,5,NA,5
79-24,Kennebecasis Bay,55.0495,4,4,4
79-25,Kennebecasis Bay,55.596,4,NA,4
75-10,Long Reach,56.689,4,3,4
00-11,Long Reach,57.782,3,3,3
00-06,Unknown,58.2,4,4,4
73-01,Unknown,58.875,6,NA,6
80-15,Long Reach,61,5,NA,5
00-12,Caton's Island,62.154,5,4,5
1806,Five Islands,62.7,5,5,5
80-10,Long Reach,63,6,NA,6
80-06,Long Reach,67,8,NA,8
74-01,Long Reach,67.619,4,4,4
79-26,Kennebecasis Bay,68.712,7,NA,7
2003,Five Islands,69.1,4,NA,4
74-15,Unknown,70.898,5,5,5
74-02,Long Reach,74.177,5,5,5
74-03,Long Reach,74.177,5,5,5
2218,Five Islands,75.5,5,NA,5
75-01,Long Reach,77.456,5,5,5
75-03,Long Reach,77.456,7,6,7
75-04,Long Reach,78.549,6,6,6
75-12,Long Reach,78.549,7,5,7
2090,Five Islands,81.3,6,NA,6
74-16,Unknown,81.828,5,4,5
75-05,Long Reach,81.828,6,6,6
75-06,Long Reach,81.828,6,5,6
74-04,Long Reach,82.921,5,5,5
74-05,Long Reach,85.107,5,5,5
75-07,Long Reach,87.293,6,6,6
2209,Five Islands,89.1,6,NA,6
74-06,Long Reach,93.851,11,9,11
75-13,Long Reach,96.037,13,8,13
1849,Five Islands,101.1,11,NA,11
1822,Five Islands,103.5,7,7,7
2244,Walton,103.5,15,15,15
1825,Five Islands,105.4,11,10,11
1821,Five Islands,105.5,12,NA,12
2097,Five Islands,108.2,12,12,12
74-07,Long Reach,109.153,8,8,8
74-08,Long Reach,110.246,11,10,11
2085,Five Islands,111.3,12,NA,12
2450,Southern Bight,111.339,13,13,13
2087,Five Islands,112,12,NA,12
1834,Five Islands,114.6,12,11,12
74-09,Long Reach,114.618,12,11,12
75-14,Long Reach,114.618,12,12,12
2202,Five Islands,116.4,12,NA,12
1832,Five Islands,119.4,13,13,13
2198,Five Islands,119.8,17,17,17
74-10,Long Reach,125.0015,12,10,12
2081,Five Islands,125.5,13,NA,13
74-11,Long Reach,126.641,13,12,13
2084,Five Islands,127.4,14,NA,14
2082,Five Islands,130.5,18,NA,18
2275,Walton,131,26,26,26
74-14,Unknown,131.013,10,10,10
1803,Five Islands,133.3,18,19,18
13388,Walton,139,19,NA,19
2337,Walton,144.5,19,19,19
2410,Walton,146,22,22,22
2203,Five Islands,148.4,16,NA,16
1848,Five Islands,149.7,12,NA,12
H096,Victoria Beach,149.86,20,24,20
H205,Purdy's Point,157.48,18,16,18
H394,Million Dollar Home,160.02,24,23,24
52061202,Purdy's Point,160.02,38,42,38
H099,Victoria Shoal,162.56,20,20,20
B-0972,Victoria Beach,167.64,25,23,25
4085,Victoria Shoal,170.18,25,28,27
H160,Million Dollar Home,170.18,25,27,27
B-0684,Purdy's Point,170.18,29,29,29
H202,Victoria Shoal,172.72,23,23,23
52061235,NA,172.72,24,25,25
B-0228,Purdy's Point,187.96,25,24,25
B-0831,Carter's Cove,172.72,33,35,35
4096,Victoria Shoal,175.26,24,24,24
H389,Public Landing,175.26,30,30,30
52061106,Carter's Point,175.26,26,31,31
4052,Purdy's Point,190.5,25,25,25
B-1072,Purdy's Point,180.34,24,26,26
H168,Victoria Shoal,177.8,19,19,19
B-0213,Victoria Beach,177.8,25,23,25
B-0216,Purdy's Point,177.8,25,23,25
H177,Purdy's Point,177.8,25,24,25
B-1083,Victoria Beach,177.8,25,27,27
52061175,Victoria Shoal,177.8,25,28,27
4165,Evandale Ferry,177.8,28,28,28
B-0845,Purdy's Point,198.12,25,26,26
3981,Carter's Point,177.8,30,27,31
H084,NA,177.8,30,31,31
B-0776,Victoria Beach,180.34,22,23,23
B-0768,Victoria Beach,200.66,25,26,26
B-0257,Purdy's Point,180.34,27,27,27
4111,Belyea Point,180.34,28,28,28
4115,Victoria Shoal,220.98,25,26,26
B-0370,Purdy's Point,182.88,25,25,25
52061234,Evandale Ferry,182.88,26,30,26
H399,Carter's Point,182.88,30,30,30
52061117,Purdy's Point,182.88,28,30,30
4114,Victoria Shoal,190.5,25,27,27
H408,Carter's Cove,193.04,27,25,27
H196,Victoria Beach,185.42,30,29,30
4108,Belyea Point,210.82,25,27,27
B-0212,Victoria Beach,185.42,24,24,24
3984,Victoria Beach,213.36,27,26,27
4157,Big Hole,187.96,27,27,27
H442,Purdy's Point,187.96,28,27,28
H256,Victoria Beach,187.96,29,27,29
H078,Victoria Beach,187.96,30,27,30
B-0758,Victoria Shoal,213.36,26,27,27
B-0799,Purdy's Point,218.44,27,27,27
H201,Carter's Cove,172.72,28,26,28
H083,Victoria Beach,177.8,27,28,28
4168,Interval,187.96,35,37,37
B-0241,Purdy's Point,180.34,27,24,28
B-0804,Purdy's Point,203.2,28,28,28
4070,Victoria Shoal,190.5,23,29,28
4076,Victoria Shoal,190.5,28,26,28
B-0786,Victoria Beach,190.5,29,28,29
52061183,Big Hole,190.5,29,36,31
52061210,Carter's Point,190.5,31,32,32
B-1081,Carter's Cove,190.5,33,33,33
52061193,Big Hole,190.5,34,35,35
4129,Farmer's Wharf,205.74,28,28,28
4132,Farmer's Wharf,208.28,28,28,28
H087,Purdy's Point,193.04,28,30,30
52061205,Purdy's Point,193.04,30,37,31
H380,Victoria Shoal,193.04,32,32,32
52061194,Evandale Ferry,193.04,36,34,36
4092,Purdy's Point,195.58,28,27,28
4153,Big Hole,195.58,28,31,28
52061250,Evandale Ferry,213.36,28,31,28
52061208,Victoria Shoal,203.2,29,29,29
52061204,Evandale Ferry,208.28,29,32,29
4101,Victoria Beach,213.36,29,25,29
4169,Evandale Ferry,198.12,25,30,28
B-0385,Carter's Point,198.12,28,29,29
H162,Million Dollar Home,218.44,29,28,29
B-0263,Purdy's Point,220.98,29,29,29
3989,Belyea Point,182.88,30,30,30
4166,Big Hole,198.12,30,37,30
B-0322,Carter's Point,200.66,28,30,30
B-0770,Victoria Beach,200.66,30,30,30
B-1078,Purdy's Point,208.28,30,29,30
3977,Purdy's Point,175.26,29,31,31
52061200,Evandale Ferry,200.66,29,34,31
B-1093,Victoria Beach,195.58,31,31,31
B-0264,Public Landing,205.74,31,29,31
3979,Victoria Beach,200.66,30,32,32
4109,Belyea Point,208.28,30,31,31
B-1054,Victoria Beach,218.44,29,31,31
B-0214,Victoria Shoal big,223.52,31,31,31
B-0247,Victoria Beach,175.26,32,31,32
4130,Farmer's Wharf,203.2,30,30,30
4102,Victoria Beach,187.96,25,32,32
4171,Farmer's Wharf,187.96,28,32,32
B-0927,Carter's Point,187.96,32,32,32
B-0904,Victoria Beach,195.58,35,32,32
52061198,Farmer's Wharf,203.2,31,37,35
52061181,Evandale Ferry,205.74,27,26,27
H091,NA,200.66,31,32,32
B-0958,Victoria Beach,205.74,30,25,30
52061221,Evandale Ferry,200.66,32,31,32
B-1060,Victoria Beach,203.2,32,32,32
H181,Purdy's Point,205.74,33,31,33
H378,Purdy's Point,203.2,32,29,32
B-0381,Carter's Point,205.74,32,30,32
B-0995,Victoria Beach,213.36,32,32,32
H267,Victoria Beach,226.06,31,38,32
4160,Evandale Ferry,208.28,23,23,23
B-0211,Purdy's Point,208.28,28,25,25
B-0960,Victoria Beach,187.96,32,33,33
4091,Carter's Point,198.12,26,33,33
52061212,Purdy's Point,198.12,33,38,33
H259,Victoria Beach,203.2,32,33,33
52061209,Purdy's Point,205.74,33,33,33
52061189,Evandale Ferry,208.28,33,47,43
H280,Purdy's Point,208.28,33,31,33
B-0243,Victoria Beach,195.58,30,26,34
B-0204,Carter's Cove,198.12,34,32,34
52061105,Purdy's Point,200.66,32,34,34
B-1018,NA,182.88,35,33,35
4058,Purdy's Point,198.12,29,30,35
H071,Big Fishing Net,198.12,34,35,35
52061197,Evandale Ferry,210.82,34,35,35
B-0808,Carter's Point,228.6,35,34,35
52061122,Purdy's Point,213.36,30,37,31
