DateSpID        Species Length  Sage1   Sage2   Sage3   Woto1   Woto2   Woto3   Soto1   Soto2   Soto3   Scmode  Wotomode        Sotomode
50297_1_2       LMB     210     .       .       .       1       1       1       1       1       1       .       1       1
50297_1_3       LMB     399     .       .       .       5       4       5       5       5       4       .       5       5
50297_3_1       LMB     121     .       .       .       1       0       0       1       1       0       .       0       1
50397_8_5       LMB     102     0       0       1       1       0       1       0       0       0       0       1       0
50397_10_1      LMB     442     4       5       5       5       6       5       6       6       6       5       5       6
50397_10_2      LMB     125     1       0       1       1       0       1       0       1       1       1       1       1
50397_10_4      LMB     167     1       0       1       3       1       2       0       1       1       1       .       1
50397_10_5      LMB     335     3       2       3       3       2       3       3       2       2       3       3       2
50397_10_6      LMB     243     2       2       2       1       1       2       2       1       1       2       1       1
50397_10_8      LMB     423     4       4       4       4       4       4       4       4       4       4       4       4
50397_10_9      LMB     529     6       5       7       6       5       6       6       6       6       .       6       6
50497_11_1      LMB     275     2       1       2       2       1       2       1       2       1       2       2       1
50497_12_1      LMB     125     0       0       0       1       0       1       0       0       0       0       1       0
50497_12_2      LMB     110     0       0       0       1       0       1       1       1       0       0       1       1
50497_13_2      LMB     196     2       2       2       1       1       1       1       2       1       2       1       1
50497_13_3      LMB     134     0       0       0       1       0       1       0       0       0       0       1       0
50497_13_7      LMB     592     9       8       7       9       9       9       9       9       9       .       9       9
50997_2_1       LMB     356     3       2       2       2       2       2       3       2       2       2       2       2
50997_4_1       LMB     385     4       4       4       3       3       3       4       3       3       4       3       3
50997_6_1       LMB     188     3       2       2       1       2       1       2       2       2       2       1       2
51097_1_1       LMB     243     3       1       2       1       1       1       1       1       2       .       1       1
51097_1_4       LMB     454     5       4       7       7       5       7       6       6       6       .       7       6
51097_3_1       LMB     139     2       1       1       2       1       2       1       1       1       1       2       1
51097_4_4       LMB     263     3       2       2       1       1       2       2       2       1       2       1       2
51497_1_1       LMB     201     1       0       2       2       2       2       1       1       1       .       2       1
51497_1_2       LMB     245     2       1       1       2       2       2       2       2       1       1       2       2
51497_1_3       LMB     110     .       .       .       1       1       1       1       1       1       .       1       1
51497_1_4       LMB     221     1       1       1       2       1       2       2       2       2       1       2       2
51497_1_7       LMB     515     6       6       5       8       5       7       7       7       7       6       .       7
51497_3_5       LMB     360     2       2       2       2       2       2       2       2       2       2       2       2
51497_3_6       LMB     324     2       2       3       3       2       3       2       2       2       2       3       2
52097_1_6       LMB     451     4       4       4       4       3       4       4       4       4       4       4       4
52097_1_7       LMB     260     2       1       2       2       1       2       2       2       1       2       2       2
52097_2_10      LMB     272     4       2       2       2       2       2       2       1       1       2       2       1
52097_2_2       LMB     241     2       1       2       2       1       2       2       2       1       2       2       2
52097_2_3       LMB     461     7       7       6       5       5       5       6       6       5       7       5       6
52097_2_4       LMB     183     2       0       1       2       1       1       1       1       1       .       1       1
52097_2_6       LMB     213     4       2       2       2       1       2       1       2       1       2       2       1
