age_Aaron,age_Tony,strux,year
7,5,spines,2007
6,5,spines,2007
8,9,spines,2007
7,6,spines,2007
5,4,spines,2007
7,6,spines,2007
2,2,spines,2007
8,5,spines,2007
9,8,spines,2007
6,5,spines,2007
7,9,spines,2007
6,6,spines,2007
4,5,spines,2007
5,9,spines,2007
9,5,spines,2007
6,6,spines,2007
6,6,spines,2007
9,8,spines,2007
10,7,spines,2007
4,3,spines,2007
2,4,spines,2007
9,9,spines,2007
4,5,spines,2007
7,7,spines,2007
4,7,spines,2007
4,5,spines,2007
3,3,spines,2007
9,9,spines,2007
8,8,spines,2007
9,10,spines,2007
4,4,spines,2007
4,4,spines,2007
6,4,spines,2007
6,5,spines,2007
5,5,spines,2007
7,6,spines,2007
7,8,spines,2007
10,11,spines,2007
7,6,spines,2007
5,7,spines,2007
7,8,spines,2007
7,7,spines,2007
3,4,spines,2007
9,9,spines,2007
5,5,spines,2007
8,8,spines,2007
6,5,spines,2007
5,5,spines,2007
8,8,spines,2007
7,7,spines,2007
4,4,spines,2007
6,6,spines,2007
12,12,spines,2007
4,4,spines,2007
5,4,spines,2007
3,3,spines,2007
3,3,spines,2007
8,9,spines,2007
8,7,spines,2007
3,3,spines,2007
6,6,spines,2007
3,NA,spines,2007
4,5,spines,2007
12,10,spines,2007
6,5,spines,2007
4,4,spines,2007
7,7,spines,2007
4,5,spines,2007
10,10,spines,2007
5,6,spines,2007
4,4,spines,2007
5,5,spines,2007
7,6,spines,2007
6,6,spines,2007
5,4,spines,2007
3,4,spines,2007
4,4,spines,2007
5,5,spines,2007
3,3,spines,2007
4,4,spines,2007
4,5,spines,2007
3,3,spines,2007
2,3,spines,2007
3,2,spines,2007
9,7,spines,2007
2,3,spines,2007
5,4,spines,2007
3,4,spines,2007
4,4,spines,2007
5,5,spines,2007
6,3,spines,2007
4,3,spines,2007
3,2,spines,2007
4,4,spines,2007
3,4,spines,2007
2,2,spines,2007
4,3,spines,2007
4,3,spines,2007
4,4,spines,2007
3,2,spines,2007
5,3,spines,2007
3,3,spines,2007
3,3,spines,2007
2,2,spines,2007
3,3,spines,2007
3,3,spines,2007
3,3,spines,2007
3,2,spines,2007
6,4,spines,2007
2,2,spines,2007
4,3,spines,2007
3,4,spines,2007
3,3,spines,2007
4,4,spines,2007
3,3,spines,2007
6,6,spines,2007
5,4,spines,2007
4,3,spines,2007
5,4,spines,2007
4,4,spines,2007
11,11,spines,2007
3,2,spines,2007
3,2,spines,2007
6,3,spines,2007
5,3,spines,2007
4,3,spines,2007
5,3,spines,2007
2,2,spines,2007
3,3,spines,2007
5,4,spines,2007
3,3,spines,2007
2,2,spines,2007
3,3,spines,2007
4,4,spines,2007
3,2,spines,2007
4,2,spines,2007
3,3,spines,2007
3,3,spines,2007
6,3,spines,2007
3,2,spines,2007
5,4,spines,2007
5,4,spines,2007
2,2,spines,2007
3,3,spines,2007
3,2,spines,2007
3,2,spines,2007
4,3,spines,2007
2,2,spines,2007
4,3,spines,2007
2,2,spines,2007
3,3,spines,2007
5,4,spines,2007
3,3,spines,2007
10,8,spines,2007
3,3,spines,2007
3,3,spines,2007
3,2,spines,2007
3,3,spines,2007
4,3,spines,2007
4,2,spines,2007
4,2,spines,2007
3,2,spines,2007
3,2,spines,2007
3,2,spines,2007
2,2,spines,2007
3,2,spines,2007
3,3,spines,2007
3,3,spines,2007
3,2,spines,2007
3,2,spines,2007
3,2,spines,2007
3,3,spines,2007
2,1,spines,2007
3,3,spines,2007
3,3,spines,2007
4,2,spines,2007
2,2,spines,2007
5,4,spines,2007
2,3,spines,2007
2,2,spines,2007
4,3,spines,2007
3,3,spines,2007
3,3,spines,2007
2,2,spines,2007
2,2,spines,2007
2,1,spines,2007
