id,tl,wt,cleithra_section_R1,cleithra_section_R2,cleithra_whole_R1,cleithra_whole_R2,otoliths_R1,otoliths_R2,metapt_R1,metapt_R2,scales_R1,scales_R2
1,703,1958,4,3,4,3,2,2,5,5,5,6
2,648,1678,3,3,6,5,3,3,2,4,9,9
3,629,1506,3,4,5,3,2,2,4,2,4,3
4,715,2392,4,4,5,4,4,4,5,4,6,6
5,618,1646,3,3,5,2,2,2,3,2,4,5
6,671,1747,3,3,4,3,2,2,3,2,4,4
7,604,1291,3,3,4,2,3,3,3,3,7,6
8,585,1300,2,2,2,2,2,2,3,4,4,7
9,520,794,1,1,2,1,1,1,1,1,2,4
10,569,1064,3,3,4,3,2,2,2,2,2,2
11,607,1443,3,3,5,2,2,2,3,3,5,5
12,668,1877,3,3,5,4,2,2,3,3,4,4
13,720,2107,3,2,4,2,2,2,3,3,6,7
14,678,1846,3,2,6,4,2,2,5,5,6,6
15,720,2172,3,3,9,4,2,2,3,3,5,4
16,505,776,2,2,4,1,1,2,2,2,3,6
17,782,3187,11,11,13,12,10,11,10,13,11,8
18,541,1031,3,2,4,4,2,2,2,3,5,3
19,582,1193,3,3,4,3,2,2,5,5,4,4
20,674,1909,3,3,4,4,2,2,4,4,6,5
21,689,1723,3,3,4,3,2,2,5,3,2,3
22,669,1673,3,3,3,2,2,2,3,2,3,3
23,517,408,4,3,1,3,2,2,1,1,6,3
24,565,1297,8,5,5,5,5,5,6,5,7,4
25,572,874,7,6,10,6,7,6,5,5,8,8
26,649,1536,3,3,9,3,2,3,3,3,3,4
27,494,604,2,2,2,1,2,2,2,3,5,5
28,658,1182,6,5,9,5,6,4,5,5,9,7
29,510,589,3,2,2,2,2,2,2,2,4,4
30,581,1057,5,4,5,5,5,4,3,3,6,5
31,665,1860,5,5,6,5,5,5,4,6,6,6
32,538,940,3,3,6,3,4,4,3,3,6,5
33,523,868,3,2,6,2,3,3,2,2,4,3
34,662,1659,6,4,6,3,5,3,4,5,6,5
35,741,2594,4,3,5,5,3,3,5,5,6,5
36,659,1647,3,3,5,4,3,3,4,4,4,3
37,709,1913,4,4,6,3,4,4,4,5,6,6
38,590,1014,5,5,5,3,4,3,4,3,4,4
39,585,1083,1,1,9,4,4,4,3,4,7,9
40,534,521,2,2,4,2,2,2,2,2,2,2
41,503,605,2,2,3,2,3,3,2,2,2,2
42,643,1530,7,7,7,5,4,4,5,5,7,4
43,716,1949,5,4,6,5,7,7,8,8,5,4
44,683,1769,3,3,6,3,3,3,3,3,4,6
45,565,1760,3,3,4,4,3,3,6,3,5,7
46,649,1701,4,4,6,5,2,3,4,4,9,7
47,639,1642,4,4,5,4,3,3,4,4,6,4
