id,tl,sex,age_KNOWN,date,year,otolith_Dave1,otolith_Nate1,otolith_Dave2,otolith_Nate2,otolith_CONSENSUS,scale_Dave1,scale_Nate1,scale_Dave2,scale_Nate2,scale_CONSENSUS,finray_Dave1,finray_Nate1,finray_Dave2,finray_Nate2,finray_CONSENSUS
7558,1880,F,27,2008-01-01,2008,37,29,27,28,27,15,16,15,18,15,19,14,17,18,18
8342,1422,NA,28,2008-01-01,2008,33,21,28,26,28,16,15,15,15,15,16,13,17,18,18
8411,2184,NA,29,2008-01-01,2008,31,29,29,28,29,14,16,15,16,16,19,12,19,18,19
8434,1642,M,19.041095890411,2009-06-11,2009,20,18,19,18,19,14,12,14,14,14,15,13,16,15,16
8435,1855,M,14.0383561643836,2009-06-11,2009,23,20,14,14,14,11,11,NA,NA,11,12,12,NA,NA,12
8436,1903,F,21.041095890411,2009-06-11,2009,21,21,NA,NA,21,19,11,19,19,19,20,20,NA,NA,20
8437,1815,F,19.041095890411,2009-06-11,2009,19,20,19,19,19,10,13,14,11,12,17,13,18,18,18
8438,2040,F,19.041095890411,2009-06-11,2009,21,17,19,19,19,16,13,16,13,13,15,18,16,18,18
8439,1940,F,19.041095890411,2009-06-11,2009,27,21,19,20,19,10,10,NA,NA,10,13,12,12,16,14
8440,1895,F,19.041095890411,2009-06-11,2009,18,20,15,19,19,13,13,NA,NA,13,16,13,16,16,16
8441,1715,M,28.0465753424658,2009-06-11,2009,28,28,NA,NA,28,17,15,15,17,16,15,10,13,13,13
8442,810,NA,2.02191780821918,2009-06-08,2009,3,2,3,2,2,3,2,3,3,3,3,3,NA,NA,3
8444,1345,M,5.02465753424658,2009-06-09,2009,5,5,NA,NA,5,4,4,NA,NA,4,4,7,5,6,5
8447,1275,M,6.9972602739726,2009-05-29,2009,7,7,NA,NA,7,7,7,NA,NA,7,6,5,6,7,7
9022,2083,NA,21,2008-01-01,2008,33,23,21,21,21,14,11,10,23,17,15,14,14,18,16
