id,tl,wt,sex,otoliths_R1,otoliths_R2
1,172,69,F,2,2
2,187,87,F,2,2
4,184,89,F,2,2
5,155,62,F,1,1
6,163,66,F,1,1
7,195,96,F,7,7
8,188,93,F,3,3
9,171,68,M,2,2
10,169,68,F,4,4
11,181,84,F,4,4
13,178,78,F,2,2
14,201,110,F,4,4
15,183,85,F,3,3
16,186,90,F,4,4
17,178,85,F,2,2
18,174,66,M,2,2
19,178,76,F,3,3
20,173,71,M,2,2
21,167,64,M,3,3
22,149,46,I,1,1
23,214,121,F,6,6
24,198,99,F,4,4
25,204,110,F,5,5
26,200,104,M,5,5
27,181,77,F,3,3
28,181,75,M,4,4
29,172,71,M,4,4
30,172,73,M,3,3
31,201,119,M,4,4
32,178,78,F,5,5
33,164,63,F,1,1
34,170,61,F,2,2
35,182,73,F,4,4
36,179,82,F,3,3
37,179,76,F,2,2
38,185,77,M,4,4
39,179,66,F,4,4
40,163,55,M,2,2
41,195,106,F,6,6
42,176,72,F,3,3
43,177,70,F,3,3
44,179,77,F,1,1
45,160,55,F,1,1
46,166,57,M,1,1
47,152,45,F,1,1
48,149,45,I,1,1
49,140,37,I,1,1
50,185,85,F,5,5
51,175,68,F,3,3
52,182,70,M,3,3
53,165,60,M,2,2
54,160,55,M,1,1
55,151,49,F,1,1
56,212,120,F,5,5
57,162,57,F,2,2
58,207,117,F,5,5
59,180,80,M,4,4
60,190,87,F,4,4
61,175,77,F,2,2
62,182,75,F,5,5
63,177,74,F,2,2
64,180,71,F,3,3
65,186,73,M,5,5
66,176,74,F,2,2
67,157,51,I,1,1
68,189,78,F,4,4
69,181,77,F,2,2
70,183,82,F,2,2
71,181,70,F,4,4
72,180,69,F,4,4
73,180,69,F,2,2
74,185,72,F,3,3
75,178,71,F,3,3
76,175,63,M,4,4
77,148,43,I,1,1
78,194,96,F,4,4
79,190,90,F,6,6
81,162,53,F,2,2
82,168,50,F,2,2
83,157,49,F,1,1
84,150,42,F,1,1
85,170,58,M,2,2
86,172,61,F,1,1
89,151,45,M,1,1
90,144,38,I,1,1
91,146,40,I,1,1
92,138,34,I,1,1
93,174,71,F,2,2
94,176,73,F,3,3
95,166,53,F,1,1
96,158,59,M,1,1
97,160,53,M,1,1
98,162,54,M,2,2
99,157,49,M,1,1
100,155,46,F,1,1
101,151,44,M,1,1
102,149,42,I,1,1
103,152,45,M,1,1
104,187,81,F,5,5
105,189,82,F,5,5
106,181,70,F,3,3
107,170,56,F,3,3
108,162,57,I,2,2
109,166,56,M,3,3
110,181,74,F,4,4
111,179,70,F,3,3
112,183,75,M,4,4
113,178,68,F,4,4
114,171,69,M,3,3
115,162,49,F,2,2
118,160,55,F,2,2
119,170,62,F,3,3
120,161,51,F,2,2
121,157,46,I,2,2
122,159,50,F,2,2
123,152,41,F,1,1
124,147,40,M,1,1
125,158,49,F,1,1
126,163,53,F,2,2
127,152,42,M,2,2
128,170,65,F,2,2
129,169,61,F,2,2
130,171,62,F,2,2
131,166,53,F,2,2
132,159,46,M,2,2
133,154,41,I,1,1
134,148,40,F,1,1
135,162,49,F,2,2
136,166,53,F,2,2
137,160,49,M,2,2
138,151,45,M,1,1
140,146,36,I,1,1
141,173,66,F,2,2
142,170,60,M,3,3
143,170,61,F,3,3
144,172,67,F,2,2
145,168,56,F,2,2
146,162,55,M,2,2
147,157,48,F,2,2
148,157,47,M,2,2
149,160,47,F,2,2
150,159,55,F,2,2
153,156,47,M,2,2
154,157,52,M,2,2
155,154,42,I,2,2
156,153,47,I,2,2
157,155,46,F,2,2
158,150,42,F,2,2
159,156,45,F,1,1
160,182,70,F,3,3
161,180,73,F,3,3
163,172,58,F,2,2
164,170,59,F,2,2
165,169,54,F,4,4
167,161,53,F,2,2
168,164,53,F,2,2
169,165,51,F,2,2
170,153,44,I,1,1
171,206,111,F,7,7
172,215,122,F,7,7
173,217,130,F,8,8
174,203,115,F,8,8
175,202,100,F,7,7
176,203,97,F,8,8
177,202,112,F,8,8
178,189,73,F,4,4
179,187,81,F,4,4
180,196,87,M,4,4
181,187,84,F,4,4
182,193,87,F,3,3
183,161,44,M,2,2
184,157,49,I,1,1
185,142,34,I,1,1
186,199,95,M,6,6
187,186,74,M,4,4
188,185,71,M,3,3
189,167,50,I,2,2
190,171,60,M,4,4
192,177,65,F,4,4
193,166,57,F,2,2
194,162,50,F,3,3
196,163,51,M,2,2
197,162,49,F,2,2
198,158,49,M,2,2
201,162,48,F,3,3
202,178,68,F,4,4
203,183,72,F,4,4
204,191,74,F,4,4
205,210,109,F,7,7
206,182,75,F,3,3
207,185,71,F,3,3
208,188,79,M,3,3
209,151,40,F,2,2
210,140,34,M,1,1
211,183,68,F,4,4
212,176,55,F,2,2
213,149,38,F,1,1
215,203,101,F,5,5
216,184,73,F,4,4
217,166,53,M,2,2
218,165,53,F,2,2
219,155,44,F,2,2
220,165,58,F,2,2
221,168,55,F,2,2
223,170,57,F,3,3
224,157,43,M,2,2
225,152,42,F,2,2
226,189,78,F,3,3
227,191,90,F,5,5
229,178,67,F,3,3
230,170,54,F,2,2
231,164,56,F,2,2
232,160,50,M,2,2
233,151,42,F,1,1
234,160,46,F,1,1
235,157,46,M,2,2
236,153,43,M,2,2
237,194,87,M,5,5
238,173,63,F,2,2
239,166,54,F,2,2
240,156,45,F,1,1
241,151,43,F,1,1
242,162,48,M,2,2
243,155,43,M,2,2
244,150,41,F,1,1
245,150,35,F,1,1
246,141,33,F,2,2
247,186,79,F,3,3
248,193,87,F,3,3
249,191,79,F,4,4
250,180,73,F,3,3
252,167,60,M,2,2
253,172,59,F,2,2
254,146,37,M,1,1
255,176,65,F,3,3
256,180,65,M,3,3
257,176,62,F,2,2
258,169,54,F,2,2
259,159,48,F,2,2
260,175,65,F,3,3
261,171,65,M,5,5
262,167,58,F,2,2
263,160,47,F,2,2
264,164,53,F,2,2
265,165,48,F,2,2
266,172,60,M,2,2
267,160,46,F,2,2
268,162,49,F,2,2
269,155,41,F,2,2
270,199,101,F,5,5
271,184,83,F,3,3
273,184,75,F,5,5
274,179,67,F,5,5
275,181,73,F,3,3
276,172,60,F,5,5
277,205,117,F,6,6
279,185,83,F,3,3
280,170,61,F,3,3
281,205,115,F,6,6
282,198,97,F,5,5
283,194,101,F,4,4
284,193,102,F,5,5
285,187,98,F,4,4
286,185,84,M,5,5
287,185,90,F,3,3
288,176,75,F,2,2
289,182,85,F,2,2
290,187,82,F,5,5
291,178,68,F,5,5
292,213,128,F,4,4
293,199,104,F,4,4
294,189,91,F,4,4
295,189,85,F,4,4
296,202,121,F,6,6
297,198,108,F,5,5
298,193,94,F,6,6
299,182,81,M,4,4
300,180,75,F,4,4
301,175,67,M,3,3
302,204,127,F,5,5
303,190,100,F,4,4
304,183,82,M,4,4
306,199,110,F,4,4
307,183,92,M,3,3
308,189,91,M,4,4
309,179,80,M,4,4
310,180,85,F,3,3
311,174,78,M,4,4
312,176,80,M,3,3
313,174,75,M,2,2
314,174,72,F,2,2
315,212,137,F,4,4
317,176,77,F,2,2
318,209,121,M,7,7
320,229,177,F,5,5
321,190,110,F,3,3
322,190,91,F,3,3
323,187,85,F,2,2
324,179,78,M,4,4
326,232,165,F,6,6
327,183,86,M,4,4
328,187,85,F,4,4
331,171,69,M,4,4
332,172,64,M,2,2
333,171,68,M,3,3
334,167,62,M,3,3
336,189,93,F,5,5
337,167,63,M,2,2
338,181,82,F,3,3
339,175,70,M,3,3
340,169,67,F,2,2
341,183,84,M,4,4
342,166,60,M,2,2
343,156,52,M,1,1
344,192,105,F,4,4
345,182,75,F,3,3
346,197,106,F,4,4
347,192,94,F,5,5
348,188,92,M,4,4
350,174,73,M,3,3
351,178,77,M,3,3
352,174,75,M,4,4
353,186,82,M,4,4
354,199,107,F,4,4
355,191,95,M,4,4
356,189,105,F,5,5
358,183,62,F,5,5
360,168,67,M,3,3
361,172,67,M,4,4
362,167,63,M,3,3
363,168,65,F,2,2
364,166,59,M,2,2
365,172,62,M,3,3
366,178,71,M,3,3
367,164,61,M,2,2
369,153,47,M,1,1
370,173,59,M,2,2
372,168,60,M,1,1
373,219,166,F,5,5
374,222,167,F,6,6
375,185,98,F,1,1
377,214,146,M,5,5
378,199,113,F,3,3
379,224,144,F,6,6
380,218,152,F,4,4
381,202,119,F,3,3
383,182,84,M,3,3
384,198,105,M,4,4
385,184,78,M,3,3
387,201,97,F,6,6
389,196,102,F,4,4
390,192,91,F,5,5
391,186,81,F,5,5
392,194,93,F,5,5
393,185,79,F,4,4
394,189,75,F,5,5
395,184,81,F,5,5
396,181,79,F,3,3
397,188,89,F,4,4
398,176,72,F,5,5
399,221,126,F,6,6
400,190,82,F,4,4
401,179,74,F,3,3
402,184,70,M,4,4
403,169,61,F,3,3
404,208,123,F,4,4
405,191,87,M,3,3
