id,tl,reader1,reader2
010008,180,7,9
010024,164,7,8
010042,159,4,6
010056,181,9,9
010057,162,7,8
010086,136,4,5
010100,130,3,3
010117,172,7,6
010120,150,7,8
010129,159,6,8
010136,168,6,8
010138,189,9,9
010140,161,8,7
010144,107,1,1
010145,170,7,8
010146,182,9,10
010150,178,9,8
010152,165,9,8
010159,161,5,8
010181,186,8,10
010183,170,6,8
010187,198,8,10
010193,109,2,1
010196,148,3,5
010200,177,8,7
010201,222,15,13
010202,174,8,9
010203,215,12,11
010204,196,8,9
010205,201,10,12
010206,199,13,13
010212,167,7,10
010225,180,7,10
010230,189,9,10
010232,183,9,7
010233,184,8,7
010237,178,8,9
010238,151,5,6
010239,155,9,11
010240,166,5,6
010241,226,12,15
010242,196,10,10
010245,170,5,8
010248,176,6,7
010253,165,6,9
010286,194,7,9
020006,159,7,8
020074,146,4,5
020086,186,6,8
020088,196,10,12
020099,174,9,8
020100,225,18,18
020116,162,9,9
020120,185,8,11
030009,195.23535,10,9
030040,137.36208,1,4
030092,206.58305,6,8
030096,179.34857,6,9
030103,157.78794,6,7
030113,162.32702,6,7
030129,163.46179,5,7
030167,154.38363,7,6
030231,154.38363,7,7
030238,177.07903,7,8
040312,185,7,8
040326,161,5,6
040330,192,6,9
040333,228,14,14
040343,209,10,13
040347,139,8,10
040358,226,18,15
040361,134,8,8
040362,190,9,10
040363,171,9,10
040369,240,7,10
040378,163,16,16
040389,190,8,7
050050,151,4,7
050057,181,7,8
050083,170,6,6
050099,155,7,7
050102,171,8,10
050103,188,9,8
050104,158,9,9
050105,152,6,9
050116,169,5,7
050131,142,5,6
050136,164,6,7
050147,178,6,8
050192,155,7,7
050193,235,17,16
050197,165,8,6
050211,76,0,0
050212,180,6,7
050215,145,4,5
050216,189,9,8
060049,155.5184,9,9
070002,142,9,8
070005,128,5,8
070014,176,8,9
070017,184,9,9
070026,180,8,8
070038,190,7,9
