id,tl,sl,otolith_R1,otolith_R2,scales_R1,scales_R2
174767,33.9,27.8,3,3,NA,NA
174799,34.6,27.5,3,3,3,3
174800,29.9,24.3,3,3,NA,NA
174801,28.9,24.5,3,3,NA,NA
174802,32,26.3,3,3,NA,NA
174803,NA,24.3,NA,NA,NA,NA
174808,28.8,23.5,3,3,NA,NA
174809,NA,22.8,3,3,NA,NA
174810,29.9,23.5,3,3,4,3
174836,23.5,18.3,3,3,2,2
174951,27.1,23.2,3,3,4,3
174952,28.7,24.6,3,3,NA,NA
174960,28.9,23.5,3,3,3,3
174961,28.1,22.5,2,2,2,3
174962,28.5,22.6,3,2,NA,NA
174963,30.2,24.2,3,3,NA,NA
174964,NA,19.9,3,3,3,3
174965,30.2,24.2,3,3,3,3
174972,32.5,26.2,3,3,3,3
174973,NA,23.5,3,3,3,3
174974,30.9,24.5,NA,NA,3,3
174975,NA,22.5,3,2,3,3
174976,29.2,23.6,3,3,NA,NA
174977,30.5,24.5,3,3,3,3
174978,NA,25.5,3,3,NA,NA
174979,31.2,25.5,3,3,NA,NA
174980,NA,25.5,3,3,NA,NA
174981,NA,24.9,NA,NA,NA,NA
174982,29,NA,3,3,NA,NA
175041,31.6,25.5,3,3,3,3
175042,29.6,24.2,NA,NA,3,3
175043,30.1,24.5,3,3,NA,NA
175044,30.2,24.3,3,3,NA,NA
175045,30.5,25.1,NA,3,NA,NA
175070,30.2,26.5,NA,NA,NA,NA
175071,NA,23.5,3,3,NA,NA
175072,30.8,24.5,3,3,3,3
175122,NA,24.9,2,2,NA,NA
175124,46.2,39.1,6,5,5,5
175150,23.7,19.5,3,2,NA,NA
175156,24.5,19.8,3,3,2,2
175178,35,27.5,3,3,NA,NA
175179,26.5,20.7,NA,NA,3,3
175180,NA,21.3,3,3,NA,NA
175181,NA,21.5,3,3,3,3
175182,29.7,23.2,3,3,NA,NA
175183,29.1,23.5,3,3,3,3
175184,NA,21,3,3,NA,NA
175185,NA,22,NA,3,3,3
175193,27.6,20.5,NA,NA,NA,NA
175194,29,23,3,NA,NA,NA
175195,NA,24,3,NA,4,3
175196,NA,24.5,3,3,NA,NA
175197,28.5,23.4,3,3,NA,NA
175198,28.7,23,3,3,NA,NA
175199,28.3,22,3,3,3,3
175200,NA,22.5,3,3,3,3
175201,27,22.5,3,3,3,3
175202,25.1,22.9,NA,2,3,3
175203,27.5,21.5,3,3,3,3
175204,32.2,25,3,3,NA,NA
175205,NA,25,3,3,4,4
175206,29.3,22.4,NA,3,4,3
175207,28.5,23,3,3,NA,NA
175208,NA,22.5,3,3,3,3
175210,26.5,20.3,3,3,2,2
175213,39.9,31.5,6,6,4,3
175214,29.5,23.5,4,4,NA,NA
175215,NA,24.5,3,3,3,3
175216,30.5,25,5,4,3,3
175217,30.6,24.4,3,3,NA,NA
175218,28.5,23.6,3,3,3,3
175219,30.9,24,NA,NA,4,3
175220,30,23.4,NA,NA,4,3
175221,29.7,23,3,3,NA,NA
175222,NA,25,NA,NA,3,3
175229,41,33,4,4,3,NA
175235,NA,22,3,3,NA,NA
175298,29.5,23.5,4,3,NA,NA
175299,28,23,NA,NA,NA,3
