id,loc,tl,otoliths_R1,otoliths_R2,otoliths_R3,cleithra_R1,cleithra_R2,cleithra_R3
DL_1,Devils Lake,64,3,3,4,4,4,4
DL_2,Devils Lake,78,6,6,6,8,6,8
DL_3,Devils Lake,63,6,6,7,5,4,5
DL_4,Devils Lake,77,6,6,6,7,6,5
DL_5,Devils Lake,89,7,7,8,7,7,7
DL_6,Devils Lake,76,8,9,8,7,9,6
DL_7,Devils Lake,79,10,10,10,8,9,8
DL_8,Devils Lake,72,6,5,5,4,4,5
DL_9,Devils Lake,70,6,5,7,6,6,6
DL_10,Devils Lake,101,12,12,12,11,12,11
DL_11,Devils Lake,97,7,8,7,9,9,10
DL_12,Devils Lake,84,9,11,11,8,9,7
DL_13,Devils Lake,84,5,7,7,8,7,8
DL_14,Devils Lake,81,6,6,7,6,7,7
DL_15,Devils Lake,81,10,9,10,9,8,9
DL_16,Devils Lake,73,6,6,6,8,7,6
DL_17,Devils Lake,73,7,7,6,8,8,6
DL_18,Devils Lake,59,2,2,3,3,3,2
DL_19,Devils Lake,71,5,5,6,5,5,5
DL_20,Devils Lake,52,3,3,4,2,3,2
DL_21,Devils Lake,48,2,2,2,3,3,2
DL_22,Devils Lake,76,7,6,8,5,5,6
DL_23,Devils Lake,44,2,2,3,4,2,2
DL_24,Devils Lake,46,2,2,3,3,3,2
DL_25,Devils Lake,58,3,3,3,2,4,2
DL_26,Devils Lake,48,3,2,3,3,3,2
DL_27,Devils Lake,73,6,6,6,7,6,7
DL_28,Devils Lake,63,5,6,5,6,7,6
DL_29,Devils Lake,51,2,3,4,2,3,2
DL_30,Devils Lake,48,2,2,3,2,2,2
DL_31,Devils Lake,47,2,2,4,2,2,2
DL_32,Devils Lake,45,2,2,3,3,3,3
DL_33,Devils Lake,45,2,2,2,2,2,2
DL_34,Devils Lake,42,2,2,4,2,2,2
DL_35,Devils Lake,66,6,7,7,5,6,7
DL_36,Devils Lake,68,6,6,7,5,6,5
DL_37,Devils Lake,37,2,2,3,2,2,1
DL_38,Devils Lake,58,5,5,6,5,5,5
DL_39,Devils Lake,46,2,2,4,3,3,2
DL_40,Devils Lake,47,2,2,3,2,2,3
DL_41,Devils Lake,39,2,2,4,2,2,2
DL_42,Devils Lake,53,2,2,3,2,2,2
DL_43,Devils Lake,48,2,2,4,2,2,2
DL_44,Devils Lake,37,2,2,3,2,2,1
DL_45,Devils Lake,39,2,2,3,2,2,2
DL_46,Devils Lake,51,2,2,2,2,2,2
DL_47,Devils Lake,50,2,2,3,2,2,2
DL_48,Devils Lake,73,6,5,6,5,5,6
DL_49,Devils Lake,49,2,2,4,2,2,3
DL_50,Devils Lake,75,12,12,13,8,8,8
DL_51,Devils Lake,46,3,2,3,2,2,2
DL_52,Devils Lake,68,6,6,7,6,6,8
DL_53,Devils Lake,63,5,5,6,5,5,5
DL_54,Devils Lake,48,2,2,4,2,2,2
DL_55,Devils Lake,69,5,5,6,5,4,4
DL_56,Devils Lake,71,11,10,12,7,10,6
DL_57,Devils Lake,32,2,1,3,1,1,1
DL_58,Devils Lake,39,2,2,3,2,2,2
DL_59,Devils Lake,38,2,2,4,2,2,2
DL_60,Devils Lake,48,2,2,5,3,3,3
DL_61,Devils Lake,49,2,2,3,2,2,2
DL_62,Devils Lake,69,6,5,6,5,5,5
DL_63,Devils Lake,69,6,6,7,6,6,6
DL_64,Devils Lake,75,6,6,6,6,5,5
DL_65,Devils Lake,74,9,10,10,9,9,8
DL_66,Devils Lake,85,8,8,7,8,7,8
CL_1,Cable Lake,37,2,2,2,3,3,3
CL_2,Cable Lake,50,5,4,5,5,5,5
CL_3,Cable Lake,44,4,3,3,4,4,4
CL_4,Cable Lake,42,5,4,4,5,6,4
CL_5,Cable Lake,31,3,3,4,5,5,5
CL_6,Cable Lake,52,6,6,7,6,8,8
CL_7,Cable Lake,38,3,5,3,3,3,3
CL_8,Cable Lake,31,4,4,4,3,3,3
CL_9,Cable Lake,46,4,3,4,5,5,5
CL_10,Cable Lake,50,4,3,4,4,4,6
CL_11,Cable Lake,48,5,4,5,5,5,5
CL_12,Cable Lake,45,4,3,4,4,4,4
CL_13,Cable Lake,46,3,3,3,4,4,5
CL_14,Cable Lake,40,3,2,3,3,4,3
