id,year,age_TRUE,wholeoto_CONSENSUS,wholeoto_R1,wholeoto_R2,sectoto_CONSENSUS,sectoto_R1,sectoto_R2
237_145,2004,0,0,0,0,NA,NA,NA
1_1,2004,1,1,1,1,NA,NA,NA
3_3,2004,1,1,1,1,NA,NA,NA
6_5,2004,1,1,1,1,NA,NA,NA
8_7,2004,1,1,1,1,NA,NA,NA
9_8,2004,1,1,1,1,NA,NA,NA
11_10,2004,1,1,1,1,NA,NA,NA
12_11,2004,1,1,1,1,NA,NA,NA
17_14,2004,1,1,1,1,NA,NA,NA
18_15,2004,1,1,1,1,NA,NA,NA
25_16,2004,1,1,1,1,NA,NA,NA
29_17,2004,1,1,1,1,NA,NA,NA
30_18,2004,1,1,1,1,NA,NA,NA
31_19,2004,1,1,1,1,NA,NA,NA
38_20,2004,1,1,1,1,NA,NA,NA
43_21,2004,1,1,1,1,NA,NA,NA
48_26,2004,1,1,1,1,NA,NA,NA
53_31,2004,1,1,1,1,NA,NA,NA
54_32,2004,1,1,1,1,NA,NA,NA
55_33,2004,1,1,1,1,NA,NA,NA
56_34,2004,1,1,1,1,NA,NA,NA
57_35,2004,1,1,1,1,NA,NA,NA
59_36,2004,1,1,1,1,NA,NA,NA
60_37,2004,1,1,1,1,NA,NA,NA
66_42,2004,1,1,1,1,NA,NA,NA
67_43,2004,1,1,1,1,NA,NA,NA
68_44,2004,1,1,1,1,NA,NA,NA
71_47,2004,1,1,1,1,NA,NA,NA
75_51,2004,1,1,1,1,NA,NA,NA
80_52,2004,1,1,1,1,NA,NA,NA
81_53,2004,1,1,1,1,NA,NA,NA
82_54,2004,1,1,1,2,NA,NA,NA
83_55,2004,1,1,1,1,NA,NA,NA
84_56,2004,1,1,1,1,NA,NA,NA
85_57,2004,1,1,1,1,NA,NA,NA
86_58,2004,1,1,1,1,NA,NA,NA
87_59,2004,1,1,1,1,NA,NA,NA
88_60,2004,1,1,1,1,NA,NA,NA
89_61,2004,1,1,1,1,NA,NA,NA
93_65,2004,1,1,1,1,NA,NA,NA
99_71,2004,1,1,1,1,NA,NA,NA
100_72,2004,1,1,1,1,NA,NA,NA
102_74,2004,1,1,1,1,NA,NA,NA
103_75,2004,1,1,1,1,NA,NA,NA
104_76,2004,1,1,1,1,NA,NA,NA
106_78,2004,1,1,1,1,NA,NA,NA
107_79,2004,1,1,1,1,NA,NA,NA
108_80,2004,1,1,1,1,NA,NA,NA
109_81,2004,1,1,1,1,NA,NA,NA
110_82,2004,1,1,1,1,NA,NA,NA
111_83,2004,1,1,1,1,NA,NA,NA
117_89,2004,1,1,1,1,NA,NA,NA
118_90,2004,1,1,1,1,NA,NA,NA
119_91,2004,1,1,1,1,NA,NA,NA
128_98,2004,1,1,1,1,NA,NA,NA
136_103,2004,1,1,1,1,NA,NA,NA
137_104,2004,1,1,1,1,NA,NA,NA
139_105,2004,1,1,1,1,NA,NA,NA
180_118,2004,1,1,1,1,NA,NA,NA
181_119,2004,1,1,1,1,NA,NA,NA
182_120,2004,1,1,1,1,NA,NA,NA
194_124,2004,1,1,1,1,NA,NA,NA
198_128,2004,1,1,1,1,NA,NA,NA
199_129,2004,1,1,1,1,NA,NA,NA
210_132,2004,1,1,1,1,NA,NA,NA
225_137,2004,1,1,1,1,NA,NA,NA
230_139,2004,1,1,1,1,NA,NA,NA
232_140,2004,1,1,1,1,NA,NA,NA
233_141,2004,1,1,1,1,NA,NA,NA
234_142,2004,1,1,1,1,NA,NA,NA
236_144,2004,1,1,1,1,NA,NA,NA
239_146,2004,1,1,1,1,NA,NA,NA
240_147,2004,1,1,2,1,NA,NA,NA
241_148,2004,1,1,1,1,NA,NA,NA
242_149,2004,1,1,1,1,NA,NA,NA
243_150,2004,1,1,1,1,NA,NA,NA
244_151,2004,1,1,1,1,NA,NA,NA
245_152,2004,1,1,1,1,NA,NA,NA
246_153,2004,1,1,1,1,NA,NA,NA
247_154,2004,1,1,1,1,NA,NA,NA
248_155,2004,1,1,1,1,NA,NA,NA
249_156,2004,1,1,1,1,NA,NA,NA
250_157,2004,1,1,1,1,NA,NA,NA
260_164,2004,1,1,1,1,NA,NA,NA
267_168,2004,1,1,1,1,NA,NA,NA
268_169,2004,1,1,1,1,NA,NA,NA
270_171,2004,1,1,1,1,NA,NA,NA
271_172,2004,1,1,1,1,NA,NA,NA
286_180,2004,1,1,1,1,NA,NA,NA
287_181,2004,1,1,1,1,NA,NA,NA
288_182,2004,1,1,1,1,NA,NA,NA
289_183,2004,1,1,1,1,NA,NA,NA
290_184,2004,1,1,1,1,NA,NA,NA
291_185,2004,1,1,1,1,NA,NA,NA
292_186,2004,1,1,1,1,NA,NA,NA
298_192,2004,1,1,1,1,NA,NA,NA
299_193,2004,1,1,1,1,NA,NA,NA
301_195,2004,1,1,1,2,NA,NA,NA
304_198,2004,1,1,1,1,NA,NA,NA
305_199,2004,1,1,1,1,NA,NA,NA
313_207,2004,1,1,1,1,NA,NA,NA
314_208,2004,1,1,1,1,NA,NA,NA
316_210,2004,1,1,1,1,NA,NA,NA
317_211,2004,1,1,1,1,NA,NA,NA
319_213,2004,1,1,1,1,NA,NA,NA
320_214,2004,1,1,1,1,NA,NA,NA
321_215,2004,1,1,1,1,NA,NA,NA
322_216,2004,1,1,1,1,NA,NA,NA
324_218,2004,1,1,1,1,NA,NA,NA
325_219,2004,1,1,1,1,NA,NA,NA
326_220,2004,1,1,1,1,NA,NA,NA
351_231,2004,1,1,1,1,NA,NA,NA
353_233,2004,1,1,1,1,NA,NA,NA
359_238,2004,1,1,1,1,NA,NA,NA
361_240,2004,1,1,1,1,NA,NA,NA
365_244,2004,1,1,1,1,NA,NA,NA
373_248,2004,1,1,1,1,NA,NA,NA
379_251,2004,1,1,1,1,NA,NA,NA
381_252,2004,1,1,1,1,NA,NA,NA
382_253,2004,1,1,1,1,NA,NA,NA
384_255,2004,1,1,1,1,NA,NA,NA
402_268,2004,1,1,1,1,NA,NA,NA
403_269,2004,1,1,1,1,NA,NA,NA
405_270,2004,1,1,1,1,NA,NA,NA
415_278,2004,1,1,1,1,NA,NA,NA
416_279,2004,1,1,1,1,NA,NA,NA
417_280,2004,1,1,1,1,NA,NA,NA
418_281,2004,1,1,1,1,NA,NA,NA
419_282,2004,1,1,1,1,NA,NA,NA
420_283,2004,1,1,1,1,NA,NA,NA
421_284,2004,1,1,1,1,NA,NA,NA
422_285,2004,1,1,1,1,NA,NA,NA
423_286,2004,1,1,1,1,NA,NA,NA
424_287,2004,1,1,1,1,NA,NA,NA
425_288,2004,1,1,1,1,NA,NA,NA
431_294,2004,1,1,1,1,NA,NA,NA
