id,species,stock,year,whoto_RW_1,whoto_RW_2,whoto_RW_3,whoto_NSC_1,whoto_NSC_2,whoto_NSC_3,sectoto_RW_1,sectoto_RW_2,sectoto_RW_3,sectoto_NSC_1,sectoto_NSC_2,sectoto_NSC_3,pelvic_RW_1,pelvic_RW_2,pelvic_RW_3,pelvic_NSC_1,pelvic_NSC_2,pelvic_NSC_3,pectoral_RW_1,pectoral_RW_2,pectoral_RW_3,pectoral_NSC_1,pectoral_NSC_2,pectoral_NSC_3
BE002,Dolly Varden,Rat River,2007,5,5,5,5,5,5,5,5,5,5,6,6,4,4,4,5,4,5,5,5,5,4,5,5
BE003,Dolly Varden,Rat River,2007,4,4,4,4,4,4,4,4,4,4,4,4,5,6,5,5,5,5,4,4,4,4,5,5
BE004,Dolly Varden,Rat River,2007,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,4,4,4,4,4,4
BE009,Dolly Varden,Rat River,2007,7,6,6,6,6,5,6,6,6,6,6,7,4,4,5,5,5,4,6,5,5,5,5,4
BE014,Dolly Varden,Rat River,2007,6,6,6,6,5,6,7,6,6,6,5,6,5,5,5,4,4,4,5,5,5,6,5,5
BE019,Dolly Varden,Rat River,2007,6,6,6,6,6,6,6,6,6,7,6,8,5,4,5,4,5,5,5,5,4,5,4,5
BE020,Dolly Varden,Rat River,2007,8,7,8,7,8,8,7,7,8,8,7,8,5,5,5,6,4,6,5,5,5,5,5,6
BE021,Dolly Varden,Rat River,2007,5,5,5,5,5,6,5,5,5,4,5,6,4,4,4,4,4,4,5,5,5,6,5,5
BE022,Dolly Varden,Rat River,2007,5,4,5,4,5,5,4,5,5,5,5,6,4,4,4,4,3,4,4,4,4,8,7,7
BE023,Dolly Varden,Rat River,2007,6,6,6,6,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,5
BE024,Dolly Varden,Rat River,2007,4,4,4,5,5,5,5,4,4,6,5,6,4,4,4,6,4,4,3,3,4,3,4,3
BE025,Dolly Varden,Rat River,2007,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,6,3,4,4,4,6,5,6
BE026,Dolly Varden,Rat River,2007,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
