id,tl,reader1A,reader1B,reader2
20025,86,2,3,4
20073,65,0,0,0
30160,68.44,0,0,0
20022,69,1,1,3
10059,74,0,0,0
10092,74,0,0,0
70007,76,0,0,0
10091,77,0,0,0
10095,78,0,0,0
30028,78.04,1,1,1
30171,81.64,0,0,0
30119,84.04,1,1,1
30128,84.04,1,1,1
30163,84.04,1,1,1
70009,85,0,0,1
40318,86,0,0,0
40370,86,0,0,1
30205,87.64,0,0,1
30260,88.84,1,1,2
40371,89,0,0,1
10090,80,1,0,0
30071,81.64,1,0,1
10045,82,1,0,1
10028,84,1,0,1
20007,86,4,3,5
30136,86.44,2,1,2
30251,88.84,2,1,1
30278,90.04,2,2,2
10016,91,0,0,1
30153,91.24,4,3,2
30054,92.44,6,5,8
60023,92.44,0,0,0
30050,93.64,1,1,2
10075,94,1,1,1
30210,94.84,1,1,1
50020,95,1,1,1
20005,96,8,5,7
20023,96,10,7,9
20044,96,2,2,2
20122,96,2,2,3
30037,96.04,1,1,2
30232,97.24,2,2,5
20077,98,5,5,6
30130,98.44,2,2,3
70042,100,1,1,2
30132,100.84,3,2,3
10010,102,2,2,3
20114,102,2,2,3
20124,102,5,5,7
30035,102.04,2,1,3
30090,104.44,2,2,4
20047,106,7,7,8
30066,106.84,3,2,4
30140,106.84,2,2,2
50074,107,1,2,2
20043,108,2,3,3
50030,109,2,2,2
30039,109.24,3,3,3
60043,109.24,1,1,2
50029,110,2,3,3
70008,110,2,2,3
30062,110.44,5,5,7
30073,110.44,4,3,7
10097,111,2,3,3
10025,112,3,3,3
20008,113,3,2,3
50027,114,4,4,3
30265,114.04,4,4,6
50039,115,3,2,4
70021,116,3,2,3
30065,116.44,3,2,5
20003,117,5,5,7
70001,117,4,4,6
30145,118.84,4,4,4
10084,120,3,4,6
50019,120,3,4,4
30064,120.04,3,3,6
30206,120.04,5,3,5
30245,120.04,4,3,5
60015,120.04,6,3,5
10085,121,4,4,4
30244,121.24,3,3,5
30277,121.24,4,4,5
20014,122,3,3,5
50046,122,4,4,5
30038,122.44,5,5,6
30149,122.44,4,4,4
30276,122.44,5,4,5
60053,122.44,4,6,6
30122,123.64,5,4,6
30183,123.64,5,3,5
30246,123.64,7,5,5
30263,123.64,5,5,5
10094,124,6,6,5
30017,124.84,5,4,6
30029,124.84,5,5,6
30041,124.84,4,4,7
30047,124.84,5,4,6
30169,124.84,6,5,5
30190,124.84,5,4,6
10099,126,5,5,5
50043,126,4,5,6
30082,126.04,4,4,7
30137,126.04,4,3,5
30156,126.04,4,4,7
30178,126.04,6,4,7
20004,127,7,7,9
20096,127,4,3,6
40374,127,3,3,4
50017,127,5,4,4
30034,127.24,5,4,5
30175,127.24,6,4,6
30187,127.24,4,4,5
70023,128,4,4,5
30084,128.44,5,4,5
30272,128.44,6,3,5
60035,128.44,2,2,3
10096,129,5,6,6
40346,129,3,3,4
50037,129,4,4,6
30076,129.64,7,7,8
30141,129.64,7,5,8
30157,129.64,5,5,7
30209,129.64,3,3,5
30256,129.64,7,5,7
60044,129.64,4,3,5
20053,130,4,3,6
20090,130,3,3,4
30120,130.84,6,5,8
30161,130.84,7,5,8
30207,130.84,7,4,9
30237,130.84,4,5,6
30255,130.84,6,5,7
30283,130.84,5,5,8
60021,130.84,5,5,6
60054,130.84,6,6,7
10106,131,4,4,7
70025,131,5,3,7
20013,132,2,2,6
50011,132,4,4,5
30013,133.24,8,7,8
30217,133.24,6,4,5
30267,133.24,6,5,7
60029,133.24,5,5,8
30247,134.44,6,4,9
60013,134.44,6,4,7
60050,134.44,5,5,5
20036,135,5,5,7
50001,135,4,4,7
50009,135,7,5,7
30003,135.64,6,5,7
30019,135.64,7,5,7
30048,135.64,4,4,7
30124,135.64,6,6,7
50033,136,4,4,6
30053,136.84,6,5,8
30097,136.84,8,8,9
30282,136.84,7,7,7
60028,136.84,8,8,8
60045,136.84,4,4,5
20009,137,5,5,7
20035,137,5,5,8
20039,137,4,4,8
10083,138,4,5,7
20033,138,6,6,8
20052,138,4,3,5
30002,138.04,6,5,7
30052,138.04,7,7,8
30070,138.04,7,6,7
