id,stream,species,date,tl,wt,sex,mat,otoliths_R1,otoliths_R2,otoliths_R3
102,Ash Creek,Brown Trout,2015-10-14,136,22,Unknown,Immature,1,1,1
43,Ash Creek,Brown Trout,2015-10-07,138,25,Unknown,Immature,1,1,1
69,Ash Creek,Brown Trout,2015-10-14,141,30,Male,NA,1,1,1
49,Ash Creek,Brown Trout,2015-10-07,145,28,Unknown,Immature,1,1,2
42,Ash Creek,Brown Trout,2015-10-07,147,33,Unknown,Immature,1,1,1
122,Ash Creek,Brown Trout,2015-10-14,147,30,Female,Immature,1,1,1
10,Ash Creek,Brown Trout,2015-10-07,148,30,Unknown,Immature,1,1,1
150,Ash Creek,Brown Trout,2015-10-14,149,32,Unknown,Immature,1,1,1
68,Ash Creek,Brown Trout,2015-10-14,150,30,Unknown,Immature,1,1,1
156,Ash Creek,Brown Trout,2015-10-14,150,32,Unknown,Immature,1,1,1
8,Ash Creek,Brown Trout,2015-10-07,152,34,Female,Immature,1,3,2
44,Ash Creek,Brown Trout,2015-10-14,153,36,Unknown,Immature,1,1,1
133,Ash Creek,Brown Trout,2015-10-14,153,32,Unknown,Immature,1,1,1
118,Ash Creek,Brown Trout,2015-10-14,154,39,Female,Immature,1,1,1
42,Ash Creek,Brown Trout,2015-10-14,155,37,Unknown,Immature,1,1,1
20,Ash Creek,Brown Trout,2015-10-07,156,33,Unknown,Immature,1,1,1
121,Ash Creek,Brown Trout,2015-10-14,156,36,Unknown,Immature,1,1,1
98,Ash Creek,Brown Trout,2015-10-14,157,42,Unknown,Immature,1,1,1
100,Big Spring,Brown Trout,2015-10-14,157,38,Male,Immature,1,1,1
116,Big Spring,Brown Trout,2015-10-14,158,35,Unknown,Immature,1,1,1
120,Big Spring,Brown Trout,2015-10-14,158,41,Unknown,Immature,1,1,1
12,Big Spring,Brown Trout,2015-10-07,159,42,Unknown,Immature,1,1,1
128,Big Spring,Brown Trout,2015-10-14,159,38,Unknown,Immature,1,1,1
19,Big Spring,Brown Trout,2015-10-13,160,43,Unknown,Immature,2,1,1
41,Big Spring,Brown Trout,2015-10-14,161,39,Unknown,Immature,1,1,1
90,Big Spring,Brown Trout,2015-10-14,162,40,Female,Immature,1,1,1
134,Big Spring,Brown Trout,2015-10-14,162,34,Unknown,Immature,1,1,1
6,Big Spring,Brown Trout,2015-10-21,162,40,Unkown,Immature,1,1,1
20,Big Spring,Brown Trout,2015-10-13,163,40,Female,Immature,2,1,1
139,Big Spring,Brown Trout,2015-10-14,163,40,Unknown,Immature,2,3,1
32,Big Spring,Brown Trout,2015-10-07,164,41,Unknown,Immature,1,1,1
22,Big Spring,Brown Trout,2015-10-07,165,36,Unknown,Immature,1,1,1
81,Big Spring,Brown Trout,2015-10-14,165,43,Unknown,Immature,1,2,1
91,Big Spring,Brown Trout,2015-10-14,165,41,Unknown,Immature,1,1,1
101,Big Spring,Brown Trout,2015-10-14,165,44,Unknown,Immature,1,1,1
143,Big Spring,Brown Trout,2015-10-14,165,42,Unknown,Immature,1,1,1
13,Big Spring,Brown Trout,2015-10-13,166,44,Unknown,Immature,1,1,1
65,Big Spring,Brown Trout,2015-10-14,166,46,Unknown,Immature,1,1,1
145,Big Spring,Brown Trout,2015-10-14,166,42,Unknown,Immature,1,1,1
5,Big Spring,Brown Trout,2015-10-07,167,41,Unknown,Immature,1,1,1
15,Big Spring,Brown Trout,2015-10-13,167,46,Female,Immature,2,1,1
111,Big Spring,Brown Trout,2015-10-14,167,167,Unknown,Immature,1,1,1
17,Big Spring,Brown Trout,2015-10-07,168,45,Unknown,Immature,1,1,1
9,Big Spring,Brown Trout,2015-10-07,169,47,Unknown,Immature,1,1,1
45,Big Spring,Brown Trout,2015-10-14,169,46,Unknown,Immature,1,1,1
131,Big Spring,Brown Trout,2015-10-14,169,47,Unknown,Immature,1,1,1
135,Big Spring,Brown Trout,2015-10-14,169,47,Female,Immature,1,1,1
89,Big Spring,Brown Trout,2015-10-14,170,47,Unknown,Immature,1,1,1
140,Big Spring,Brown Trout,2015-10-14,170,53,Male,NA,1,1,1
86,Big Spring,Brown Trout,2015-10-14,171,48,Male,NA,1,1,1
26,Big Spring,Brown Trout,2015-10-07,172,54,Male,NA,1,2,1
87,Big Spring,Brown Trout,2015-10-14,172,53,Female,Immature,1,1,1
19,Big Spring,Brown Trout,2015-10-07,173,46,Female,Immature,1,1,1
14,Big Spring,Brown Trout,2015-10-13,173,50,Unknown,Immature,1,1,1
99,Big Spring,Brown Trout,2015-10-14,173,53,Female,Immature,1,1,1
29,Big Spring,Brown Trout,2015-10-07,174,44,Unknown,Immature,1,1,1
88,Big Spring,Brown Trout,2015-10-14,174,53,Male,NA,1,1,1
40,Big Spring,Brown Trout,2015-10-14,175,49,Unknown,Immature,1,1,1
61,Big Spring,Brown Trout,2015-10-14,175,53,Unknown,Immature,2,1,2
67,Big Spring,Brown Trout,2015-10-14,175,51,Unknown,Immature,1,1,1
96,Big Spring,Brown Trout,2015-10-14,175,54,Male,NA,1,1,1
115,Big Spring,Brown Trout,2015-10-14,175,50,Unknown,Immature,1,1,1
17,Big Spring,Brown Trout,2015-10-13,176,56,Unknown,Immature,1,1,1
107,Big Spring,Brown Trout,2015-10-14,176,59,Male,NA,1,1,1
45,Big Spring,Brown Trout,2015-10-07,177,54,Unknown,Immature,1,1,2
84,Big Spring,Brown Trout,2015-10-14,178,58,Unknown,Immature,2,1,1
4,Big Spring,Brown Trout,2015-10-07,179,52,Unknown,Immature,1,1,1
37,Big Spring,Brown Trout,2015-10-14,179,57,Unknown,Immature,1,1,1
11,Big Spring,Brown Trout,2015-10-13,180,59,Female,NA,1,1,1
125,Big Spring,Brown Trout,2015-10-14,180,47,Unknown,Immature,1,1,2
132,Big Spring,Brown Trout,2015-10-14,180,59,Unknown,Immature,1,1,1
9,Big Spring,Brown Trout,2015-10-13,181,54,Female,Immature,1,2,1
92,Big Spring,Brown Trout,2015-10-14,182,68,Male,NA,1,1,1
114,Big Spring,Brown Trout,2015-10-14,182,58,Female,Immature,1,1,1
146,Big Spring,Brown Trout,2015-10-14,182,60,Female,Immature,1,1,1
28,Big Spring,Brown Trout,2015-10-14,183,56,Unknown,Immature,2,1,1
83,Big Spring,Brown Trout,2015-10-14,183,64,Male,NA,1,1,1
129,Big Spring,Brown Trout,2015-10-14,183,56,Male,Immature,1,1,1
30,Big Spring,Brown Trout,2015-10-14,184,55,Female,Immature,2,1,1
97,Big Spring,Brown Trout,2015-10-14,184,63,Unknown,Immature,1,1,1
148,Big Spring,Brown Trout,2015-10-14,184,56,Unknown,Immature,1,1,1
16,Big Spring,Brown Trout,2015-10-07,185,66,Unknown,Immature,1,1,1
18,Big Spring,Brown Trout,2015-10-07,185,58,Unknown,Immature,1,1,1
12,Big Spring,Brown Trout,2015-10-13,185,61,Unknown,Immature,2,1,1
79,Elk Creek,Brown Trout,2015-10-14,185,77,Male,NA,2,2,1
9,Elk Creek,Brown Trout,2015-10-21,185,61,Unkown,Immature,1,1,1
14,Elk Creek,Brown Trout,2015-10-07,186,57,Unknown,Immature,1,1,1
21,Elk Creek,Brown Trout,2015-10-07,186,58,Unknown,Immature,1,1,1
82,Elk Creek,Brown Trout,2015-10-14,186,73,Male,NA,1,1,1
123,Elk Creek,Brown Trout,2015-10-14,186,56,Unknown,Immature,2,1,1
28,Elk Creek,Brown Trout,2015-10-07,187,57,Unknown,Immature,1,1,1
13,Elk Creek,Brown Trout,2015-10-21,187,65,Unkown,Immature,1,1,1
7,Elk Creek,Brown Trout,2015-10-13,188,63,Unknown,Immature,1,1,1
29,Elk Creek,Brown Trout,2015-10-14,189,60,Unknown,Immature,2,1,1
77,Elk Creek,Brown Trout,2015-10-14,190,73,Male,NA,2,1,1
31,Elk Creek,Brown Trout,2015-10-07,192,76,Unknown,Immature,1,1,1
3,Elk Creek,Brown Trout,2015-10-13,192,168,Female,Immature,1,1,1
119,Elk Creek,Brown Trout,2015-10-14,192,66,Unknown,Immature,3,3,1
26,Elk Creek,Brown Trout,2015-10-14,193,70,Unknown,Immature,1,1,1
56,Elk Creek,Brown Trout,2015-10-14,193,65,Unknown,Immature,1,1,1
85,Elk Creek,Brown Trout,2015-10-14,194,69,Unknown,Immature,1,1,1
8,Elk Creek,Brown Trout,2015-10-13,195,77,Unknown,Immature,1,1,1
73,Elk Creek,Brown Trout,2015-10-14,195,75,Male,Immature,2,1,1
78,Elk Creek,Brown Trout,2015-10-14,195,71,Unknown,Immature,1,1,1
24,Elk Creek,Brown Trout,2015-10-14,196,82,Unknown,Immature,1,1,1
142,Elk Creek,Brown Trout,2015-10-14,196,78,Male,Immature,1,1,1
