id,year,day,fl,sex,scale_MG1,scale_MG2,scale_KH1,scale_KH2,otolith_MG1,otolith_MG2,otolith_KH1,otolith_KH2,finray_MG1,finray_MG2,finray_KH1,finray_KH2
1219,1992,274,883,F,13,12,12,12,18,18,19,19,19,19,19,19
1667,1993,299,351,NA,3,3,3,3,3,3,3,3,3,3,3,3
2064,1992,292,497,M,6,7,7,7,5,5,5,5,5,5,5,5
460,1993,209,660,M,12,11,9,10,9,9,10,10,11,11,11,12
562,1993,215,925,F,16,15,15,15,18,18,18,21,19,19,21,21
129,1993,200,733,M,10,10,10,11,15,15,15,15,14,12,15,15
406,1993,208,840,M,15,11,12,13,19,21,21,21,21,21,21,21
1865,1992,286,662,M,8,8,10,11,10,10,10,10,10,10,10,10
1313,1992,277,666,M,9,9,10,11,9,8,7,7,8,8,8,8
1642,1992,282,685,M,7,7,8,6,6,6,6,6,6,6,6,6
1156,1992,271,920,F,13,14,17,17,18,19,18,18,17,19,20,19
1320,1992,277,869,F,15,15,16,16,20,21,19,20,19,20,19,19
414,1993,208,813,F,13,13,12,14,14,15,15,14,14,14,14,14
546,1993,213,692,M,13,11,6,9,13,13,14,14,13,14,15,15
1654,1992,282,765,M,11,10,10,9,14,14,14,14,14,14,14,14
1290,1992,277,540,M,7,7,8,9,9,9,9,11,9,9,9,9
1650,1992,282,761,M,12,13,13,14,14,15,14,14,14,14,14,14
123,1993,199,757,F,13,11,13,14,13,13,13,13,13,13,13,13
1657,1992,282,679,M,10,8,12,10,11,11,11,11,10,10,10,11
1393,1992,277,530,M,5,5,5,5,4,4,5,6,5,5,5,5
224,1993,202,805,F,15,13,14,13,15,15,15,16,16,16,16,16
404,1993,208,777,M,11,11,10,10,15,16,15,15,16,16,16,16
2901,1992,322,854,F,12,11,11,12,16,17,17,17,14,13,17,15
170,1993,201,742,F,10,10,12,11,12,15,14,15,15,15,15,16
509,1993,211,905,F,16,13,15,16,18,19,19,19,20,20,19,20
105,1993,197,624,M,11,11,7,9,10,10,10,10,9,9,10,10
2530,1992,294,448,0,6,6,5,6,4,4,4,4,4,4,4,4
162,1993,201,438,M,8,6,4,4,4,4,4,4,5,5,5,5
2883,1992,319,587,F,10,9,8,7,10,10,9,10,9,10,10,10
1272,1992,275,1003,F,17,16,17,19,24,25,24,24,22,20,24,24
1823,1993,299,NA,NA,7,6,5,7,6,5,5,5,5,5,5,5
1734,1992,284,787,M,9,9,8,11,16,15,14,14,14,14,16,16
1706,1992,284,470,F,5,5,7,5,5,5,5,5,5,5,5,5
124,1993,199,919,F,17,16,16,20,21,20,20,20,20,19,21,22
107,1993,197,697,M,13,12,12,15,13,13,13,14,12,12,12,12
1708,1992,284,738,M,9,11,10,10,14,15,13,12,12,12,12,12
1473,1992,278,500,M,5,5,5,5,5,5,5,5,5,5,5,5
128,1993,199,826,F,14,13,16,14,16,17,17,17,17,17,17,17
1608,1993,298,485,F,4,4,8,4,4,4,4,4,NA,NA,NA,NA
1803,1992,286,440,F,5,6,4,4,4,4,4,4,4,4,4,1
1471,1992,278,840,F,13,13,17,17,19,18,18,18,15,16,18,18
1709,1992,284,747,M,11,11,11,11,15,16,16,16,14,14,14,17
1641,1992,282,288,F,2,2,2,2,2,2,2,2,2,2,2,3
587,1993,216,885,F,18,16,17,17,21,24,21,23,18,16,21,23
1178,1992,273,938,F,16,16,16,NA,21,23,20,21,19,18,19,19
135,1993,200,1122,F,20,20,23,22,30,30,31,31,26,26,31,31
464,1993,209,880,F,17,14,15,16,20,20,20,20,19,19,19,19
DCSNET,1992,283,1180*,NA,20,20,25,24,33,34,35,34,29,28,33,32
2653,1992,305,687,M,7,7,10,10,14,13,14,13,13,14,14,15
1653,1992,282,660,M,8,9,7,10,12,13,13,13,13,13,13,13
417,1993,208,592,M,8,7,7,7,7,9,7,7,7,7,7,7
1804,1992,286,440,F,5,5,6,5,4,4,4,4,5,5,4,4
1648,1992,282,747,M,10,10,11,9,15,16,15,15,15,14,15,15
1273,1992,275,902,F,11,13,12,14,19,19,19,20,19,19,20,19
1644,1992,282,719,M,10,9,9,10,14,14,14,14,13,13,14,15
517,1993,211,907,F,15,16,17,17,22,22,23,23,22,22,24,24
482,1993,211,639,M,12,10,8,12,11,10,11,11,10,11,10,11
169,1993,201,577,M,9,8,8,8,7,7,7,7,7,7,7,7
110,1993,197,909,F,13,12,13,14,18,19,18,19,19,18,18,10
1321,1992,277,962,F,15,14,14,18,21,22,22,22,23,23,24,23
122,1993,199,711,M,12,12,9,15,13,14,14,14,13,13,13,14
