id,tl,wt,branchio_MT,branchio_ZK,branchio_CONSENSUS,finrays_MT,finrays_ZK,finrays_CONSENSUS,otoliths_MT,otoliths_ZK,otoliths_CONSENSUS
1,510,836.8,4,4,4,11,6,7,6,6,6
2,341,226.4,3,3,3,2,2,2,4,4,4
3,400,431.4,3,3,3,2,1,2,4,4,4
4,490,708.2,3,3,3,3,4,3,5,5,5
5,642,1674.7,7,6,7,4,5,5,6,6,6
6,551,836.5,7,5,5,4,5,5,6,6,6
7,435,571.8,3,3,3,4,3,4,5,5,5
8,350,214,3,3,3,3,4,4,3,3,3
9,356,221.2,4,3,4,2,2,2,3,3,3
10,330,191.5,4,3,3,2,2,2,3,3,3
11,490,761.5,4,4,4,3,3,3,7,6,6
12,538,885.7,5,5,5,5,5,5,6,6,6
13,500,668.3,4,4,4,3,5,4,6,6,6
14,271,115,2,2,2,2,2,2,2,2,2
15,479,609.5,6,5,5,2,5,5,6,6,6
16,432,471.8,5,5,5,2,3,3,6,6,6
17,356,232.6,4,3,4,3,3,3,4,4,4
18,390,300.4,6,5,5,3,3,3,4,4,4
19,496,592.5,5,6,6,4,4,4,6,6,6
20,451,323.7,3,4,3,3,3,3,4,4,4
21,284,118.7,2,2,2,0,0,0,3,3,3
22,309,156.5,2,2,2,3,3,3,2,2,2
23,460,532.6,6,3,6,4,4,4,6,6,6
24,509,920.1,4,4,4,5,3,4,6,6,6
25,276,122.9,2,2,2,3,2,2,3,3,3
26,320,172.1,7,8,8,2,2,2,4,4,4
27,336,209.9,4,4,4,2,1,1,3,3,3
28,675,2366.6,5,4,5,5,5,5,6,6,6
29,362,220.4,2,3,3,1,1,1,4,4,4
30,515,885.1,7,7,7,4,4,4,5,6,6
31,364,209.3,4,4,4,2,2,2,4,4,4
32,342,180,2,2,2,0,0,0,3,3,3
34,493,761,5,6,6,4,4,4,5,6,6
35,565,1392,5,5,5,4,4,4,6,6,6
36,596,1172.6,7,7,7,3,3,3,7,7,7
