species,id,tl,wt,true_Age,oto_Tim,oto_Bryant,anal_MQ,anal_ZK,dorsal_MQ,dorsal_ZK,oto_C,anal_C,dorsal_C,otoConf_Tim,otoConf_Bryant,analConf_MQ,analConf_ZK,dorsalConf_MQ,dorsalConf_ZK
LMB,1,579,4123,7,7,7,7,7,7,7,7,7,7,3,3,0,0,1,1
LMB,2,566,3442,7,7,7,5,6,5,5,7,6,5,3,3,0,0,0,0
LMB,3,532,2643,8,8,8,6,6,6,5,8,6,6,2,3,0,0,1,1
LMB,4,565,3294,7,8,8,5,5,7,7,8,5,7,3,3,0,0,0,0
LMB,5,565,3561,7,7,7,5,5,10,9,7,5,9,3,3,1,0,0,0
LMB,6,524,2801,5,6,6,5,5,5,5,6,5,5,3,3,1,1,0,0
LMB,7,450,1740,NA,8,8,NA,NA,NA,NA,8,NA,NA,3,3,NA,NA,NA,NA
LMB,8,525,2980,7,7,7,5,5,6,6,7,5,6,3,3,0,0,1,1
LMB,9,555,3240,7,7,7,10,10,8,8,7,10,8,3,3,2,2,1,1
LMB,10,536,2434,7,7,7,NA,NA,6,6,7,NA,6,3,3,NA,NA,1,0
LMB,11,560,3304,7,7,7,6,6,7,7,7,6,7,3,3,0,0,1,2
LMB,12,480,2300,NA,3,3,NA,NA,NA,NA,3,NA,NA,3,3,NA,NA,NA,NA
LMB,13,537,3248,7,7,7,6,6,6,6,7,6,6,3,3,1,1,3,3
LMB,14,470,1954,3,3,3,4,4,3,3,3,4,3,3,3,2,2,2,1
LMB,15,545,3290,7,7,7,5,5,7,7,7,5,7,3,3,0,0,0,0
LMB,16,510,3232,8,8,8,6,6,NA,NA,8,6,NA,3,3,1,1,NA,NA
LMB,17,570,3767,7,7,7,6,6,6,6,7,6,6,3,3,1,0,2,2
LMB,18,553,2698,7,7,7,6,6,7,7,7,6,7,3,3,1,1,3,2
LMB,19,480,1985,NA,5,5,NA,NA,NA,NA,5,NA,NA,3,3,NA,NA,NA,NA
LMB,20,585,4204,7,7,7,6,6,8,8,7,6,8,3,3,0,0,1,1
LMB,21,522,3161,7,7,7,NA,NA,7,6,7,NA,7,3,3,NA,NA,0,0
LMB,22,542,3030,7,7,7,5,5,7,7,7,5,7,3,3,2,2,0,0
LMB,23,507,2538,8,8,8,5,5,6,6,8,5,6,2,3,0,0,1,2
LMB,24,514,2585,8,8,8,4,5,6,6,8,5,6,3,3,0,0,0,0
LMB,25,520,2612,7,7,7,5,5,5,5,7,5,5,3,3,0,0,1,1
LMB,26,566,3415,7,7,7,7,7,7,7,7,7,7,3,3,0,0,0,0
LMB,27,485,2196,NA,6,6,NA,NA,NA,NA,6,NA,NA,3,3,NA,NA,NA,NA
LMB,28,557,3308,7,7,7,5,5,7,7,7,5,7,3,3,0,0,0,0
LMB,29,496,2431,7,7,7,6,6,7,7,7,6,7,3,3,0,0,0,0
LMB,30,527,2855,8,8,8,6,6,9,7,8,6,9,3,3,0,0,0,0
LMB,31,516,2749,7,7,7,6,6,7,7,7,6,7,3,3,1,2,0,0
LMB,32,545,3363,7,7,7,6,6,7,6,7,6,7,3,3,0,0,0,0
LMB,33,452,1651,3,3,3,4,4,3,3,3,4,3,3,3,0,0,0,0
LMB,34,460,1747,3,3,3,4,4,4,4,3,4,4,3,3,1,2,1,1
LMB,35,540,3106,7,7,7,8,8,7,7,7,8,7,3,3,0,1,0,1
LMB,36,502,2314,8,8,8,5,4,5,4,8,5,5,3,3,0,0,1,0
LMB,37,585,3457,7,7,7,6,5,8,8,7,6,8,3,3,0,0,1,1
LMB,38,525,2730,7,8,8,7,7,10,10,8,7,10,3,3,2,2,1,1
LMB,39,546,3213,7,7,7,6,5,7,7,7,6,7,3,3,1,0,0,0
LMB,40,565,3803,7,7,7,5,5,7,7,7,5,7,3,3,1,2,1,2
LMB,41,535,2740,7,7,7,NA,NA,6,5,7,NA,6,3,3,NA,NA,0,0
LMB,42,554,3344,7,7,7,5,5,7,7,7,5,7,3,3,0,0,0,1
LMB,43,425,1225,NA,3,3,NA,NA,NA,NA,3,NA,NA,3,3,NA,NA,NA,NA
LMB,44,542,3468,7,7,7,5,5,7,7,7,5,7,3,3,0,0,0,0
LMB,45,445,1710,3,3,3,4,4,5,6,3,4,5,3,3,0,1,0,0
