tl,wt,sex,mat,finrays_R1,finrays_R2,finrays_R3,finrays_CONSENSUS,gular_R1,gular_R2,gular_R3,gular_CONSENSUS
500,1046,F,M,4,4,4,4,NA,NA,NA,NA
501,1114,F,M,3,3,3,3,NA,NA,NA,NA
510,1192,F,M,2,2,2,2,2,2,2,2
650,2290,M,M,8,9,7,NA,NA,NA,NA,NA
568,1488,M,M,5,4,5,5,4,5,3,NA
608,1876,M,M,5,5,5,5,5,6,4,NA
605,2126,M,M,2,3,2,2,6,7,7,NA
595,1980,M,M,6,5,6,6,4,4,5,4
631,2082,M,M,7,9,8,NA,7,8,8,8
614,2228,M,M,3,5,4,NA,5,6,6,6
600,1718,M,M,4,5,5,5,10,7,6,NA
597,1772,M,M,8,7,7,7,6,8,9,NA
620,2058,M,M,5,4,5,NA,7,7,8,7
562,1450,M,M,3,2,3,3,6,5,5,6
612,2090,M,M,7,7,6,7,NA,NA,NA,NA
649,2450,M,M,9,9,8,9,16,10,8,NA
573,1764,M,M,4,4,3,4,4,7,7,7
558,1538,M,M,5,5,5,5,5,5,5,5
624,1886,M,M,NA,NA,NA,NA,NA,NA,NA,NA
511,1244,F,M,2,2,2,2,4,5,5,5
606,1856,M,M,NA,NA,NA,NA,9,5,7,NA
511,1240,F,M,5,5,5,5,NA,NA,NA,NA
434,704,F,I,2,2,2,2,2,2,2,2
520,1482,F,M,7,7,7,7,6,5,5,5
520,1222,F,M,5,5,6,5,NA,NA,NA,NA
530,1240,F,M,6,3,3,3,NA,NA,NA,NA
547,1316,F,M,NA,NA,NA,NA,4,4,4,4
551,1540,F,M,5,5,5,5,NA,NA,NA,NA
653,2330,M,M,5,5,5,5,9,10,7,NA
553,1528,F,M,2,2,2,2,3,3,3,3
598,1620,M,M,NA,NA,NA,NA,NA,NA,NA,NA
625,2002,M,M,9,8,8,NA,7,9,7,7
631,2212,M,M,4,5,4,4,NA,NA,NA,NA
609,1840,M,M,7,5,8,NA,4,4,4,4
553,1564,F,M,5,6,5,5,4,4,4,4
557,1514,F,M,3,3,3,3,NA,NA,NA,NA
574,1820,M,M,5,5,5,5,4,4,3,4
558,1606,F,M,4,4,4,4,NA,NA,NA,NA
633,2222,M,M,3,3,3,3,5,4,4,4
560,1582,F,M,4,4,4,4,NA,NA,NA,NA
615,2002,M,M,8,7,7,7,8,11,8,8
562,1464,F,M,3,3,3,3,3,5,3,3
583,1716,M,M,NA,NA,NA,NA,4,5,4,4
565,1656,F,M,5,6,6,6,NA,NA,NA,NA
567,1604,F,M,5,6,4,5,NA,NA,NA,NA
570,1654,F,M,5,5,5,5,3,4,3,3
570,1600,F,M,5,5,5,5,6,5,3,NA
571,1502,F,M,4,4,4,4,5,4,5,5
660,2272,M,M,5,5,5,5,NA,NA,NA,NA
637,2026,M,M,4,4,4,4,7,7,7,7
571,1804,F,M,4,5,4,4,NA,NA,NA,NA
590,1766,U,I,6,7,6,6,4,4,4,4
574,1676,F,M,3,3,3,3,4,4,3,4
575,1724,F,M,4,4,4,4,NA,NA,NA,NA
682,2528,M,M,8,6,7,7,6,7,6,6
575,1730,F,M,6,6,6,6,NA,NA,NA,NA
576,1692,F,M,4,4,4,4,NA,NA,NA,NA
579,1874,F,M,4,4,4,4,NA,NA,NA,NA
580,1756,F,M,5,5,5,5,4,6,5,5
580,1786,F,M,8,8,8,8,4,3,3,3
544,1460,M,M,4,6,5,6,4,3,3,4
597,1648,M,M,3,3,3,3,NA,NA,NA,NA
584,1774,F,M,5,5,6,5,7,7,5,7
641,2238,M,M,6,7,5,6,5,6,6,6
548,1418,M,M,4,3,3,3,3,3,3,3
586,1926,F,M,3,4,4,4,NA,NA,NA,NA
612,1718,M,M,4,4,4,4,5,5,5,5
601,1816,M,M,6,6,6,6,6,5,4,NA
556,1486,M,M,3,3,3,3,4,4,4,4
551,1442,M,M,4,4,3,4,3,3,3,3
588,1846,F,M,4,4,4,4,NA,NA,NA,NA
550,1288,M,M,5,7,5,5,NA,NA,NA,NA
590,1980,F,M,4,4,4,4,NA,NA,NA,NA
472,900,M,M,3,3,3,3,4,4,2,3
626,1968,M,M,7,7,7,7,NA,NA,NA,NA
591,1918,F,M,5,5,5,5,NA,NA,NA,NA
590,1620,M,M,NA,NA,NA,NA,NA,NA,NA,NA
