id,loc,date,tl,sex,spines_Dale,spines_Steve,otoliths_Dale,otoliths_Mgmt
230,East Upper Red,2002-09-10,420,M,5,5,5,5
283,East Upper Red,2002-09-10,408,M,5,5,5,5
296,East Upper Red,2002-09-10,420,M,5,5,5,5
297,East Upper Red,2002-09-10,410,M,5,5,5,5
312,East Upper Red,2002-09-10,495,M,5,5,5,5
313,East Upper Red,2002-09-10,520,M,8,8,7,7
314,East Upper Red,2002-09-10,492,M,6,6,6,5
315,East Upper Red,2002-09-10,458,F,5,5,5,5
316,East Upper Red,2002-09-10,555,F,5,5,5,5
317,East Upper Red,2002-09-10,430,M,5,5,5,5
334,East Upper Red,2002-09-10,545,M,6,6,6,6
335,East Upper Red,2002-09-10,533,M,5,5,5,5
336,East Upper Red,2002-09-10,468,F,5,5,5,5
337,East Upper Red,2002-09-10,395,M,5,5,5,5
347,East Upper Red,2002-09-10,437,M,6,6,6,5
352,East Upper Red,2002-09-10,478,M,6,5,6,6
355,East Upper Red,2002-09-10,521,M,9,9,11,11
357,East Upper Red,2002-09-10,428,M,5,5,5,5
358,East Upper Red,2002-09-10,510,M,6,6,6,6
362,East Upper Red,2002-09-10,410,M,5,5,5,5
369,East Upper Red,2002-09-10,373,M,5,5,5,5
371,East Upper Red,2002-09-10,448,F,5,5,5,5
394,East Upper Red,2002-09-10,466,M,5,5,5,5
395,East Upper Red,2002-09-10,404,M,5,5,5,5
397,East Upper Red,2002-09-10,435,M,5,5,5,5
405,East Upper Red,2002-09-10,510,F,5,5,5,5
421,East Upper Red,2002-09-11,518,F,5,5,5,5
422,East Upper Red,2002-09-11,606,F,6,6,6,6
424,East Upper Red,2002-09-11,508,F,5,5,5,5
425,East Upper Red,2002-09-11,495,F,6,6,6,6
426,East Upper Red,2002-09-11,572,F,5,5,5,5
429,East Upper Red,2002-09-11,514,M,6,6,6,6
438,East Upper Red,2002-09-11,506,M,7,7,7,6
440,East Upper Red,2002-09-11,438,M,5,5,5,5
449,East Upper Red,2002-09-11,626,F,6,6,6,6
456,East Upper Red,2002-09-11,553,M,9,9,9,9
465,East Upper Red,2002-09-11,525,F,5,5,5,5
471,East Upper Red,2002-09-11,495,M,8,8,8,8
