id,loc,efl,wt,sex,maxillae_EB,maxillae_BJ,maxillae_AN
3587,Grand,NA,NA,U,12,13,13
293,Grand,1060,24.0404,F,12,12,12
357,Grand,1030,20.63845,F,12,12,12
379,Grand,918,18.50657,F,11,12,11
428,Grand,1150,24.53935,F,12,12,10
432,Grand,1023,19.86735,F,12,12,10
447,Grand,1016,18.37049,F,9,10,10
463,Grand,1100,19.64055,F,11,12,11
485,Grand,1040,20.77453,F,12,12,12
501,Grand,1040,19.36839,F,12,12,12
509,Grand,1001,18.64264,F,11,12,11
517,Grand,1018,18.27977,F,11,12,11
552,Grand,1040,18.9148,F,9,9,8
557,Grand,1014,19.18696,F,10,12,11
567,Grand,979,16.87364,F,14,13,13
620,Grand,1010,20.09414,F,11,11,11
621,Grand,1033,21.72708,F,9,12,12
710,Grand,1063,24.17647,F,11,16,16
758,Grand,1126,25.21973,F,12,15,12
855,Grand,1046,22.72498,F,12,12,12
870,Grand,986,18.59729,F,13,12,11
878,Grand,1079,23.94968,F,12,11,11
914,Grand,983,16.73756,F,12,14,13
941,Grand,1055,24.44863,F,12,12,12
965,Grand,1035,18.37049,F,12,12,11
1056,Grand,1077,22.90641,F,12,12,11
1460,Grand,1028,19.73127,F,12,12,12
1464,Grand,1068,23.04249,F,12,11,11
1534,Grand,1009,20.00342,F,7,12,9
1537,Grand,1008,18.9148,F,12,12,12
1599,Grand,954,16.4654,F,12,12,10
1651,Grand,1017,22.13531,F,10,11,11
1768,Grand,1124,26.08156,F,12,12,11
1769,Grand,1005,19.1416,F,13,13,12
1839,Grand,958,17.05507,F,11,12,12
1903,Grand,1045,22.49818,F,12,12,12
1964,Grand,1087,20.18486,F,13,13,14
2088,Grand,1016,20.23022,F,12,14,12
2174,Grand,1017,20.41166,F,11,12,11
2177,Grand,1083,19.59519,F,12,12,12
2191,Grand,1038,19.64055,F,12,12,12
2245,Grand,1066,20.72917,F,12,12,13
2281,Grand,1088,22.27138,F,10,4,11
2287,Grand,1008,22.31674,F,9,12,10
2302,Grand,1111,23.40536,F,10,10,10
2331,Grand,1125,23.36001,F,12,14,14
2332,Grand,988,17.82618,F,9,8,8
2335,Grand,1086,23.90432,F,12,12,11
2366,Grand,1046,18.96016,F,11,11,10
2369,Grand,1015,20.41166,F,11,10,11
2375,Grand,942,17.00971,F,12,12,12
2389,Grand,1049,20.23022,F,12,12,12
2417,Grand,1051,19.45911,F,12,12,11
2434,Grand,1018,20.45701,F,11,12,11
2461,Grand,954,18.27977,F,13,13,12
2474,Grand,1085,24.17647,F,12,12,12
2529,Grand,1087,25.62797,F,12,13,11
2603,Grand,998,17.78082,F,12,12,11
2616,Grand,1074,20.09414,F,12,12,11
2636,Grand,1025,20.81989,F,12,13,11
2660,Grand,1000,19.54983,F,13,12,12
2686,Grand,968,15.96645,F,9,9,10
2836,Grand,1024,18.68801,F,11,12,11
2851,Grand,1006,17.19115,F,12,12,12
2858,Grand,1048,22.04459,F,11,11,10
2888,Grand,1048,21.45492,F,12,11,11
2894,Grand,1044,23.17857,F,12,12,11
2940,Grand,1016,21.27348,F,11,11,12
2995,Grand,1075,22.22603,F,12,12,12
3105,Grand,1004,13.74385,F,12,12,11
3742,Grand,1047,20.72917,F,11,12,11
3822,Grand,1062,17.46331,F,11,11,11
3861,Grand,986,15.96645,F,10,9,10
3869,Grand,1044,21.95387,F,12,12,12
3879,Grand,1019,19.50447,F,10,11,11
3908,Grand,1115,24.31255,F,13,12,12
3919,Grand,1133,27.12482,F,11,12,12
3945,Grand,1029,21.72708,F,12,12,12
4005,Grand,991,20.41166,F,12,12,11
4007,Grand,1055,23.5868,F,12,12,12
4008,Grand,994,19.18696,F,12,12,14
4022,Grand,1064,23.45073,F,12,11,11
4056,Grand,1095,23.31465,F,11,12,14
4070,Grand,1061,23.04249,F,12,11,12
4072,Grand,945,15.96645,F,12,10,9
4073,Grand,1058,17.82618,F,11,12,11
4075,Grand,1096,25.76405,F,12,13,12
4084,Grand,1063,20.18486,F,12,12,11
4104,Grand,1160,29.66494,F,17,18,16
4117,Grand,1041,20.27558,F,11,11,11
4119,Grand,1200,29.89174,F,20,17,20
4135,Grand,978,14.016,F,12,12,12
4287,Grand,966,18.64264,F,12,12,10
4291,Grand,989,19.9127,F,12,12,12
4365,Grand,1061,21.72708,F,11,10,10
4369,Grand,1053,19.54983,F,11,11,12
4374,Grand,1065,20.95597,F,11,12,13
4390,Grand,1030,15.33142,F,10,12,10
4392,Grand,1016,21.99923,F,12,11,12
4453,Grand,1171,27.44234,F,14,12,13
4468,Grand,1060,19.05088,F,12,11,11
4483,Grand,1048,22.95177,F,12,12,12
4485,Grand,1024,20.1395,F,10,9,12
4495,Grand,1012,16.87364,F,11,12,11
4528,Grand,1087,24.76614,F,13,12,12
4627,Grand,1133,24.90222,F,11,11,13
4757,Grand,1051,18.14369,F,12,12,12
5196,Grand,1003,17.05507,F,12,12,12
6168,Grand,1044,23.26929,F,11,11,10
6170,Grand,1030,18.32513,F,10,13,13
6302,Grand,970,15.60358,F,11,11,11
6325,Grand,1037,20.23022,F,12,11,12
6462,Grand,1038,21.77243,F,12,12,12
6508,Grand,1029,19.68591,F,11,11,12
6546,Grand,990,20.63845,F,12,12,11
6556,Grand,1013,19.1416,F,11,12,11
6561,Grand,984,16.55612,F,11,12,12
6562,Grand,1067,23.40536,F,12,12,11
6564,Grand,1043,19.95806,F,13,12,12
6566,Grand,1034,22.22603,F,13,13,12
6568,Grand,1082,25.17438,F,13,12,12
6574,Grand,1037,21.81779,F,10,12,9
6595,Grand,1044,20.09414,F,12,12,12
6596,Grand,1051,19.77663,F,11,11,12
