id,loc,mon,year,scales_AT_1,scales_AT_2,scales_AT_final,scales_CH_1,scales_CH_2,scales_CH_final,scales_CONSENSUS,edgeIsAnnulus
CHE 001,Chestatee R,May,2013,2,2,2,1,1,1,2,Yes
CHE 002,Chestatee R,May,2013,3,3,3,3,3,3,3,Yes
CHE 004,Chestatee R,May,2013,3,3,3,2,3,3,3,Yes
CHE 005,Chestatee R,May,2013,3,3,3,3,3,3,3,Yes
CHE 007,Chestatee R,May,2013,7,7,7,6,6,6,6,Yes
CHE 008,Chestatee R,May,2013,5,6,6,4,6,5,5,No
CHE 009,Chestatee R,May,2013,6,6,6,4,7,6,6,Yes
CHE 010,Chestatee R,May,2013,5,5,5,4,5,5,5,No
CHE 012,Chestatee R,May,2013,3,3,3,2,2,2,3,Yes
CHE 013,Chestatee R,May,2013,7,8,8,5,7,7,7,Yes
CHE 014,Chestatee R,May,2013,7,7,7,5,5,5,6,No
CHE 015,Chestatee R,May,2013,6,8,7,6,7,7,7,Yes
CHE 016,Chestatee R,May,2013,5,4,4,4,5,4,4,Yes
CHE 017,Chestatee R,May,2013,6,6,6,4,6,5,5,Yes
CHE 018,Chestatee R,May,2013,4,5,4,4,4,4,4,Yes
CHE 019,Chestatee R,May,2013,3,3,3,3,3,3,3,No
CHE 020,Chestatee R,May,2013,3,3,3,2,3,2,3,Yes
CHE 021,Chestatee R,May,2013,2,2,2,1,1,1,2,Yes
CHE 022,Chestatee R,May,2013,2,2,2,1,1,1,2,Yes
CHE 023,Chestatee R,May,2013,6,6,6,5,6,6,6,Yes
CHE 025,Chestatee R,May,2013,2,2,2,1,2,1,3,Yes
CHE 026,Chestatee R,May,2013,2,2,1,0,0,0,1,Yes
CHE 027,Chestatee R,May,2013,2,2,1,0,0,0,1,Yes
CHE 028,Chestatee R,May,2013,6,6,6,5,6,6,6,No
CHE 030,Chestatee R,May,2013,2,2,2,2,2,2,2,Yes
CHE 031,Chestatee R,May,2013,3,3,3,3,3,3,3,Yes
CHE 032,Chestatee R,May,2013,5,5,5,5,4,5,5,No
CHE 033,Chestatee R,May,2013,5,5,5,4,4,4,5,Yes
CHE 034,Chestatee R,May,2013,6,6,6,5,5,5,6,Yes
CHE 035,Chestatee R,May,2013,4,5,5,3,4,4,5,Yes
CHE 036,Chestatee R,May,2013,7,7,7,6,6,6,6,No
CHE 037,Chestatee R,May,2013,3,3,3,3,4,3,3,Yes
CHE 039,Chestatee R,May,2013,3,3,3,2,3,2,3,Yes
CHE 040,Chestatee R,May,2013,6,6,6,5,5,5,6,No
CHE 042,Chestatee R,May,2013,3,3,3,3,3,3,3,No
