id,length,reader1,reader2
010142,240,13,11
010148,241,14,15
010153,266,15,13
010162,309,17,17
010163,206,17,19
010169,207,10,14
010170,240,14,13
010179,231,15,15
010182,245,14,15
010184,235,12,14
010191,260,13,14
010192,260,15,18
010195,257,13,16
010199,257,17,15
010231,264,17,18
010234,289,16,15
010235,267,16,18
010243,220,12,11
010247,324,24,19
010249,319,20,18
010250,250,14,16
010251,239,15,13
010252,282,18,19
010255,270,16,15
010263,278,14,16
010284,245,14,14
030080,179,9,11
030224,213,16,15
050089,234,14,16
050101,207,10,14
050120,255,19,18
050121,228,14,15
050135,238,14,15
050138,246,19,15
050185,212,11,14
100151,233,17,15
100152,272,20,20
100153,282,21,18
100154,250,17,13
100156,217,13,11
100157,269,17,17
100160,246,15,14
100161,275,17,16
100167,213,12,11
100168,272,18,14
100169,215,13,13
100170,235,12,10
100171,240,16,14
100172,234,16,15
100173,272,18,17
100174,237,15,14
100175,237,14,13
100176,263,17,16
100177,257,16,13
100178,242,15,12
100179,243,13,14
100180,232,13,13
100181,292,23,20
100182,254,17,17
100183,272,14,14
100186,291,19,19
100187,277,20,19
100188,253,13,11
100189,254,15,14
100190,252,13,12
100191,252,18,20
100192,244,13,13
100193,291,22,20
100194,244,14,15
100195,291,17,17
110151,205,11,7
110153,270,15,17
110160,289,15,19
110752,236,9,10
110753,185,15,13
110754,233,15,14
110756,254,13,12
110757,242,11,12
110760,337,27,22
180152,233,18,18
180156,233,16,13
