tl,sex,otoliths_R1,otoliths_R2
83,I,1,1
83,I,1,1
84,I,0,0
85,I,1,1
86,I,1,1
87,I,1,1
88,I,0,0
89,I,1,1
90,I,1,1
91,I,1,1
92,I,1,1
93,I,0,0
95,I,1,1
95,I,1,1
96,I,1,1
97,I,1,1
98,I,1,1
100,I,1,1
100,I,1,0
105,I,1,1
112,I,2,2
119,I,2,2
133,I,2,2
136,I,2,2
155,I,3,3
181,F,4,4
185,F,4,4
186,F,4,4
188,F,4,4
191,F,4,4
192,F,4,4
193,F,5,5
194,F,4,4
195,F,4,4
196,F,4,4
197,F,5,5
198,F,5,5
199,F,5,5
200,F,5,5
201,F,5,5
202,F,5,5
203,F,5,5
204,F,5,4
205,F,4,4
206,F,4,4
207,F,5,5
208,F,5,4
209,F,4,4
210,F,6,5
211,F,5,5
212,F,5,5
213,F,5,5
214,M,5,5
215,M,6,5
216,F,5,5
217,M,6,5
218,F,5,5
219,F,5,5
220,F,6,6
221,M,6,5
222,F,6,6
223,F,5,5
224,F,6,6
225,F,6,6
226,M,7,7
227,F,7,6
228,F,6,6
229,F,5,5
230,M,7,7
231,M,7,6
232,M,6,6
233,F,7,7
234,F,6,6
235,M,7,7
236,F,6,7
237,M,7,6
238,F,7,7
239,F,8,8
240,M,6,6
241,F,7,7
242,M,7,7
243,M,7,7
243,F,7,7
245,F,7,7
246,F,8,8
247,F,8,8
248,F,8,8
249,F,6,6
250,M,8,8
251,F,8,8
252,M,7,8
253,M,7,7
236,M,7,7
255,F,8,8
256,M,7,7
257,M,8,8
258,F,7,7
259,M,8,8
260,M,9,9
261,F,7,8
262,M,8,8
263,M,8,7
264,F,9,9
265,M,8,7
266,F,7,8
267,F,9,9
268,M,9,9
269,M,9,9
270,M,8,8
271,M,9,9
272,M,8,9
273,M,9,9
274,M,9,9
275,F,9,9
276,M,8,8
277,F,9,8
278,M,9,9
279,F,9,9
280,F,8,9
281,M,8,9
282,M,9,9
283,M,9,9
284,M,9,9
285,M,10,10
286,F,9,9
288,M,10,10
289,M,9,9
290,M,9,9
291,M,10,11
292,M,9,9
293,M,9,9
294,M,10,10
295,M,9,9
296,M,10,10
297,M,9,10
298,M,10,10
299,M,9,10
300,F,9,9
301,M,10,11
302,M,9,9
304,M,10,10
305,F,11,11
306,M,10,11
308,M,11,10
310,F,10,10
311,M,10,10
312,M,11,12
313,M,10,10
315,M,11,11
316,M,11,11
317,F,11,11
319,M,12,11
320,M,10,11
321,M,11,11
323,M,12,12
327,M,11,11
327,F,11,11
329,M,11,11
331,M,12,12
332,F,11,11
335,M,12,12
338,M,12,12
338,M,12,12
340,M,12,11
345,M,13,12
345,M,13,13
368,M,15,14
360,M,16,13
320,M,11,12
352,M,15,13
318,M,11,11
322,F,13,13
340,M,13,12
370,M,17,15
331,M,13,15
196,F,5,5
190,F,4,4
172,F,5,4
192,F,4,4
190,F,4,3
196,-,4,4
380,M,17,17
359,M,15,15
318,M,11,12
362,M,15,15
