id,year,river,tl,wt,sex,scales_R1,scales_R2,scales_R3,anal_R1,anal_R2,anal_R3,otolith_R1,otolith_R2,otolith_R3,cleithra_R1,cleithra_R2,cleithra_R3
BH1,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH1,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH10,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH10,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH11,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH11,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH12,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH12,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH13,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA
BH13,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA
BH14,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH14,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH15,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA
BH15,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA
BH16,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH16,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH17,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA
BH17,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA
BH2,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA
BH2,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA
BH3,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH3,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH4,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH4,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH5,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH5,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH6,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,3,2,3,3,3,4
BH6,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,4
BH7,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH7,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH8,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH8,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH9,2011,Barkhausen,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BH9,2011,Barkhausen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA
BRA1,2011,Brown Road Ditch,572,0.95,Male,3,6,3,3,3,3,3,3,3,4,4,3
BRA2,2011,Brown Road Ditch,636,1.59,Female,4,3,3,4,4,7,4,3,4,4,4,5
BRA3,2011,Brown Road Ditch,508,0.5,Male,5,4,2,2,2,2,3,3,3,NA,NA,NA
BRA4,2011,Brown Road Ditch,547,0.52,Male,4,5,4,3,3,4,3,3,3,3,3,4
BRA5,2011,Brown Road Ditch,488,0.86,Male,4,4,2,2,2,3,3,3,3,3,3,3
DCA1,2011,Duck Creek,582,1.09,Female,NA,NA,NA,5,3,4,4,3,4,3,3,4
DCA10,2011,Duck Creek,426,0.06,Male,3,5,2,3,5,3,4,4,3,3,3,3
DCA11,2011,Duck Creek,452,0.45,Male,5,5,3,4,3,4,3,5,3,4,4,4
DCA12,2011,Duck Creek,605,0.97,Female,5,5,2,6,6,5,3,3,3,5,5,5
DCA2,2011,Duck Creek,524,0.95,Female,3,5,3,3,3,2,4,4,3,3,3,3
DCA3,2011,Duck Creek,496,0.86,Male,3,3,3,3,3,4,3,3,4,4,4,4
DCA4,2011,Duck Creek,543,0.59,Male,4,5,4,6,7,6,4,3,3,7,7,5
DCA5,2011,Duck Creek,725,1.42,Male,6,7,4,4,4,5,8,7,8,6,6,6
DCA6,2011,Duck Creek,487,0.64,Male,5,4,3,3,3,3,4,3,6,3,4,3
DCA7,2011,Duck Creek,560,0.96,Female,5,3,3,3,3,4,3,3,3,4,4,3
DCA8,2011,Duck Creek,565,0.91,Male,4,5,3,5,5,5,3,3,3,3,4,5
DCA9,2011,Duck Creek,761,2.49,Female,4,5,5,8,8,7,7,6,6,5,6,6
DCP1,2011,Duck Creek,649,NA,Unknown,4,4,2,3,3,4,3,3,3,4,4,3
DCP10,2011,Duck Creek,662,NA,Female,5,5,4,5,4,3,3,3,4,3,5,3
DCP11,2011,Duck Creek,636,NA,Male,5,5,6,4,4,3,5,4,4,4,5,3
DCP12,2011,Duck Creek,808,NA,Female,8,7,9,4,5,5,5,5,5,6,6,4
DCP13,2011,Duck Creek,709,NA,Female,6,6,6,5,5,6,5,5,5,7,5,5
DCP14,2011,Duck Creek,660,NA,Female,4,4,3,5,5,4,4,4,4,4,4,4
DCP15,2011,Duck Creek,722,NA,Female,6,7,3,4,4,6,4,3,4,5,5,5
DCP16,2011,Duck Creek,636,NA,Female,5,6,8,5,5,5,3,4,4,4,4,4
DCP17,2011,Duck Creek,610,NA,Male,6,5,4,4,4,4,3,3,3,4,4,4
DCP2,2011,Duck Creek,685,NA,Female,4,5,3,3,3,5,3,4,4,5,5,4
DCP3,2011,Duck Creek,760,NA,Female,4,3,3,3,3,3,3,4,3,5,5,3
DCP4,2011,Duck Creek,855,NA,Female,5,7,4,6,6,6,5,6,6,5,5,7
DCP5,2011,Duck Creek,866,NA,Female,6,6,6,4,6,5,4,6,5,6,6,5
DCP6,2011,Duck Creek,752,NA,Female,5,5,6,4,4,5,3,4,3,5,5,4
DCP7,2011,Duck Creek,735,NA,Female,6,3,3,3,3,5,3,3,3,5,4,3
DCP8,2011,Duck Creek,676,NA,Female,8,6,5,4,4,5,5,5,5,6,5,5
DCP9,2011,Duck Creek,640,NA,Female,6,4,3,3,3,4,3,5,3,5,4,4
DCR1,2011,Duck Creek,872,NA,Female,8,8,9,6,6,5,7,7,8,6,6,8
GBA1,2011,Green Bay,584,NA,Unknown,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA
GBA2,2011,Green Bay,673,NA,Female,NA,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA
GBA3,2011,Green Bay,628,NA,Unknown,NA,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA
GBA4,2011,Green Bay,603.25,NA,Female,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA
GBA5,2011,Green Bay,743,NA,Male,NA,NA,NA,NA,NA,NA,10,10,9,NA,NA,NA
GBA6,2011,Green Bay,521,NA,Male,NA,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA
GBA7,2011,Green Bay,381,NA,Male,NA,NA,NA,NA,NA,NA,3,3,2,NA,NA,NA
Ice Derby 1,2011,Green Bay,723.9,NA,Female,NA,NA,NA,NA,NA,NA,6,5,4,NA,NA,NA
Ice Derby 2,2011,Green Bay,660.4,NA,Unknown,NA,NA,NA,NA,NA,NA,4,4,5,NA,NA,NA
Ice Derby 3,2011,Green Bay,723.9,NA,Unknown,NA,NA,NA,NA,NA,NA,5,4,4,NA,NA,NA
Ice Derby 4,2011,Green Bay,850.9,NA,Female,NA,NA,NA,NA,NA,NA,6,4,4,NA,NA,NA
Ice Derby 5,2011,Green Bay,698.5,NA,Unknown,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA
Ice Derby 6,2011,Green Bay,660.4,NA,Unknown,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA
Ice Derby 7,2011,Green Bay,654.05,NA,Unknown,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA
LSA1,2011,Little Suaumico River,595,0.68,Female,5,3,3,3,3,5,3,2,3,3,2,4
LSA10,2011,Little Suaumico River,600,1.18,Female,6,6,3,3,3,3,3,2,3,4,4,3
LSA2,2011,Little Suaumico River,735,1.86,Female,4,5,5,4,4,4,5,4,4,5,4,4
LSA3,2011,Little Suaumico River,737,NA,Female,6,5,6,4,4,5,4,3,3,6,6,4
LSA4,2011,Little Suaumico River,745,2.09,Female,4,6,5,4,4,5,5,5,4,6,5,5
LSA5,2011,Little Suaumico River,645,0.97,Male,3,4,4,4,4,4,6,4,5,5,5,5
LSA6,2011,Little Suaumico River,514,0.77,Female,4,5,4,2,2,2,3,3,3,3,3,3
LSA7,2011,Little Suaumico River,654,0.97,Male,5,7,5,5,5,4,6,5,6,6,6,5
LSA8,2011,Little Suaumico River,846,3.23,Female,4,5,4,5,5,5,5,5,5,8,8,4
LSA9,2011,Little Suaumico River,614,0.96,Female,4,5,3,4,4,4,3,3,3,5,4,5
LSB1,2011,Little Suaumico River,573,NA,Male,6,4,3,4,4,5,4,4,3,5,4,3
LSB10,2011,Little Suaumico River,431,0.06,Male,3,3,2,3,2,2,3,2,2,3,4,3
LSB11,2011,Little Suaumico River,395,0.05,Male,3,3,2,3,2,3,3,2,2,2,2,2
LSB2,2011,Little Suaumico River,566,0.95,Male,5,5,4,4,4,5,3,2,3,4,4,3
LSB3,2011,Little Suaumico River,910,3.72,Female,5,6,6,6,7,7,9,8,8,9,9,8
LSB4,2011,Little Suaumico River,494,0.64,Male,4,4,3,3,3,4,3,3,2,3,3,3
LSB5,2011,Little Suaumico River,509,0.05,Male,4,4,3,3,3,5,4,4,3,4,4,4
LSB6,2011,Little Suaumico River,554,0.51,Male,3,5,3,3,3,3,3,4,3,4,4,3
LSB7,2011,Little Suaumico River,601,1.13,Female,5,4,3,4,4,4,4,3,4,4,5,4
LSB8,2011,Little Suaumico River,402,0.05,Female,3,3,1,2,2,3,3,3,2,3,2,2
LSB9,2011,Little Suaumico River,500,0.45,Male,4,4,2,3,3,5,3,4,4,3,2,4
LSR1,2011,Little Suaumico River,622,1.04,Female,NA,NA,NA,3,3,4,3,3,3,5,5,4
LVA1,2011,Lineville Road Ditch,600,0.95,Male,4,5,3,3,3,3,4,3,4,4,4,4
