id,source,tl,wt,sex,scales_R1,scales_R2,scales_CONSENSUS
1,Ham's Fork,108,12,F,3,2,3
2,Ham's Fork,95,8,F,1,1,1
3,Ham's Fork,95,7,F,2,2,2
4,Ham's Fork,100,10,F,3,NA,3
5,Ham's Fork,102,9,M,3,2,2
6,Ham's Fork,87,6,M,2,1,1
7,Ham's Fork,100,9,M,2,2,2
8,Ham's Fork,96,7,F,2,1,1
9,Ham's Fork,114,15,F,2,2,2
10,Ham's Fork,99,9,F,3,2,2
11,Ham's Fork,63,2,I,1,1,1
12,Ham's Fork,92,7,M,2,NA,2
13,Ham's Fork,100,9,M,2,2,2
14,Ham's Fork,103,10,M,2,2,2
15,Ham's Fork,96,10,F,2,2,2
16,Ham's Fork,99,10,F,3,2,NA
17,Ham's Fork,87,7,F,2,1,1
18,Ham's Fork,108,13,F,3,3,3
19,Ham's Fork,97,11,F,2,2,2
20,Ham's Fork,117,18,F,3,2,2
21,Ham's Fork,89,6,I,2,2,2
22,Ham's Fork,86,6,F,NA,NA,NA
23,Ham's Fork,96,7,M,2,1,2
24,Ham's Fork,104,11,M,2,2,2
25,Ham's Fork,111,14,F,3,2,NA
26,Ham's Fork,96,10,F,2,NA,2
27,Ham's Fork,95,10,M,2,1,2
28,Ham's Fork,117,18,F,3,3,3
29,Ham's Fork,91,7,M,2,2,2
30,Ham's Fork,114,15,F,3,2,3
31,Ham's Fork,123,20,F,3,3,3
32,Yellow Creek,135,29,F,3,3,3
33,Yellow Creek,100,9,M,2,2,2
34,Yellow Creek,89,7,M,2,1,1
35,Yellow Creek,105,12,M,2,2,2
36,Yellow Creek,102,11,M,2,1,2
37,Yellow Creek,105,13,M,2,2,2
38,Yellow Creek,111,15,F,2,2,2
39,Yellow Creek,77,4,F,0,1,1
40,Yellow Creek,95,10,F,1,1,1
41,Yellow Creek,98,11,M,1,2,1
42,Yellow Creek,100,11,M,1,2,1
43,Yellow Creek,99,10,M,2,1,1
44,Yellow Creek,110,14,F,2,2,2
45,Yellow Creek,110,14,F,2,2,2
46,Yellow Creek,127,24,F,4,3,3
47,Yellow Creek,67,2,I,0,1,NA
48,Yellow Creek,74,3,M,1,1,1
49,Yellow Creek,79,3,M,1,1,1
50,Yellow Creek,90,7,M,1,1,1
51,Yellow Creek,74,3,F,0,1,1
52,Yellow Creek,86,7,F,1,2,1
53,Yellow Creek,73,3,M,0,1,1
54,Yellow Creek,76,3,M,1,1,1
55,Yellow Creek,76,4,M,1,1,1
56,Yellow Creek,72,3,F,0,1,NA
57,Yellow Creek,78,4,M,1,1,1
58,Yellow Creek,92,7,M,1,1,1
59,Yellow Creek,93,9,M,1,1,1
60,Yellow Creek,115,16,F,3,2,2
61,Yellow Creek,91,7,M,1,1,1
62,Yellow Creek,93,8,M,1,1,1
63,Yellow Creek,88,6,M,1,1,1
64,Yellow Creek,110,13,M,3,3,3
65,Yellow Creek,99,10,M,2,2,2
66,Yellow Creek,102,10,F,2,2,2
67,Yellow Creek,104,12,F,2,2,2
68,Yellow Creek,100,10,M,2,2,2
