id,tl,sex,spines_Betsy_1,spines_Lee_1,spines_Alex_1,spines_Betsy_2,spines_Lee_2,spines_Alex_2,spines_CONSENSUS
3,154,NA,2,3,3,3,2,3,3
5,166,NA,3,4,4,3,3,3,3
6,150,NA,3,4,3,3,3,3,3
7,166,NA,3,3,3,2,3,3,3
8,152,NA,1,2,3,1,3,2,2
9,135,male,1,1,2,1,1,1,1
10,159,female,1,2,2,2,2,3,2
11,173,female,1,3,2,3,3,3,3
12,162,male,1,2,2,2,2,2,2
13,156,male,3,3,4,3,3,3,3
14,165,female,4,5,6,5,5,5,5
15,138,female,1,1,2,1,1,2,2
16,165,female,3,3,3,2,3,3,3
17,142,male,3,2,4,1,3,3,2
18,158,female,3,4,4,2,4,2,3
19,169,female,3,4,4,4,4,4,4
20,144,female,2,2,2,2,2,2,2
21,120,female,1,1,1,1,1,1,1
22,162,female,2,3,3,2,2,2,2
23,145,female,1,1,2,1,1,2,1
24,153,female,2,2,3,2,2,3,2
25,153,female,3,2,3,2,2,2,2
26,160,female,2,2,3,2,2,2,2
27,152,male,3,3,4,4,3,4,3
28,129,female,1,1,2,1,1,2,1
29,154,female,1,2,2,1,2,2,2
30,135,female,1,2,2,1,1,2,2
31,150,female,4,3,4,3,3,4,3
32,169,female,1,2,2,2,2,2,2
33,168,female,2,3,2,2,2,3,2
34,160,male,1,3,5,0,2,5,3
35,144,female,1,1,4,1,1,1,1
36,152,female,2,0,3,1,0,1,1
37,162,male,2,2,3,2,2,3,2
38,150,female,2,3,3,3,3,3,3
39,159,female,3,2,4,2,3,4,4
41,160,female,3,3,3,1,2,3,2
42,136,male,2,2,3,3,3,3,3
44,165,female,2,3,4,3,3,3,3
45,161,male,3,4,3,3,3,3,3
46,149,female,2,2,3,3,2,4,3
48,166,female,3,3,3,3,3,4,3
49,172,female,3,4,3,3,3,4,3
50,135,female,2,3,4,2,3,4,3
51,123,female,2,1,2,1,2,2,1
52,135,female,1,2,4,1,2,2,2
53,135,male,2,2,2,1,2,2,2
54,150,male,1,2,3,2,2,2,2
55,147,female,2,3,4,2,3,3,2
56,134,female,1,1,3,1,1,2,2
57,130,female,1,1,2,1,2,2,1
58,135,male,1,1,2,1,1,1,1
59,154,male,1,1,3,1,1,1,1
60,172,female,2,3,3,2,3,3,3
66,98,female,0,0,0,0,0,0,0
69,90,female,0,0,1,0,0,0,0
70,99,male,1,0,0,0,0,1,1
71,120,female,1,0,0,0,0,0,0
72,111,female,0,0,1,0,0,1,1
74,57,unknown,0,0,0,0,0,0,0
77,128,female,1,1,1,1,0,1,0
78,95,male,1,0,2,0,0,1,0
81,137,female,1,1,1,0,1,1,1
83,94,male,0,0,4,0,0,0,0
84,148,female,1,0,2,1,1,1,1
85,139,male,3,3,3,1,2,3,3
87,109,female,1,0,1,0,0,0,0
89,91,unknown,1,0,1,0,0,0,0
90,133,male,0,0,0,0,0,0,0
91,84,male,0,0,0,0,0,0,0
94,147,male,1,1,2,1,1,1,1
96,140,male,1,0,1,1,1,1,1
97,139,female,1,1,1,1,1,1,1
100,133,male,1,1,2,1,1,2,1
101,116,female,1,1,1,1,1,1,1
