strux,reader,read_1,read_2
scales,R1,3,3
scales,R1,3,4
scales,R1,4,4
scales,R1,4,4
scales,R1,4,4
scales,R1,4,4
scales,R1,4,4
scales,R1,4,4
scales,R1,4,4
scales,R1,4,4
scales,R1,4,4
scales,R1,4,4
scales,R1,4,5
scales,R1,4,5
scales,R1,4,5
scales,R1,4,5
scales,R1,4,5
scales,R1,4,5
scales,R1,4,5
scales,R1,4,7
scales,R1,5,4
scales,R1,5,4
scales,R1,5,4
scales,R1,5,4
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,5
scales,R1,5,6
scales,R1,5,6
scales,R1,5,6
scales,R1,5,6
scales,R1,5,6
scales,R1,5,6
scales,R1,5,6
scales,R1,5,7
scales,R1,5,7
scales,R1,6,5
scales,R1,6,5
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,6
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,7
scales,R1,6,9
scales,R1,7,5
scales,R1,7,5
scales,R1,7,6
scales,R1,7,6
scales,R1,7,6
scales,R1,7,6
scales,R1,7,6
scales,R1,7,6
scales,R1,7,7
scales,R1,7,7
scales,R1,7,7
scales,R1,7,7
scales,R1,7,7
scales,R1,7,7
scales,R1,7,7
scales,R1,7,7
scales,R1,7,8
scales,R1,7,8
scales,R1,7,8
scales,R1,7,8
scales,R1,7,8
scales,R1,7,9
scales,R1,7,9
scales,R1,8,5
scales,R1,8,6
scales,R1,8,6
scales,R1,8,6
scales,R1,8,7
scales,R1,8,7
scales,R1,8,7
scales,R1,8,7
scales,R1,8,8
scales,R1,8,8
scales,R1,8,8
scales,R1,8,8
scales,R1,8,8
scales,R1,8,8
scales,R1,8,9
scales,R1,8,9
scales,R1,9,9
scales,R1,9,9
scales,R1,10,10
scales,R2,4,4
scales,R2,4,4
scales,R2,4,4
scales,R2,4,4
scales,R2,4,4
scales,R2,4,4
scales,R2,4,4
scales,R2,4,4
scales,R2,4,4
scales,R2,4,5
scales,R2,4,5
scales,R2,4,5
scales,R2,4,5
scales,R2,4,5
scales,R2,4,5
scales,R2,4,6
scales,R2,4,6
scales,R2,4,6
scales,R2,4,7
scales,R2,5,4
scales,R2,5,5
scales,R2,5,5
scales,R2,5,5
scales,R2,5,5
scales,R2,5,5
scales,R2,5,5
scales,R2,5,5
scales,R2,5,5
scales,R2,5,5
scales,R2,5,5
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,6
scales,R2,5,7
scales,R2,5,7
scales,R2,5,7
scales,R2,5,7
scales,R2,5,7
scales,R2,5,7
scales,R2,5,7
scales,R2,5,7
scales,R2,5,7
scales,R2,5,8
scales,R2,5,8
scales,R2,5,8
scales,R2,5,9
scales,R2,6,5
scales,R2,6,5
scales,R2,6,5
scales,R2,6,5
scales,R2,6,5
scales,R2,6,6
scales,R2,6,6
scales,R2,6,6
scales,R2,6,6
scales,R2,6,6
scales,R2,6,6
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,7
scales,R2,6,8
scales,R2,6,8
scales,R2,6,8
scales,R2,6,8
scales,R2,6,8
scales,R2,6,9
scales,R2,6,9
scales,R2,6,10
scales,R2,7,5
scales,R2,7,6
scales,R2,7,6
scales,R2,7,6
scales,R2,7,6
scales,R2,7,7
scales,R2,7,7
scales,R2,7,7
scales,R2,7,7
scales,R2,7,7
scales,R2,7,8
scales,R2,7,8
scales,R2,7,8
scales,R2,7,9
scales,R2,8,6
scales,R2,8,6
scales,R2,8,7
scales,R2,8,7
scales,R2,8,7
scales,R2,8,7
scales,R2,8,7
scales,R2,8,7
scales,R2,8,8
scales,R2,8,8
scales,R2,8,8
scales,R2,8,8
scales,R2,8,8
scales,R2,8,9
scales,R2,8,9
scales,R2,8,9
scales,R2,8,9
scales,R2,8,9
scales,R2,8,9
scales,R2,9,8
scales,R2,10,8
scales,R2,10,8
scales,R2,11,12
scales,R3,3,3
scales,R3,4,3
scales,R3,4,3
scales,R3,4,4
scales,R3,4,4
scales,R3,4,4
scales,R3,4,4
scales,R3,4,4
scales,R3,4,4
scales,R3,4,4
scales,R3,4,4
scales,R3,4,4
scales,R3,4,4
scales,R3,4,4
scales,R3,4,5
scales,R3,5,4
scales,R3,5,4
scales,R3,5,4
scales,R3,5,4
scales,R3,5,5
scales,R3,5,5
scales,R3,5,5
scales,R3,5,5
scales,R3,5,5
scales,R3,5,5
scales,R3,5,5
scales,R3,5,6
scales,R3,5,6
scales,R3,5,6
scales,R3,5,6
scales,R3,5,6
scales,R3,5,7
scales,R3,6,4
scales,R3,6,4
scales,R3,6,4
scales,R3,6,4
scales,R3,6,4
scales,R3,6,5
scales,R3,6,5
scales,R3,6,5
scales,R3,6,5
scales,R3,6,5
scales,R3,6,5
scales,R3,6,5
scales,R3,6,5
scales,R3,6,5
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,6
scales,R3,6,7
scales,R3,6,7
scales,R3,6,8
scales,R3,6,8
scales,R3,6,8
scales,R3,7,5
scales,R3,7,6
scales,R3,7,6
scales,R3,7,6
scales,R3,7,6
scales,R3,7,6
scales,R3,7,6
scales,R3,7,6
scales,R3,7,6
scales,R3,7,6
scales,R3,7,6
scales,R3,7,6
scales,R3,7,6
scales,R3,7,6
scales,R3,7,7
scales,R3,7,7
scales,R3,7,7
scales,R3,7,7
scales,R3,7,7
scales,R3,7,7
scales,R3,7,7
scales,R3,7,7
scales,R3,7,7
scales,R3,7,8
scales,R3,7,8
scales,R3,7,8
scales,R3,7,8
scales,R3,8,5
scales,R3,8,5
scales,R3,8,6
scales,R3,8,6
scales,R3,8,6
scales,R3,8,7
scales,R3,8,7
scales,R3,8,7
scales,R3,8,7
scales,R3,8,7
scales,R3,8,7
scales,R3,8,7
scales,R3,8,7
scales,R3,8,9
scales,R3,8,9
scales,R3,8,10
scales,R3,8,11
scales,R3,9,6
scales,R3,9,6
scales,R3,9,7
scales,R3,9,7
scales,R3,9,8
scales,R3,9,9
scales,R3,9,9
scales,R3,9,9
scales,R3,9,9
scales,R3,9,10
scales,R3,9,10
scales,R3,10,8
scales,R3,10,9
scales,R3,10,10
scales,R3,11,6
scales,R3,11,8
scales,R3,11,9
scales,R3,11,11
scales,R3,11,11
scales,R3,12,10
scales,R3,12,12
otoliths,R1,3,3
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,4,4
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,5
otoliths,R1,5,6
otoliths,R1,5,6
otoliths,R1,5,6
otoliths,R1,6,5
otoliths,R1,6,5
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
otoliths,R1,6,6
