id,tl,reader1,reader2
040001,873,0,1
040002,2116,12,12
040003,1797,8,7
040004,1864,9,9
040005,1960,7,9
040006,1881,8,8
040007,2233,11,16
040008,1845,6,4
040009,1756,6,7
040010,2256,13,14
050001,1982,17,13
050002,2458,15,17
050003,2142,10,13
050004,769,0,0
050005,770,0,0
050006,741,0,0
050007,762,1,0
050008,2256,14,16
050009,1904,15,9
050010,2109,14,12
050011,1801,7,5
050013,1898,9,9
050014,2254,16,14
050015,1960,10,10
050016,2004,11,8
050017,2137,10,8
050018,2269,11,11
050020,1756,8,6
j050505,1878,13,11
j1230,2397,15,17
