id,tl,sex,reader1,reader2
10077,135,F,12,14
10080,112,M,8,9
10081,102,F,4,2
10123,135,M,10,8
10124,143,M,8,12
10147,136,M,7,8
10151,144,M,6,12
10154,155,F,14,13
10155,142,M,10,11
10157,127,M,7,8
10158,139,M,8,13
10168,134,M,8,11
10171,182,M,8,9
10172,151,F,10,14
10174,145,M,10,9
10175,133,M,8,8
10176,147,M,11,10
10186,132,M,10,10
10188,148,M,11,14
10194,133,F,10,11
10197,144,F,12,15
10198,146,F,11,10
10223,152,M,10,10
10246,125,F,10,11
10257,135,M,8,8
10258,139,M,11,13
10261,128,M,9,9
10262,121,M,7,7
10264,145,M,12,10
10265,140,M,12,13
10266,132,M,11,13
10267,146,M,10,10
10268,132,M,9,13
10270,136,M,9,11
10271,147,M,10,11
10272,146,M,7,12
10273,146,F,9,15
10279,134,F,10,11
10281,142,M,13,16
10288,151,M,11,14
20055,155,F,12,15
20056,150,F,10,12
20057,132,F,7,11
20058,121,F,7,5
20059,133,M,8,8
20060,120,F,4,5
20061,137,F,9,12
20063,131,F,9,12
20065,135,F,11,12
20066,160,F,8,12
20067,158,F,10,12
20068,160,F,12,9
20069,161,F,11,10
20070,145,F,11,10
20078,149,M,8,8
20079,145,F,9,13
20080,137,M,10,11
20098,136,M,9,9
20102,139,F,11,9
20103,140,M,9,10
20107,120,F,6,7
20109,139,M,9,9
20110,133,M,7,NA
20111,132,M,12,10
20112,136,M,8,10
20113,147,M,11,13
20119,153,F,13,11
30180,159.28,F,6,11
30185,144.964,M,8,5
30191,148.543,M,14,11
30195,143.771,M,6,10
30199,136.613,M,7,7
30225,136.613,M,5,7
30236,121.104,F,6,7
30253,150.929,M,11,10
30259,100.823,M,3,4
40328,136,M,8,8
40329,135,M,7,9
50042,115,M,4,3
50066,126,M,6,5
50067,124,M,12,7
50068,113,F,5,4
50095,147,F,13,13
50110,143,M,11,10
50113,153,F,12,10
50125,140,M,10,10
50126,142,M,6,9
50127,137,M,7,NA
50139,149,F,9,11
50142,164,F,16,15
50143,155,M,11,15
50144,155,M,12,12
50145,159,M,12,12
50146,132,M,11,9
50149,104,M,5,7
50181,161,M,11,10
50182,152,F,12,13
50184,159,F,14,14
50186,150,M,11,13
50189,147,M,11,9
50190,155,M,10,7
50194,144,M,8,10
50195,145,M,9,11
50196,144,M,10,12
50198,141,M,13,13
50199,145,M,10,12
50200,140,M,7,9
50201,147,M,6,9
50202,136,M,10,10
50203,149,M,11,12
50204,142,M,11,9
50205,145,M,9,11
50206,142,F,10,12
50207,133,M,8,11
50208,145,M,10,10
50209,135,M,10,11
60020,170.017,M,7,5
60025,149.736,M,11,10
60046,150.929,M,11,13
60051,156.894,M,9,12
60059,152.122,M,10,11
60063,146.157,M,10,NA
60064,111.56,M,3,3
70019,146,M,10,12
70020,152,M,9,10
70047,177,F,12,14
70049,139,F,12,9
70050,150,F,11,14
70052,105,F,6,5
70056,126,F,7,10
70057,128,F,9,9
70059,150,F,13,11
220523,72.6,M,0,0
220524,71.4,M,0,0
