id,tl,reader1,reader2
1,195,15,10
2,185,10,9
3,172,12,5
4,215,20,18
5,151,12,9
6,218,22,11
7,185,11,6
8,169,10,8
9,175,12,6
10,146,13,6
11,137,9,5
12,181,16,8
13,150,9,5
14,150,6,5
15,166,14,7
16,186,14,10
17,175,13,8
18,198.2566,11,9
19,195.7792,13,11
20,142.5151,6,5
21,203.2114,14,11
22,181,12,9
23,206,18,16
24,205,18,12
25,239,18,17
26,250,19,15
27,217,21,18
28,176,13,9
29,124,3,2
30,194,13,13
31,175,10,9
32,220,19,16
33,206,16,13
34,116,3,1
35,127,4,2
36,128,3,3
37,195,16,14
38,177,11,8
39,152,11,8
40,180,13,13
41,152,9,4
42,153.6634,8,6
43,132.6055,4,4
44,149.9473,6,3
45,95.4445,0,0
46,219.3145,17,14
47,154.9021,8,6
48,128,5,3
49,205,16,15
