id,species,tl,wt,opercle_R1,opercle_R2,opercle_R3,otolith_R1,otolith_R2,otolith_R3,scale_R1,scale_R2,scale_R3,spine_R1,spine_R2,spine_R3
0402,LMB,208,0.2,3,2,4,4,6,5,3,5,2,1,2,2
0403,LMB,193,0.1,2,2,3,2,5,4,3,5,5,NA,NA,NA
0404,LMB,200,0.2,1,2,2,2,4,3,1,4,3,1,3,3
0409,LMB,280,0.4,2,4,4,1,5,3,3,8,10,2,2,2
0410,LMB,180,0.1,2,2,2,3,7,5,4,3,5,NA,NA,NA
0412,LMB,315,0.5,4,3,5,4,4,3,1,6,4,3,3,3
0413,LMB,325,0.6,3,3,2,3,6,3,3,4,3,1,2,2
0415,SMB,95,0.01,4,4,5,6,5,4,3,4,3,3,3,3
0416,SMB,152,0.1,4,4,5,4,4,3,1,7,8,2,5,3
0418,SMB,255,0.2,5,3,4,3,5,4,3,7,3,3,4,3
0419,LMB,282,0.4,4,3,3,3,6,4,6,9,2,3,3,3
0420,SMB,310,0.35,5,4,4,4,3,3,4,6,2,1,1,1
0451,LMB,206,0.2,2,2,2,3,3,4,1,2,5,2,4,1
0452,LMB,175,0.15,1,2,1,2,4,3,2,3,4,2,4,2
0453,LMB,230,0.25,2,2,2,2,2,3,3,4,2,3,4,2
0454,LMB,270,0.3,2,2,2,3,3,2,1,5,2,2,5,3
0455,LMB,223,0.25,2,2,2,3,3,4,4,4,4,3,4,3
0456,LMB,195,0.15,2,2,1,3,2,2,4,3,5,3,6,3
0457,LMB,235,0.25,2,2,2,2,2,3,1,3,3,2,6,2
0458,SMB,145,0.1,6,3,3,3,3,4,2,6,2,5,5,3
0459,LMB,305,0.5,5,3,2,4,2,3,NA,NA,NA,3,3,3
0461,LMB,274,0.35,2,2,2,3,5,4,3,3,3,4,5,4
0463,LMB,275,0.35,3,2,2,4,4,5,1,4,4,3,6,3
0464,LMB,200,0.2,2,2,2,2,3,2,1,2,4,4,2,3
0465,LMB,262,0.3,2,2,2,2,2,3,1,2,3,3,4,2
0466,LMB,275,0.35,2,2,2,4,4,4,3,2,2,1,3,1
0467,SMB,150,0.1,4,4,3,5,5,4,3,4,4,4,6,4
0468,LMB,165,0.1,1,1,1,NA,NA,NA,1,3,1,NA,NA,NA
0469,LMB,178,0.15,1,1,1,2,4,5,1,4,1,1,2,2
0470,SMB,155,0.1,4,4,4,4,3,4,3,4,5,5,5,4
0471,LMB,168,0.15,1,1,1,4,4,4,2,2,1,1,2,2
0472,LMB,275,0.4,2,2,2,5,4,6,3,4,2,3,3,2
0473,LMB,185,0.15,1,2,1,3,4,4,1,3,1,2,2,3
0501,SMB,430,1.25,7,7,7,5,6,5,6,6,7,7,7,7
0502,LMB,455,1.55,7,8,8,4,6,3,8,7,7,8,8,9
0503,SMB,320,0.49,4,4,4,6,2,4,4,6,4,5,4,4
0504,SMB,155,0.05,1,1,1,3,2,4,2,2,2,2,2,1
0505,SMB,170,0.01,1,2,1,3,4,6,2,7,3,3,4,3
0506,SMB,195,0.15,1,2,3,3,3,3,2,4,2,2,3,2
0507,LMB,440,1.3,13,12,8,4,2,4,7,7,4,5,4,4
0508,SMB,340,0.5,5,4,4,4,5,5,5,4,2,4,4,4
0509,SMB,345,0.5,4,4,4,5,4,5,5,7,5,6,5,5
0510,SMB,375,0.7,5,4,5,5,2,5,6,6,5,5,5,5
0511,SMB,440,1.3,6,6,7,8,4,7,7,6,2,5,4,4
0512,SMB,400,1,5,6,6,7,5,7,7,5,2,6,7,4
0513,SMB,410,1.05,4,5,5,5,5,6,10,8,9,5,6,5
0514,SMB,425,0.95,5,5,5,3,3,7,6,6,5,7,6,6
0515,LMB,390,1.05,5,6,5,6,5,6,4,4,5,4,5,5
0516,SMB,490,1.55,9,9,7,4,3,6,13,8,11,7,7,7
0517,SMB,470,1.6,6,7,6,3,4,5,9,9,12,7,6,5
0518,SMB,455,1.25,9,9,8,4,5,5,12,5,10,8,9,5
0519,SMB,410,0.85,5,4,5,5,5,6,8,7,6,6,6,6
0520,LMB,390,0.95,7,6,6,7,6,6,4,5,6,7,8,7
0521,SMB,390,0.75,4,6,5,5,4,5,8,7,8,5,5,3
0522,SMB,395,0.8,4,4,5,4,5,6,5,6,8,5,6,5
0523,LMB,455,1.65,9,10,8,5,6,5,6,8,4,6,6,5
0524,SMB,440,1.4,7,5,6,7,4,5,11,8,8,7,6,5
0525,SMB,460,4.55,9,8,8,6,5,5,14,7,12,5,5,5
0526,LMB,455,1.55,8,7,8,5,7,6,6,6,7,4,5,3
0527,SMB,425,1,6,7,7,9,6,5,8,6,9,4,5,5
0528,SMB,420,1.05,8,7,6,6,5,5,5,5,5,7,7,5
0530,LMB,440,1.5,7,7,7,7,5,5,8,7,9,4,6,4
0531,SMB,475,1.61,12,10,11,10,4,6,16,6,14,2,7,3
0532,SMB,400,0.95,6,5,6,5,6,6,9,9,6,5,5,5
0533,SMB,420,1.15,7,6,7,4,4,5,8,6,9,6,6,5
0534,LMB,500,1.35,10,7,9,3,4,3,4,7,4,6,8,6
0535,SMB,500,2,8,10,10,9,6,5,9,9,7,10,7,6
0536,LMB,450,1.5,9,10,9,7,6,2,7,6,6,7,7,4
0537,LMB,420,1.15,6,4,6,6,4,5,5,7,6,1,5,4
0538,SMB,320,0.55,4,4,5,5,6,3,4,5,6,3,4,2
0540,LMB,430,1.1,10,6,8,5,6,4,4,4,3,4,6,2
0541,LMB,500,1.9,8,8,12,5,5,1,6,5,4,6,5,4
0542,LMB,415,1.1,6,6,4,3,5,4,4,4,4,3,3,2
0543,SMB,285,0.4,3,4,3,4,4,4,5,6,5,4,5,3
0544,SMB,290,0.4,3,3,3,4,5,4,3,6,3,3,5,3
0545,LMB,370,0.7,5,5,4,3,4,4,3,7,6,3,4,3
0546,LMB,380,0.9,5,6,5,5,5,3,4,5,4,6,6,3
0547,LMB,440,1.3,7,9,5,7,5,4,5,6,7,4,5,2
0548,LMB,425,1,7,8,5,6,6,2,2,4,2,1,5,3
0549,LMB,410,1.3,6,8,5,4,4,5,7,8,6,5,7,4
0550,LMB,430,1.4,12,7,5,3,2,4,8,6,7,1,5,2
0556,SMB,410,1.3,5,6,8,6,5,5,8,7,8,6,6,5
0557,LMB,465,1.55,8,9,8,3,6,6,12,7,7,8,8,6
0558,LMB,390,1,5,5,5,4,7,5,7,5,8,6,6,5
0559,SMB,485,1.2,8,9,8,5,4,5,11,8,11,6,5,5
0560,SMB,420,1.1,7,7,10,6,6,6,4,7,9,3,6,4
0561,LMB,440,1.35,7,7,7,5,4,3,8,7,7,11,6,4
0562,LMB,455,NA,9,9,7,9,4,6,6,7,4,4,6,3
0563,LMB,435,1.2,8,9,7,4,5,4,5,6,5,4,7,5
0564,SMB,445,1.35,5,6,6,13,7,11,8,7,8,8,6,6
0565,LMB,315,0.5,4,3,3,3,3,4,3,6,6,3,3,3
0566,LMB,440,1.25,7,11,9,6,6,3,5,5,4,2,6,6
0567,SMB,475,1.35,7,8,8,6,5,5,13,8,10,8,9,5
0568,LMB,370,0.85,5,7,6,5,5,4,6,5,6,7,6,5
0569,LMB,305,0.35,5,3,5,5,3,4,3,5,4,6,5,4
0570,SMB,335,0.55,3,3,3,3,3,4,6,6,5,3,5,5
0571,LMB,305,0.45,4,2,4,4,5,3,4,4,6,4,4,3
0572,SMB,355,0.65,6,7,6,5,6,3,7,4,8,6,6,7
0573,LMB,435,1.25,8,9,7,9,6,4,6,6,6,1,4,1
0574,SMB,430,1.3,6,10,4,3,4,2,8,7,7,3,7,3
0575,SMB,430,1.15,5,5,6,6,5,5,7,7,9,5,5,5
0576,SMB,350,0.5,4,4,5,NA,4,1,5,5,6,4,4,3
0577,LMB,475,1.9,11,11,10,6,5,2,6,8,7,8,9,6
0578,SMB,470,1.6,7,7,6,7,4,5,9,8,10,4,5,3
0580,SMB,370,0.85,4,4,5,5,4,2,6,7,6,5,6,5
0581,SMB,455,1.9,6,10,7,6,6,4,9,7,8,1,7,2
0583,SMB,435,1.3,5,5,5,6,5,5,4,5,7,4,5,6
0584,SMB,370,0.75,5,3,6,5,4,4,5,6,6,3,4,2
0585,SMB,410,0.9,7,6,7,6,5,4,4,4,5,7,8,3
0586,SMB,470,1.9,10,10,8,10,3,3,9,10,10,3,5,3
0587,SMB,400,1.1,4,4,4,4,4,4,3,8,8,4,4,4
0588,SMB,450,1.6,8,9,8,8,5,7,5,8,6,8,8,2
0589,SMB,390,0.8,5,4,3,7,6,5,7,9,10,5,5,5
0590,SMB,325,0.5,5,4,5,7,4,3,5,5,5,2,2,4
0591,LMB,425,1.05,7,6,7,4,6,4,3,8,11,5,8,4
0592,LMB,365,0.7,5,4,5,7,8,5,7,7,8,4,5,3
0593,LMB,340,0.65,3,3,3,3,4,5,4,4,3,3,3,3
0594,SMB,360,0.55,5,4,4,5,5,4,3,6,5,5,5,5
0595,SMB,405,0.9,6,5,5,NA,NA,NA,7,7,7,2,3,2
0596,SMB,385,0.95,5,5,5,4,4,3,8,6,7,5,6,3
0597,LMB,435,1,6,6,6,6,7,4,7,7,3,6,7,2
0598,LMB,425,1.4,6,5,4,5,4,5,9,9,5,2,NA,3
0599,SMB,385,0.85,5,5,5,6,6,5,7,7,4,4,4,2
0600,SMB,350,0.55,6,7,6,4,7,4,5,6,4,5,NA,2
0659,LMB,170,0.1,1,1,1,3,2,5,2,2,1,2,NA,2
0660,SMB,380,0.9,5,5,5,4,5,6,6,5,6,4,4,4
0661,SMB,395,1,4,4,3,5,6,6,4,8,4,5,6,6
0662,SMB,460,1.7,7,8,7,5,7,6,10,7,8,4,6,5
0663,SMB,435,1.5,6,6,6,7,8,9,7,8,6,5,5,4
0664,SMB,430,1.3,7,5,7,5,6,6,8,8,6,6,6,5
