read1,read2,structure,species
3,3,Scales,Highfin Carpsucker
3,3,Scales,Highfin Carpsucker
3,3,Scales,Highfin Carpsucker
4,3,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,4,Scales,Highfin Carpsucker
4,5,Scales,Highfin Carpsucker
5,4,Scales,Highfin Carpsucker
5,4,Scales,Highfin Carpsucker
5,4,Scales,Highfin Carpsucker
5,4,Scales,Highfin Carpsucker
5,4,Scales,Highfin Carpsucker
5,4,Scales,Highfin Carpsucker
5,4,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,5,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
5,6,Scales,Highfin Carpsucker
6,5,Scales,Highfin Carpsucker
6,5,Scales,Highfin Carpsucker
6,5,Scales,Highfin Carpsucker
6,5,Scales,Highfin Carpsucker
6,5,Scales,Highfin Carpsucker
6,5,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,6,Scales,Highfin Carpsucker
6,7,Scales,Highfin Carpsucker
6,7,Scales,Highfin Carpsucker
6,7,Scales,Highfin Carpsucker
6,7,Scales,Highfin Carpsucker
6,7,Scales,Highfin Carpsucker
7,5,Scales,Highfin Carpsucker
7,5,Scales,Highfin Carpsucker
7,7,Scales,Highfin Carpsucker
7,7,Scales,Highfin Carpsucker
7,7,Scales,Highfin Carpsucker
7,7,Scales,Highfin Carpsucker
7,7,Scales,Highfin Carpsucker
7,8,Scales,Highfin Carpsucker
8,8,Scales,Highfin Carpsucker
2,2,Fin Rays,Highfin Carpsucker
3,3,Fin Rays,Highfin Carpsucker
3,3,Fin Rays,Highfin Carpsucker
