id,species,locyr,tl,wt,scale_1,scale_2,scale_3,otolith_1,otolith_2,otolith_3
4000,LMB,Hargus_2013,188,62,2,2,2,2,2,2
4001,LMB,Hargus_2013,443,1466,7,5,5,6,6,6
4002,LMB,Hargus_2013,363,548,6,4,5,8,8,8
4003,LMB,Hargus_2013,370,562,8,4,5,7,7,8
4004,LMB,Hargus_2013,250,160,3,2,2,2,2,2
4005,LMB,Hargus_2013,274,226,3,3,3,4,3,4
4006,LMB,Hargus_2013,386,782,6,5,5,6,6,6
4007,LMB,Hargus_2013,443,1200,9,6,6,6,6,6
4008,LMB,Hargus_2013,388,712,4,4,2,8,8,8
4009,LMB,Hargus_2013,272,208,3,2,2,3,3,3
4010,LMB,Hargus_2013,256,198,2,3,3,3,2,2
4011,LMB,Hargus_2013,189,68,1,1,1,2,2,2
4012,LMB,Hargus_2013,396,874,6,3,4,8,8,8
4013,LMB,Hargus_2013,259,192,3,3,3,2,3,3
4014,LMB,Hargus_2013,338,468,3,3,5,6,7,6
4015,LMB,Hargus_2013,515,2242,10,5,8,9,9,9
4016,LMB,Hargus_2013,483,1542,9,11,8,9,9,9
4017,LMB,Hargus_2013,338,488,3,3,4,5,5,5
4018,LMB,Hargus_2013,332,472,3,4,5,4,4,4
4019,LMB,Hargus_2013,391,838,6,5,4,8,8,8
4020,LMB,Hargus_2013,342,500,4,6,4,5,5,5
4021,LMB,Hargus_2013,463,NA,8,9,9,11,11,11
4022,LMB,Hargus_2013,176,56,1,2,2,2,2,2
4023,LMB,Hargus_2013,148,36,1,2,1,1,1,1
4024,LMB,Hargus_2013,358,572,3,4,5,6,6,6
4025,LMB,Hargus_2013,412,972,6,8,7,6,6,6
4026,LMB,Hargus_2013,354,564,4,4,4,5,5,5
4027,LMB,Hargus_2013,82,2,1,1,1,1,1,1
4028,LMB,Hargus_2013,412,762,6,NA,10,6,6,6
4029,LMB,Hargus_2013,186,72,2,2,3,2,2,2
4030,LMB,Hargus_2013,175,60,2,2,2,2,2,2
4031,LMB,Hargus_2013,557,2314,10,9,11,11,11,11
4032,LMB,Hargus_2013,169,56,2,2,2,2,2,2
4033,LMB,Hargus_2013,144,30,1,1,2,1,1,1
4034,LMB,Hargus_2013,98,12,1,1,1,1,1,1
4035,LMB,Hargus_2013,93,6,1,1,2,1,1,1
4036,LMB,Hargus_2013,142,30,1,1,2,1,1,1
4050,LMB,Hargus_2013,274,190,3,3,4,3,3,3
4051,LMB,Hargus_2013,431,1212,8,5,5,8,8,8
4053,LMB,Hargus_2013,436,1130,9,NA,5,11,11,11
4054,LMB,Hargus_2013,198,86,2,2,2,2,2,2
