id,tl,wt,otolith_CV,otolith_RZ,otolith_LB,scale_IR,scale_KK,spine_WF,spine_TS,sex
1,749,3798,17,17,17,7,13,16,17,female
2,772,4264,17,17,15,10,12,17,17,female
3,676,2616,9,9,8,10,7,9,9,female
4,698,3032,10,10,9,8,10,10,10,female
5,689,2973,7,7,7,7,8,7,7,female
6,657,2436,NA,7,NA,5,7,7,7,female
7,650,3520,9,NA,9,6,11,9,9,female
8,674,3525,7,7,7,7,9,7,7,female
9,529,1374,4,4,4,3,4,4,4,female
10,731,4315,13,13,13,10,13,13,13,female
11,777,4868,16,17,15,10,10,10,17,female
12,636,2768,9,9,9,7,8,9,9,female
13,747,4615,17,17,16,6,12,15,15,female
14,720,3898,19,19,17,9,10,15,18,female
15,740,4200,16,17,16,8,12,16,16,female
16,542,1573,4,4,4,3,4,4,4,female
17,584,2229,5,5,5,4,5,5,5,female
18,438,764,4,4,4,1,3,4,4,male
19,470,1047,4,4,4,3,4,4,4,male
20,440,884,4,4,4,3,4,4,4,male
21,479,944,4,4,4,3,4,4,4,male
22,474,1021,4,4,4,3,4,4,4,male
23,473,1038,4,4,4,3,4,4,4,male
24,502,1151,6,6,6,4,4,6,6,male
25,497,1253,4,4,4,3,4,4,4,male
26,446,915,4,4,4,2,4,4,4,male
27,461,989,4,4,4,3,4,4,4,male
28,500,1156,4,4,4,2,4,4,4,female
29,480,1120,4,4,4,2,4,4,4,male
30,490,1077,4,4,4,2,4,4,4,male
31,596,1346,4,4,4,3,4,4,4,female
32,495,1182,4,4,4,2,4,4,4,male
33,610,1966,6,6,6,3,6,6,6,female
34,620,2411,7,7,7,4,7,7,7,female
35,736,3845,16,18,16,10,11,16,16,female
36,761,4587,17,17,17,7,10,16,17,female
37,765,3981,NA,NA,NA,8,12,17,17,female
38,762,4188,15,15,15,7,13,14,15,female
39,640,2855,10,10,10,6,12,10,10,female
40,745,4023,NA,18,NA,7,12,19,19,female
41,605,1969,7,7,7,4,9,7,7,female
42,605,1983,9,9,9,6,8,9,9,female
43,591,1876,12,12,13,10,12,12,12,male
44,652,2743,7,8,7,5,7,7,7,female
45,627,2471,7,7,7,6,7,6,7,female
46,666,3208,9,9,8,6,9,9,9,female
47,570,1951,6,6,6,4,6,6,6,female
48,586,2251,7,7,7,5,9,7,7,female
49,631,2357,9,9,9,7,6,6,7,female
50,602,2320,7,7,7,4,6,7,7,female
51,671,2927,10,10,10,8,9,9,10,female
52,691,3618,17,17,NA,6,10,17,17,female
53,745,3801,17,17,NA,11,11,12,17,female
54,679,2848,9,9,9,10,9,9,9,female
55,705,3477,18,18,18,8,11,14,18,female
56,696,3495,10,10,10,7,10,10,10,female
57,671,2952,10,10,10,11,10,10,10,female
58,667,3067,9,9,10,9,9,9,9,female
59,754,4049,17,17,17,12,10,16,17,female
60,699,3165,21,21,21,12,13,20,21,female
61,703,4117,17,17,NA,9,12,16,17,female
62,685,3308,19,17,NA,10,14,18,18,female
63,753,4646,21,21,20,12,15,15,21,female
64,594,1870,6,5,5,5,7,5,5,female
65,706,3760,18,18,18,8,8,17,19,female
66,690,3211,9,9,9,8,7,9,9,female
67,705,3684,18,18,17,10,9,16,18,female
68,644,3541,10,10,10,7,9,10,10,female
69,672,2863,9,9,9,12,9,9,9,female
70,710,2903,21,21,21,10,11,16,18,female
71,655,3291,17,17,17,8,10,14,17,female
72,649,2631,8,8,8,8,8,8,8,female
73,574,1848,NA,NA,NA,5,4,4,4,female
74,702,3958,NA,12,NA,9,10,12,12,female
75,647,2445,7,7,7,9,9,7,7,female
76,736,4266,17,17,16,10,11,16,17,female
77,710,3431,12,12,12,13,9,10,12,female
78,676,3018,9,9,9,10,9,9,9,female
79,529,1658,4,4,4,6,4,4,4,female
80,615,2336,12,12,11,13,9,12,12,female
81,631,2918,9,9,9,12,8,9,9,female
82,617,2194,6,7,6,8,6,6,6,female
83,729,4012,9,9,9,10,9,9,9,female
84,781,4759,13,13,13,12,10,13,13,female
85,628,2495,7,7,NA,8,7,7,7,female
86,711,2575,17,17,17,13,11,16,16,female
87,538,1438,4,4,4,3,4,4,4,female
88,535,1532,4,4,4,3,4,4,4,female
89,531,1538,4,4,4,3,4,4,4,female
90,514,1392,4,4,4,4,4,4,4,female
91,538,1380,4,4,4,4,4,4,4,female
92,502,1181,4,4,5,4,4,4,4,female
93,537,1533,4,4,4,7,4,4,4,female
94,525,1239,4,4,4,6,4,4,4,female
95,486,1121,4,4,4,3,4,4,4,female
96,580,1999,7,7,7,6,7,7,7,female
97,556,1878,4,4,7,3,4,4,4,female
98,483,1303,4,4,7,3,4,4,4,female
99,520,1256,4,4,7,4,4,4,4,female
100,550,1729,8,8,9,8,8,8,8,male
101,571,1622,5,5,NA,6,7,5,5,female
102,497,1118,4,4,NA,5,5,4,4,male
103,526,1389,4,4,4,5,4,4,4,female
104,524,1235,4,4,4,5,4,4,4,female
105,497,1380,4,4,NA,5,4,4,4,female
106,575,1805,5,5,5,4,5,5,5,female
107,495,1122,4,4,4,4,4,4,4,male
108,486,1047,NA,NA,NA,4,4,4,4,male
109,496,1168,4,4,4,4,5,4,4,female
110,521,1528,4,4,4,4,4,5,4,female
111,573,1771,4,4,4,5,4,4,4,female
112,577,1739,7,7,NA,6,7,7,7,female
113,503,1074,4,4,4,3,4,5,4,female
114,496,1160,4,4,4,4,4,4,4,male
115,469,976,4,4,4,3,4,4,4,male
116,487,1032,4,4,4,4,4,4,4,female
117,591,2118,6,6,6,4,6,6,6,female
118,509,1119,4,4,4,3,4,4,4,female
119,557,1630,4,4,4,3,5,4,4,female
120,587,2015,7,7,7,8,7,7,7,female
121,481,1263,4,4,4,4,4,4,4,female
122,564,2009,6,6,6,5,6,6,6,female
123,489,1103,4,4,NA,3,5,4,4,female
124,539,1808,4,4,4,4,4,4,4,female
125,487,1207,4,4,4,5,4,4,4,female
126,507,1178,4,4,4,4,4,4,4,female
127,611,2544,12,12,11,8,11,12,12,male
128,485,1111,4,4,4,3,4,4,4,male
129,567,1546,6,6,6,5,6,6,6,female
130,555,1684,4,4,4,3,4,4,4,female
131,492,1198,4,4,4,4,4,5,4,male
132,557,1882,4,4,NA,3,4,4,4,female
133,576,1770,6,6,6,6,6,6,6,female
134,514,1450,4,4,4,7,4,4,4,female
135,732,3599,13,13,13,8,11,12,13,female
136,786,5001,15,15,15,11,11,14,14,female
137,778,4903,15,15,15,8,9,13,15,female
138,475,1145,4,4,4,3,4,4,4,female
139,629,2689,12,12,12,10,9,12,12,female
140,463,1046,4,4,4,3,4,4,4,male
141,472,963,5,5,5,3,6,5,5,male
142,736,4305,12,12,12,10,11,12,12,female
143,736,4345,14,14,NA,10,9,11,14,female
144,584,2193,6,6,6,6,7,6,6,female
145,630,2172,7,7,6,4,7,7,7,female
146,610,2024,7,7,7,7,7,7,7,female
147,651,2550,11,11,NA,9,11,11,11,female
148,794,4543,18,18,NA,12,12,16,18,female
149,785,4545,17,17,16,15,16,17,17,female
150,618,2064,7,7,7,7,6,8,8,female
151,648,2175,10,10,10,6,7,NA,NA,female
152,744,4169,10,10,10,11,11,9,10,female
153,747,5429,10,10,10,11,10,10,10,female
154,749,3754,12,12,12,11,9,11,12,female
155,535,1384,6,6,6,8,5,5,6,male
156,521,1610,5,5,6,5,5,5,5,male
157,592,1999,10,10,10,9,9,10,10,male
158,656,2771,21,21,21,15,12,21,21,male
159,547,1720,10,NA,10,10,11,11,11,male
160,571,2161,9,9,9,10,9,9,9,male
161,602,2027,10,10,9,8,8,10,10,male
162,500,1352,6,6,6,6,6,6,6,male
163,452,785,4,4,4,6,4,4,4,male
164,350,397,2,NA,NA,2,3,2,2,male
165,329,302,2,2,3,2,2,2,2,male
166,356,407,2,NA,2,2,2,2,2,female
167,316,252,2,2,3,2,2,3,2,male
