id,tl,wt,aspine_NR,aspine_IR,aspine_ER,otolith_NR,otolith_IR,otolith_ER,scale_NR,scale_IR,scale_ER,sex
328,96,8,1,1,1,1,1,1,2,1,1,male
66,185,76,3,2,3,2,2,2,2,2,3,female
290,225,146,4,3,2,2,2,2,3,2,3,female
304,120,20.5,2,2,2,2,2,2,2,2,2,male
305,127,22.5,3,2,2,2,2,2,2,2,2,female
307,157,43.5,3,2,2,2,2,2,3,2,2,female
308,130,27,3,3,2,2,2,2,4,2,2,male
309,135,28.5,4,2,2,2,2,2,2,3,2,male
311,152,36.5,3,2,2,2,2,2,2,2,2,female
312,121,22,4,3,2,3,2,2,2,2,2,female
313,145,35,2,2,2,2,2,2,2,2,2,male
314,134,23.5,2,2,2,2,2,2,2,2,2,male
315,110,15,2,2,2,2,2,2,2,2,2,female
316,139,30,3,2,2,2,2,2,2,2,2,male
317,120,19,2,2,2,2,2,2,2,2,2,male
318,120,19,2,2,2,2,2,2,2,2,2,female
319,126,20.5,2,2,2,2,2,2,2,2,2,male
321,125,20,2,2,2,2,2,2,2,3,2,female
322,126,19,2,2,2,2,2,2,2,2,2,female
326,121,18.5,2,2,2,2,2,2,2,2,2,male
327,126,24,2,2,2,2,2,2,2,2,2,female
329,150,32.5,2,2,2,2,2,2,2,3,2,male
330,135,24.5,3,2,2,2,2,2,2,2,2,female
331,121,19,2,2,2,2,2,2,2,2,2,male
333,149,33,2,2,2,2,2,2,2,2,2,female
334,135,29,3,2,2,2,2,2,2,2,3,male
335,149,31.5,2,2,2,2,2,2,2,NA,2,male
336,136,28,2,2,2,2,2,2,2,2,2,female
337,156,40,2,3,2,2,2,2,2,4,3,male
338,134,26,2,2,2,2,2,2,2,2,2,female
339,152,40,2,2,2,2,2,2,2,4,3,male
340,153,38.5,3,2,2,2,2,2,2,2,3,male
341,154,38.5,3,3,2,2,2,2,2,2,3,male
343,152,38,2,2,2,2,2,2,3,2,3,male
344,160,40.5,3,4,2,2,2,2,2,3,3,male
345,151,35,2,2,2,2,2,2,2,2,2,female
346,144,28.5,2,2,2,2,2,2,2,2,2,male
347,164,50.5,3,3,2,2,2,2,3,2,3,female
348,144,31,3,3,2,2,2,2,2,2,4,male
351,150,33.5,3,3,2,2,2,2,3,2,4,male
352,145,29.5,2,2,2,2,2,2,2,2,3,female
353,132,23,2,2,2,2,2,2,2,2,2,male
354,164,49,3,4,2,2,2,2,3,2,3,male
355,148,35.5,3,3,2,2,2,2,3,2,2,female
356,138,29.5,3,2,2,2,2,2,2,2,2,male
357,141,31.5,2,2,2,2,2,2,2,2,2,female
359,140,30,2,2,2,2,2,2,2,2,2,male
360,164,41.5,5,3,2,2,2,2,3,3,3,female
118,235,196,3,3,3,3,3,3,3,4,3,female
119,210,124,3,3,3,3,3,3,3,5,3,female
129,205,104,3,3,3,3,3,3,3,3,3,male
139,217,95,3,3,3,3,3,3,3,3,3,male
157,193,82,3,3,3,3,3,3,3,4,4,male
171,171,78,4,3,3,3,3,3,3,4,4,female
201,236,181,4,3,3,3,3,3,3,3,3,female
221,185,70,3,3,3,3,3,3,3,4,4,male
239,230,157,3,3,3,3,3,3,3,3,3,female
252,220,154,3,3,3,3,3,3,3,3,3,female
288,210,134,3,3,3,3,3,3,3,5,3,female
292,206,121,3,3,3,4,3,3,4,4,4,female
293,166,64,3,3,3,3,3,3,2,3,3,female
294,195,99,3,3,3,3,3,3,3,4,3,female
303,157,39,3,3,3,3,3,3,2,2,2,male
310,160,47,3,3,3,3,3,3,3,4,3,male
320,105,11.5,2,2,2,2,3,3,2,2,2,male
324,180,66,4,3,3,3,3,3,3,NA,3,female
350,185,78.5,3,3,3,3,3,3,3,4,3,female
12,290,409,4,4,4,4,4,4,4,5,5,female
15,285,374,4,5,4,4,4,4,4,3,5,female
16,266,315,5,8,4,4,4,4,2,3,4,female
19,225,142,4,4,4,4,4,4,4,3,4,male
32,235,200,4,5,4,4,4,4,4,4,4,female
33,230,166,4,5,4,4,4,4,3,4,4,female
61,270,289,4,4,4,4,4,4,3,4,4,female
83,225,176,4,4,4,4,4,4,3,5,3,female
86,262,334,5,4,4,4,4,4,3,4,4,female
87,275,291,4,4,4,4,4,4,5,3,4,female
90,235,181,4,4,4,4,4,4,3,3,4,female
101,197,85,4,4,4,4,4,4,3,4,4,male
105,229,159,4,4,4,4,4,4,4,4,4,female
106,218,121,4,4,4,4,4,4,4,4,4,male
108,215,113,4,4,4,4,4,4,4,4,5,male
109,205,117,4,4,4,4,4,4,3,4,4,female
110,230,140,5,4,5,4,4,4,4,4,5,male
112,212,129,4,5,4,4,4,4,4,5,4,female
120,224,135,4,4,4,4,4,4,2,5,3,female
121,215,119,4,4,4,4,4,4,3,5,4,male
122,225,137,6,4,4,4,4,4,4,4,4,male
123,210,126,4,4,4,4,4,4,4,5,4,female
125,231,156,4,4,4,4,4,4,4,5,4,male
128,208,108,5,5,5,4,4,4,4,5,4,male
133,240,191,5,4,4,4,4,4,4,4,4,female
137,261,268,4,4,4,4,4,4,4,5,5,female
140,223,123,6,5,4,4,4,4,3,4,4,male
142,231,162,5,4,4,4,4,4,3,4,4,female
144,255,181,4,4,4,4,4,4,3,NA,4,male
145,211,109,4,4,4,4,4,4,4,4,4,male
146,270,270,4,4,4,4,4,4,3,4,4,female
150,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA
151,218,220,4,3,4,4,4,4,3,3,4,male
152,242,192,5,4,5,5,4,4,4,3,4,female
153,229,145,5,4,5,5,4,4,4,4,4,male
156,190,88,4,4,4,4,4,4,4,5,4,male
158,214,131,4,4,4,4,4,4,3,4,4,female
160,215,140,4,4,4,4,4,4,3,4,4,female
165,208,107,4,4,4,4,4,4,4,5,4,male
172,275,295,4,4,4,4,4,4,4,4,4,female
177,240,164,4,4,4,4,4,4,4,5,5,male
178,114,116,4,3,4,4,4,4,4,4,4,male
180,229,152,4,4,4,4,4,4,4,4,4,female
182,186,71,5,4,4,4,4,4,3,4,4,male
187,233,180,4,4,4,4,4,4,4,4,4,female
190,245,138,4,4,4,4,4,4,4,6,4,female
194,220,131,5,4,4,4,4,4,3,4,4,male
198,235,163,5,4,4,4,4,4,4,3,3,female
199,236,192,5,4,4,4,4,4,4,5,4,female
202,250,258,4,4,3,4,4,4,3,4,4,female
208,255,229,5,4,4,4,4,4,4,4,4,female
214,210,113,5,4,4,4,4,4,4,NA,4,female
215,231,166,5,4,4,4,4,4,4,3,4,female
219,245,232,4,3,4,4,4,4,4,3,5,female
222,213,105,4,4,4,4,4,4,3,4,4,male
225,205,110,4,4,5,4,4,4,4,3,4,male
228,212,112,5,5,5,4,4,4,4,4,5,male
230,236,156,4,4,4,4,4,4,4,4,4,female
232,260,226,4,4,4,4,4,4,4,4,4,female
235,214,120,4,4,4,4,4,4,4,4,4,male
236,230,133,5,4,4,4,4,4,4,4,4,male
238,240,183,4,4,4,5,4,4,4,4,4,female
245,245,230,5,4,4,4,4,4,4,4,4,female
249,265,216,5,4,5,4,4,4,4,4,4,female
255,250,162,4,4,4,4,4,4,4,NA,4,female
257,220,164,4,4,4,4,4,4,3,3,4,female
258,225,134,4,4,4,4,4,4,4,3,4,male
259,232,180,5,4,5,4,4,4,4,3,4,female
260,227,168,5,4,4,4,4,4,4,4,4,female
261,239,196,4,4,4,4,4,4,3,4,3,female
266,232,172,5,4,4,4,4,4,4,4,4,female
276,194,89,4,3,4,4,4,4,4,3,4,male
282,201,111,4,4,4,4,4,4,3,3,4,male
283,215,228,4,4,4,4,4,4,4,4,4,male
284,211,131,4,4,4,4,4,4,3,4,4,female
286,250,186,6,4,4,4,4,4,4,4,5,female
287,215,123,4,4,4,4,4,4,4,4,4,male
289,218,136,5,4,4,4,4,4,5,3,4,male
291,201,91,4,4,4,4,4,4,4,3,4,male
295,220,141,5,4,4,5,4,4,3,3,4,male
299,218,113,6,5,5,4,4,4,3,5,4,male
301,204,87,5,4,4,4,4,4,3,2,4,male
306,176,68.5,4,4,4,4,4,4,4,5,4,female
323,195,86,4,4,4,4,4,4,3,4,3,female
325,162,45.5,4,3,4,4,4,4,2,3,4,male
342,175,54.5,4,4,4,4,4,4,2,4,4,male
349,179,58.5,5,4,4,4,4,4,4,2,4,female
358,165,43.5,4,4,4,4,4,4,3,2,4,male
3,243,185,5,5,5,5,5,5,4,4,5,male
17,290,380,7,6,4,5,5,5,4,4,6,female
22,237,165,5,5,5,5,5,5,4,3,4,male
30,337,515,5,5,5,5,5,5,4,4,4,female
38,255,206,5,5,5,5,5,5,4,4,5,male
43,222,142,5,4,5,5,5,5,4,4,3,male
46,265,238,5,5,5,5,5,5,3,3,5,male
49,300,443,5,5,5,5,5,5,3,4,5,female
52,315,464,5,5,5,5,5,5,4,5,5,female
53,300,537,5,5,5,5,5,5,4,5,5,female
68,264,244,4,4,5,5,5,5,3,4,4,female
73,325,712,5,5,5,5,5,5,4,5,6,female
80,215,148,5,5,5,5,5,5,3,4,4,female
81,245,239,5,5,5,5,5,5,3,6,5,female
82,320,492,5,5,5,5,5,5,3,4,6,female
84,310,494,5,5,5,5,5,5,4,5,5,female
91,245,184,5,5,5,5,5,5,4,5,5,male
96,210,102,5,5,5,5,5,5,4,4,5,male
99,256,209,5,5,7,5,5,5,4,4,5,male
103,217,106,5,5,5,5,5,5,3,4,5,male
111,234,162,5,5,5,5,5,5,4,4,5,male
113,221,129,6,5,5,5,5,5,3,4,4,male
117,213,101,5,5,5,5,5,5,3,6,5,male
126,235,164,6,5,7,5,5,5,4,7,6,female
134,225,136,5,5,5,5,5,5,4,5,5,male
148,245,185,5,5,5,5,5,5,4,4,4,male
159,284,341,5,5,5,6,5,5,5,5,5,female
163,275,299,5,5,5,6,5,5,3,6,5,female
170,246,182,5,4,5,5,5,5,4,5,4,male
174,270,303,5,5,5,5,5,5,4,6,5,female
183,322,629,6,5,5,5,5,5,5,6,7,female
185,236,199,5,5,5,5,5,5,5,6,5,female
189,250,214,5,5,5,5,5,5,4,6,5,female
193,290,413,5,5,5,5,5,5,4,5,5,female
204,229,145,5,5,5,5,5,5,4,NA,5,male
207,285,352,5,5,5,5,5,5,5,5,5,female
209,195,79,6,4,5,5,5,5,4,3,4,male
220,277,237,5,5,5,5,5,5,5,5,6,female
231,228,147,5,4,5,5,5,5,4,5,5,male
240,245,249,5,5,5,5,5,5,4,3,5,female
243,240,169,5,5,5,5,5,5,3,4,5,male
244,200,94,6,5,5,5,5,5,5,6,5,male
248,249,201,5,5,5,5,5,5,5,3,6,female
253,240,191,5,5,5,5,5,5,3,4,4,female
263,258,256,5,5,5,5,5,5,4,4,6,female
268,287,382,8,5,5,5,5,5,5,4,5,female
271,277,282,7,5,5,5,5,5,4,4,6,female
274,262,201,5,5,5,5,5,5,4,5,5,female
285,224,143,5,5,5,5,5,5,4,4,5,male
300,185,66,5,4,4,5,5,5,4,5,5,male
35,240,209,6,6,5,6,6,6,4,4,6,female
44,220,127,7,5,7,6,6,6,3,4,4,male
48,215,126,6,6,6,6,6,6,4,4,6,male
54,330,592,6,6,6,6,6,6,4,5,5,female
56,256,280,6,5,5,6,6,6,4,6,6,female
79,240,184,6,6,6,6,6,6,5,4,6,male
131,260,223,6,6,6,6,6,6,5,5,6,male
197,255,231,7,6,6,6,6,6,6,5,5,male
216,226,135,6,6,6,6,6,6,4,4,6,male
