read1,read2,structure
1,1,Otoliths
1,1,Otoliths
1,1,Otoliths
1,1,Otoliths
1,1,Otoliths
1,1,Otoliths
1,1,Otoliths
1,1,Otoliths
1,1,Otoliths
1,1,Otoliths
1,1,Otoliths
1,2,Otoliths
1,2,Otoliths
1,2,Otoliths
1,2,Otoliths
1,2,Otoliths
1,2,Otoliths
1,2,Otoliths
1,3,Otoliths
1,3,Otoliths
2,1,Otoliths
2,2,Otoliths
2,2,Otoliths
2,2,Otoliths
2,2,Otoliths
2,2,Otoliths
2,2,Otoliths
2,3,Otoliths
2,3,Otoliths
2,3,Otoliths
3,2,Otoliths
3,2,Otoliths
3,3,Otoliths
3,4,Otoliths
3,5,Otoliths
3,5,Otoliths
3,6,Otoliths
4,3,Otoliths
4,4,Otoliths
4,5,Otoliths
4,5,Otoliths
4,5,Otoliths
4,6,Otoliths
5,4,Otoliths
5,4,Otoliths
5,4,Otoliths
5,5,Otoliths
5,5,Otoliths
5,5,Otoliths
5,5,Otoliths
5,6,Otoliths
5,6,Otoliths
5,7,Otoliths
5,7,Otoliths
5,8,Otoliths
5,8,Otoliths
5,9,Otoliths
6,4,Otoliths
6,5,Otoliths
6,5,Otoliths
6,5,Otoliths
6,5,Otoliths
6,6,Otoliths
6,6,Otoliths
6,6,Otoliths
6,6,Otoliths
6,6,Otoliths
6,7,Otoliths
6,7,Otoliths
6,7,Otoliths
6,8,Otoliths
6,8,Otoliths
6,8,Otoliths
6,8,Otoliths
6,8,Otoliths
7,5,Otoliths
7,5,Otoliths
7,5,Otoliths
7,5,Otoliths
7,5,Otoliths
7,5,Otoliths
7,6,Otoliths
7,6,Otoliths
7,6,Otoliths
7,6,Otoliths
7,6,Otoliths
7,6,Otoliths
7,6,Otoliths
7,7,Otoliths
7,7,Otoliths
7,7,Otoliths
7,7,Otoliths
7,7,Otoliths
7,8,Otoliths
7,8,Otoliths
7,8,Otoliths
7,8,Otoliths
7,8,Otoliths
7,8,Otoliths
7,9,Otoliths
7,10,Otoliths
7,10,Otoliths
