id,Fin_R1,Fin_R2,Fin_R3,Otolith_R1,Otolith_R2,Otolith_R3,Scale_R1,Scale_R2,Scale_R3
1002,7,7,8,8,8,8,8,7,7
1011,7,8,9,9,9,9,7,7,7
1014-1,11,11,12,12,12,12,12,12,12
1014-2,8,12,13,12,13,13,11,11,11
1015,9,10,12,14,13,14,11,11,14
1016,8,9,9,10,10,11,9,9,11
1017,7,7,7,9,9,9,9,11,9
1024,10,10,10,10,10,10,7,7,10
105,3,4,4,3,3,3,3,3,3
106,2,3,3,3,3,3,3,3,3
107,2,3,3,3,3,3,2,2,2
108,2,3,3,4,2,3,2,2,2
109,11,11,11,12,12,12,11,9,14
110,13,11,12,12,11,14,13,10,13
111,8,8,9,9,9,9,11,14,14
112,6,6,6,7,5,6,6,5,7
113,5,6,7,5,5,5,5,6,6
114,4,5,6,4,3,4,4,5,6
1159,2,2,2,2,2,3,2,2,2
1161,8,8,8,7,6,7,8,7,7
1176,11,12,12,16,15,18,13,13,13
1177,11,11,12,14,13,15,11,12,12
1178,8,10,10,9,9,9,9,9,9
1179,7,8,9,8,8,8,8,10,10
1180,7,7,8,9,6,8,6,7,6
1181,5,5,5,5,5,5,5,5,6
1182,7,7,8,8,8,9,8,8,8
1183,7,7,7,7,7,7,7,7,7
1184,8,8,9,9,9,9,9,10,10
1185,7,8,8,8,7,7,7,8,8
1188,3,3,4,3,3,3,3,3,3
1189,3,4,4,3,4,3,4,4,4
119,12,12,12,12,11,12,12,18,17
1193,4,4,4,3,4,4,4,5,5
1196,5,4,5,4,4,4,5,4,4
1197,3,3,4,5,5,5,5,5,5
1198,5,6,6,7,6,6,6,6,6
1199,4,4,5,5,5,5,5,5,5
120,8,8,8,8,7,7,10,11,11
1200,15,16,16,17,17,17,16,16,16
1201,15,15,17,17,17,17,15,16,16
1202,12,12,14,13,14,14,15,15,16
1203,11,12,12,12,12,12,8,11,8
1204,6,9,11,15,16,15,12,14,14
121,7,8,7,8,8,8,10,10,8
122,6,6,6,8,5,8,8,11,11
1260,10,11,10,10,11,12,11,11,12
1261,4,4,4,3,3,3,3,3,3
127,1,1,2,2,1,2,1,1,2
1270,7,7,7,10,9,10,6,6,6
1272,14,14,14,16,16,16,11,11,11
1273,9,10,9,11,11,12,9,12,9
1274,9,7,9,11,5,7,7,7,10
1275,8,6,7,8,6,9,9,7,7
1276,7,7,7,8,8,8,9,10,9
1277,6,7,7,7,7,7,6,6,6
1283,5,5,5,5,5,5,5,5,5
1284,6,7,7,4,4,4,6,6,6
129,2,2,2,3,2,2,2,2,1
130,2,2,3,3,2,2,3,3,3
132,3,3,3,3,2,3,3,3,4
1325,13,13,13,13,13,13,10,10,10
1326,6,6,6,6,6,6,4,4,4
1327,6,6,7,6,6,6,6,6,6
1328,7,7,7,9,9,10,9,7,9
1329,4,4,5,4,4,3,4,4,4
133,9,10,10,10,9,10,8,7,8
1330,7,7,8,8,8,8,3,3,3
134,9,9,9,9,9,9,9,9,9
1345,11,11,12,12,12,14,12,12,12
1346,9,10,10,10,10,10,7,6,6
135,6,6,6,6,6,6,6,5,4
136,6,7,6,4,3,5,5,6,7
1566,13,14,15,18,19,18,15,14,15
1567,12,11,11,13,13,13,9,9,10
1568,13,13,14,14,13,13,9,9,9
1569,11,11,12,13,13,13,11,11,11
1570,9,8,10,11,11,11,8,9,8
1571,10,12,14,12,11,12,10,10,10
1572,7,7,7,7,7,7,7,7,7
1573,11,11,12,12,11,11,12,12,12
1574,12,12,12,12,11,12,11,11,11
1580,9,9,9,10,9,9,9,9,9
1581,14,14,16,18,18,18,13,13,13
