"studyID","pubyear","country","continent","continent2","marine","exprnc","species","family","order","class","class1","structure","structure2","process","agemin","agemax","agemaxcat","agerange","agerangecat","type","R","Rcat3","Rcat4","n","ncat","APE","APE0","logAPE","ACV","ACV0","logACV","ACVmod","ACVmod0","logACVmod","ACVused","ACVmodused","bothACVnAPEused","PA0","PA1","PAother","ASD","AAD","APE2","ACV2","AD","checkbias","biasmethod","biaspresent","checkrelage","typerelage"
"acre_comparison_2017",2017,"USA","USA/Can","USA/Can","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","finrays","anal","sectioned",3,8,"0",5,"0-10","between",5,"3+","4+",9,"1-50",NA,NA,NA,27,27.1,3.29953372788566,27,27.1,3.29953372788566,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"acre_comparison_2017",2017,"USA","USA/Can","USA/Can","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","finrays","dorsal","sectioned",3,8,"0",5,"0-10","between",5,"3+","4+",9,"1-50",NA,NA,NA,26.5,26.6,3.28091121578765,26.5,26.6,3.28091121578765,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"acre_comparison_2017",2017,"USA","USA/Can","USA/Can","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","finrays","pectoral","sectioned",3,8,"0",5,"0-10","between",5,"3+","4+",9,"1-50",NA,NA,NA,20,20.1,3.00071981506503,20,20.1,3.00071981506503,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"acre_comparison_2017",2017,"USA","USA/Can","USA/Can","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","finrays","pectoral","sectioned",4,12,"10",8,"0-10","between",5,"3+","4+",9,"1-50",NA,NA,NA,26.5,26.6,3.28091121578765,26.5,26.6,3.28091121578765,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"acre_comparison_2017",2017,"USA","USA/Can","USA/Can","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","otoliths","lapillae","sectioned",5,10,"10",5,"0-10","between",5,"3+","4+",9,"1-50",NA,NA,NA,29.5,29.6,3.38777436133001,29.5,29.6,3.38777436133001,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"acre_comparison_2017",2017,"USA","USA/Can","USA/Can","no","yes","Blue Sucker","Catostomidae","Cypriniformes","Actinopteri","Actinopteri","scales",NA,"mounted",4,10,"10",6,"0-10","between",5,"3+","4+",9,"1-50",NA,NA,NA,23,23.1,3.13983261752775,23,23.1,3.13983261752775,"yes","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"adams_age_2014",2014,"USA","USA/Can","USA/Can","yes","no","Blackfin Tuna","Scombridae","Scombriformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",0,7,"0",7,"0-10","within",2,"2","2",207,"200-399",13.3,13.4,2.59525470695687,NA,NA,NA,18.8090403795622,18.9090403795622,2.93964013466468,"no","yes","no",57,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"adams_age_2014",2014,"USA","USA/Can","USA/Can","yes","no","Little Tunny","Scombridae","Scombriformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",0,5,"0",5,"0-10","within",2,"2","2",203,"200-399",6.7,6.8,1.91692261218206,NA,NA,NA,9.47523086789974,9.57523086789974,2.25917964630603,"no","yes","no",63,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"adams_age_2014",2014,"USA","USA/Can","USA/Can","yes","no","Skipjack Tuna","Scombridae","Scombriformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",0,3,"0",3,"0-10","within",2,"2","2",76,"51-199",7.4,7.5,2.01490302054226,NA,NA,NA,10.4651803615609,10.5651803615609,2.35756372253242,"no","yes","no",61,NA,"no",NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"allman_factors_2018",2018,"USA","USA/Can","USA/Can","yes","no","Grey Triggerfish","Balistidae","Tetraodontiformes","Actinopteri","Actinopteri","spines","dorsal","sectioned",0,14,"10",14,"10-20","between",2,"2","2",2348,"400+",10.8,10.9,2.3887627892351,NA,NA,NA,15.2735064736294,15.3735064736294,2.73264566904765,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
"allman_precision_2005",2005,"USA","USA/Can","USA/Can","yes","yes","Red Snapper","Lutjanidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",1,40,"40",39,"30-40","between",3,"3+","3",300,"200-399",2.5,2.6,0.955511445027436,NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"no",NA
"alrasady_age_2013",2013,"Oman","Asia","Eur/Asia","yes","no","Longnose Trevally","Carangidae","Perciformes","Actinopteri","Actinopteri","otoliths","sagittae","sectioned",2,16,"10",14,"10-20","between",2,"2","2",336,"200-399",5.3,5.4,1.68639895357023,NA,NA,NA,7.4953318805774,7.5953318805774,2.02753383233825,"no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no",NA
